projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end,new_product
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 專業抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,8188065,1599,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",19 天,2022/09/13 12:00 – 2023/01/06 23:59,2022/09/13 12:00:00,2023/01/06 23:59:00,
xTool D1 Pro 20W 雷雕機✨王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,12526710,43980,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",10 天,2022/11/03 12:00 – 2022/12/29 02:00,2022/11/03 12:00:00,2022/12/29 02:00:00,
【鐵鳥優惠倒數中 ⏰ 】北魏真書體｜源於城市，取自傳承，一款新時代的字體,北魏真書體,4429818,3000,https://www.zeczec.com/projects/zansyu,"北魏真書體，透過字體研究和電腦技術重新設計的全新楷書字體，以字體設計傳承、演繹文化，向世界傳遞新的語言使用形式。,zeczec",29 天,2022/12/14 21:00 – 2023/01/17 02:00,2022/12/14 21:00:00,2023/01/17 02:00:00,✅
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,14495020,3100,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",11 天,2022/09/21 12:00 – 2022/12/30 02:00,2022/09/21 12:00:00,2022/12/30 02:00:00,
【木直牛勿】澐森之巔 再美一年 台灣山月曆,木直牛勿,3161709,980,https://www.zeczec.com/projects/plantpractice2022,"我們是「木直牛勿」，喜歡山林，也喜歡畫畫。​ 希望透過畫筆，將台灣山林之美帶入各位的生活中：）,zeczec",23 天,2022/09/27 11:30 – 2023/01/11 02:00,2022/09/27 11:30:00,2023/01/11 02:00:00,
媽媽友MAMAYO黏土｜不會乾、重複玩的台灣製黏土，安心完美黏土提案：CP最高、玩法最多、清潔最易！,媽媽友mamayo,1201327,1599,https://www.zeczec.com/projects/mamayo-clay,"革命性專利技術，打造最適合孩子的三款特殊材質黏土，建構孩子想像、益智學習、感官探索體驗，解決了目前市售黏土的所有痛點，堪稱黏土界的最強王者！,zeczec",26 天,2022/11/28 12:00 – 2023/01/13 23:59,2022/11/28 12:00:00,2023/01/13 23:59:00,
iMAT 翻轉切割墊 2.0｜大面積使用、輕鬆摺疊好攜帶，全新吸磁、收納功能，便利再升級！,iMAT,495692,1496,https://www.zeczec.com/projects/imat-2,"延續『大面積使用，小面積攜帶』形式， 搭配強力磁鐵使用的『吸磁版』／夾持 新型專利-微笑U型夾的『收納版』， 絕對顛覆您對切割墊創新的想像！,zeczec",10 天,2022/11/30 21:00 – 2022/12/28 23:59,2022/11/30 21:00:00,2022/12/28 23:59:00,
MUFU V20S ｜雙鏡頭機車行車記錄器｜超大電量連續錄影長達7.5小時｜即扣即錄免按鍵使用很簡單,MUFU,4539841,2990,https://www.zeczec.com/projects/mufu-v20s,"機車行車記錄器使用可以很簡單，MUFU推出一款男女老少都能使用的機車行車紀錄器，行車記錄簡單搞定！,zeczec",11 天,2022/10/26 11:00 – 2022/12/30 02:00,2022/10/26 11:00:00,2022/12/30 02:00:00,
【 that 想想鍋｜超早鳥71折起最後倒數】一鍋抵六鍋，IH水蒸舒肥煎炒鍋，星級料理隨時上桌！,that,2371293,10900,https://www.zeczec.com/projects/that-ih-pressure-ricepot,"\\ 富錦樹台菜香檳年菜組合，預購開跑 // that 想想鍋具備 #IH環繞加熱 #類真空鑄鐵鍋蓋 #水蒸舒肥與煎炒 等黑科技，兼具效率、節能、美學，讓您優雅享用健康美食，為生活增添美好！,zeczec",19 天,2022/10/25 20:30 – 2023/01/07 02:00,2022/10/25 20:30:00,2023/01/07 02:00:00,
【玩色時尚．MIZAI 無線真空保鮮機】突破專用袋限制，全方位守護您的居家食品保鮮！,MIZAI x 有設計,5177105,1780,https://www.zeczec.com/projects/mizai-food-preservation,"超值首選！智慧偵測、無線輕巧、時尚美型，兼具大吸力與續航力，由台灣智能家居品牌MIZAI設計打造，不只一機多用，同時是業界適用包裝材質最多的保鮮機！,zeczec",26 天,2022/11/23 10:30 – 2023/01/13 23:59,2022/11/23 10:30:00,2023/01/13 23:59:00,
Poketto | 全型口袋包,greenroom,587480,1300,https://www.zeczec.com/projects/poketto,"4 種背法的多功能小包，容量可切換，立體大空間網袋，可單背或升級裝備。,zeczec",28 天,2022/12/15 12:00 – 2023/01/15 23:59,2022/12/15 12:00:00,2023/01/15 23:59:00,✅
即將調漲 🚨【 ESCURA l 33℃ 抱抱被 】一件讓你從冬天蓋到夏天的恆溫被，翻面即換季，整件可機洗！,ESCURA INC.,4061081,4190,https://www.zeczec.com/projects/escuratw,"我們解決市面上夏被太熱，冬被又不夠保暖的情形。專利五層結構找回你失去的３３℃恆溫被窩。一款隨著體溫變化，懂得適時吸熱、放熱的恆溫被，雙面±℃冷暖黑科技，翻面即換季，還能輕鬆機洗，這輩子一被子就夠！,zeczec",23 天,2022/12/01 20:00 – 2023/01/11 02:00,2022/12/01 20:00:00,2023/01/11 02:00:00,
AIRone 智慧型空氣淨化器｜0 耗材，革命性『光分解引擎』淨化永不減弱，異味甲醛病菌都消滅！,圓方生活YFLife ,1464060,3490,https://www.zeczec.com/projects/airone,"世界最小智慧型空氣淨化器。24小時空氣品質、CO2、溫度、濕度即時偵測與淨化力自動調節、黴菌病毒傳播預警功能，是您最貼心的空氣保鑣。獨家H2O再生技術及可拆洗光引擎，淨化能力永不減弱 ！,zeczec",44 天,2022/12/15 12:00 – 2023/01/31 23:59,2022/12/15 12:00:00,2023/01/31 23:59:00,✅
【VariShot V-16電子靶】風靡全球的雷射槍射擊訓練機｜美國真槍規格X多元挑戰模式｜全民射擊運動新潮流，隨時隨地打造專屬靶場！,信咚企業股份有限公司 Sean and Stephen Corporation,2057627,7100,https://www.zeczec.com/projects/varishot,"美國募資破百萬、空氣槍國手推薦的雷射槍訓練機登場！真槍規格X多元模式，有效提升射擊準度、手眼協調與專注力！不論在家或戶外，親子同樂或跑趴露營，隨時隨地打造專屬靶場，讓您實現射手夢！,zeczec",10 天,2022/11/28 12:00 – 2022/12/28 23:59,2022/11/28 12:00:00,2022/12/28 23:59:00,
【日本 ATEX｜V 型溫感指壓按摩椅墊】日本專利設計、工藝級按摩科技，小而有力。肩 / 頸 / 臀，真人感全方位按摩，一台搞定！,日本ATEX,5775787,3980,https://www.zeczec.com/projects/atex-v,"風靡全日本美臀推拿機，8 顆按摩球打造 3D 深層按摩，一台包辦按摩肩頸、腰部和臀部，布套可拆卸機洗。,zeczec",11 天,2022/11/17 12:00 – 2022/12/30 02:00,2022/11/17 12:00:00,2022/12/30 02:00:00,
XpreSole® Blocks 全防水積木咖啡靴｜踏出童心，擺脫潮濕！無論晴雨，每一步都輕盈乾爽,Lab22 Taiwan,2691453,4530,https://www.zeczec.com/projects/xpresole-blocks,"Blocks 積木咖啡靴｜由咖啡渣製成、防水、透氣、舒適、超輕、乾爽等 12 項超強機能，加上獨家積木鞋底，帶你找回童心，穿出風格！,zeczec",19 天,2022/10/31 12:00 – 2023/01/06 23:59,2022/10/31 12:00:00,2023/01/06 23:59:00,
《台灣機車百態｜The Scooters of Taiwan 》英國插畫家 Tom Parker 筆下最逗趣的機車街景！,Tom Parker X 海吉工作室,883809,1350,https://www.zeczec.com/projects/taiwan-scooters-100,"去年進行《台北地圖》集資時，我把這些可愛的騎士們做成《台灣味》貼紙，沒想到收到大家熱烈迴響，於是開啟了這個《台灣機車百態》的計畫，完成了更多可愛小車車！,zeczec", 38 小時,2022/11/02 21:00 – 2022/12/20 23:59,2022/11/02 21:00:00,2022/12/20 23:59:00,
【CA160-超疏水膜】滴水不沾、視線清晰、持久耐用！地表最強防雨貼膜,淨對流 X 科學研選,4370474,390,https://www.zeczec.com/projects/ca160,"世界首款奈米微針超疏水膜。經科學實測，不沾水能力與耐用度皆為市售最強！輕鬆提升雨天行車安全，保持優雅好心情~,zeczec",30 天,2022/10/20 13:00 – 2023/01/18 02:00,2022/10/20 13:00:00,2023/01/18 02:00:00,
請來買「腳頭老大」們做的「快樂襪」｜瑪利亞身心障礙青年終於開襪子店了，努力籌措第一批訂單！,財團法人瑪利亞社會福利基金會,2060784,1698,https://www.zeczec.com/projects/merry-young-x,"誰說身心障礙青年只能等人救助？刷新以往對於心智障礙者的偏見，一起穿上他們創作的舊城心故事 Merry Youngの 老派約會快樂襪，「走到哪裡」都能感受到台中爆笑又天真的人情味,zeczec",11 天,2022/11/01 11:00 – 2022/12/29 23:59,2022/11/01 11:00:00,2022/12/29 23:59:00,
【好日照 Light Flo 光韻牙刷殺菌燈】雙重殺菌科技全天自動循環，解決99.9%牙刷細菌滋生！,Vogito 好日照,3153637,2520,https://www.zeczec.com/projects/light-flo,"你知道牙刷上的細菌量可高達 3 萬嗎？台灣設計團隊結合深厚光電整合技術打造，「DUV 深紫外線」 和「45°C 熱風渦流」自動循環，讓全家的牙刷、刮鬍刀都能隨時乾淨又清爽！,zeczec",54 天,2022/12/08 20:00 – 2023/02/10 23:59,2022/12/08 20:00:00,2023/02/10 23:59:00,
【Charder 你的專業教練｜U310 人體分析儀】APP數據紀錄 × 8點接觸式電極，可量測左右側手部及腿部個別數值，CP值超高，免萬元享有10萬元等級功能！,Charder 啟德電子,3885460,9890,https://www.zeczec.com/projects/charder-u310,"可測量體水分、骨量、體年齡、基礎代謝、體脂率、內臟脂肪、肌肉量、肌肉質量等。最佳CP值、媲美10萬元專家級，免萬元超好入手！健康體態，一機到位！,zeczec",24 天,2022/12/08 12:00 – 2023/01/12 02:00,2022/12/08 12:00:00,2023/01/12 02:00:00,
【 Ultra sonic｜超音波震動洗物機 第二代】每秒5萬次超音波震動，彈掉髒污、UVC深層殺菌,Ultra sonic ,260860,3680,https://www.zeczec.com/projects/ultrasonic2,"新型清洗神器「超音波震動洗物機」功能改良再進化！ 不只洗衣，洗水果、盤子、飾品通通都能一機搞定! 超微細泡泡碰撞污垢根源，髒污連根拔除！第二代增加獨家UVC紫外線燈，洗淨更升級！,zeczec",22 天,2022/12/15 12:00 – 2023/01/10 02:00,2022/12/15 12:00:00,2023/01/10 02:00:00,✅
《梗圖黃牌》最異想天開的圖文配對！迷因梗王就是你！,多重宙文創娛樂,1242030,1680,https://www.zeczec.com/projects/TW-MEME-Yellow-Cards,"最歡樂的派對桌遊《黃牌》推出全新商品，匯集台灣最熱門的各種迷因。如果配出太冷的梗可是會被發黃牌的喔！,zeczec",21 天,2022/11/07 20:00 – 2023/01/08 23:59,2022/11/07 20:00:00,2023/01/08 23:59:00,
【丹麥EVVR 全世界最小 HomeKit魔塊】50元硬幣大小｜不需中性線｜雙切迴路也可以安裝｜3分鐘升級聲控智慧家,EVVR Taiwan,808030,1599,https://www.zeczec.com/projects/evvr-homekit,"想打造兼具設計與美觀的智慧宅卻無從著手！？ 安裝設定困難/師傅不會拉中性線/害怕安裝後燈具鬼火閃爍！？ EVVR推出史上最小HomeKit魔塊，超簡單智慧改造你的家,zeczec",12 天,2022/11/22 21:00 – 2022/12/31 00:00,2022/11/22 21:00:00,2022/12/31 00:00:00,
無釦愛布棉｜全球第一片專利自黏布衛生棉 ∞ 有機棉，好環保、好固定、好清洗，適用各種褲型,和諧生活有機棉,572242,980,https://www.zeczec.com/projects/wego,"熱銷超過 10多萬片的愛布棉推出全新二代｜自黏無釦版！100%有機棉瞬吸乾爽 x 自黏耐用好固定 x 輕鬆洗淨，給您最天然透氣的貼身保護 ，無釦更自由，也照顧了地球,zeczec",13 天,2022/11/02 20:00 – 2022/12/31 23:59,2022/11/02 20:00:00,2022/12/31 23:59:00,
HOMI｜地表最強遠紅外線日常&防水機能連帽外套 TheHood & TheHood Pro,HOMI CREATIONS 合覓創造,1267139,2880,https://www.zeczec.com/projects/homi-thehood-thehood-pro,"MIT 第一件完整導水設計的連帽防水外套，防水不僅是布料規格，導水及流向更是關鍵！ 日常的連帽外套，更應該有貼近現代的收納及外型設計！,zeczec",44 天,2022/12/13 20:00 – 2023/02/01 02:00,2022/12/13 20:00:00,2023/02/01 02:00:00,✅
翁鈺鈞首張個人專輯《欲嫁女人心》募資計劃,怡佳娛樂經紀股份有限公司,1558610,299,https://www.zeczec.com/projects/WengYuJun-Album,"一個懷著希望夢想而唱的女生，將要把過去所聚集的能量，全心注入首張個人全新創作專輯中，唱乎你聽！,zeczec",13 天,2022/09/23 20:00 – 2022/12/31 23:59,2022/09/23 20:00:00,2022/12/31 23:59:00,
【週週抽獎】Fuumas Puzzle 阿里山百年 SL-21 夏依式火車收藏紀念款模型 | 祝賀阿里山林業鐵路 & 夏依式火車 110 周年、3D 立體可動木質模型拼圖！,富馬樂創 X 有設計,2231877,1970,https://www.zeczec.com/projects/FuumasPuzzle-SL-21,"透過現代工藝、設計巧思，讓消費者以合理的價格，擁有「立體、可手動、著重細節」的DIY木質蒸汽機車拼圖！,zeczec",11 天,2022/11/16 10:30 – 2022/12/29 23:59,2022/11/16 10:30:00,2022/12/29 23:59:00,
Cache 2.0 快取感應立夾｜俐落感應卡夾 x 最美手機支架,ZENLET 禪與徠特,540563,790,https://www.zeczec.com/projects/zenlet-cache2,"MagSafe 錢包就是手機支架！可容納 1+2 張卡片，支援直接感應與快速取卡，零多餘結構，成就兼具極簡與功能的隨身配件。,zeczec",17 天,2022/11/29 12:00 – 2023/01/05 02:00,2022/11/29 12:00:00,2023/01/05 02:00:00,
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,國家地理,1606275,1180,https://www.zeczec.com/projects/ngo-2023-calendar,"國家地理團隊首度推出攝影日曆《歲月靈光》，由創刊至今一百多年的照片中，精選 365 張大師經典，搭配豐富的影音知識內容，在新的一年中，每天與您分享一個精彩故事。,zeczec",13 天,2022/10/26 12:30 – 2022/12/31 23:59,2022/10/26 12:30:00,2022/12/31 23:59:00,
【VRTX】王者套件．超過200件訓練動作零侷限，採用獨家專利編織材質，安全耐拉扯、質感收納兼具的居家訓練組,VRTX,842840,6400,https://www.zeczec.com/projects/vrtx-the-king-of-home-training,"來自美國的VRTX這次把最頂尖的居家訓練體驗帶來台灣了！扣環與各式套件的切換，只要一個背包大小的收納空間，就能讓你在家體驗超過200種以上訓練變化🔥,zeczec",12 天,2022/12/05 20:00 – 2022/12/30 23:59,2022/12/05 20:00:00,2022/12/30 23:59:00,
【SleekStrip︱超能磁吸手機支架】6in1便利生活小助手,winchamp,131641,990,https://www.zeczec.com/projects/mag-sleekgrip-x,"獨家可替換面板設計，一秒切換功能面板；內建NFC晶片，一碰立即傳輸電子名片；內建卡夾可收納二張卡片，滿足外出旅遊、生活應用所需！,zeczec",31 天,2022/12/14 12:00 – 2023/01/18 23:59,2022/12/14 12:00:00,2023/01/18 23:59:00,✅
【il modo小長夾】是日製手工真皮小長夾，也是職人的信念,STATUSY TAIWAN x 有設計,2408549,3560,https://www.zeczec.com/projects/ilmodo,"職人嚴選日本姬路高品質真皮皮革，歷經層層工序，將信念與期待融入手作，傾聽使用者的聲音，持續創新設計，盼能為使用者帶來幸福感，同時傳承製革傳統工藝,zeczec",8 天,2022/10/18 10:30 – 2022/12/26 23:59,2022/10/18 10:30:00,2022/12/26 23:59:00,
愛的四十八手！臉紅體位床遊——第一套藝術精品級情慾牌卡,臉紅紅,416471,1469,https://www.zeczec.com/projects/lhh48cards,"愛的 48 手，屬於你的體位床遊，這一次讓我們為了愉悅、為了美、為了享受而做，由你主動，做你想做。產品包含 48 張絕美體位牌卡＋一本指引圖鑑＋眼罩綁手絲滑兩用巾，按圖索驥，探索你的愉悅招式。,zeczec",48 天,2022/12/08 21:00 – 2023/02/04 23:59,2022/12/08 21:00:00,2023/02/04 23:59:00,
【 bitplay 全天候防水輕量風雨衣 】暴雨中都能保持乾燥不黏膩的風格大衣,bitplay,352150,4690,https://www.zeczec.com/projects/bitplay_wandercoat,"專門為台灣潮濕黏膩的氣候設計，專業戶外等級全防水 x 都會經典風衣版型 x 最新專利機能布料，快速收納攜帶，適應天氣變化、百搭不同身型的防風雨大衣。,zeczec",25 天,2022/12/12 12:00 – 2023/01/12 23:59,2022/12/12 12:00:00,2023/01/12 23:59:00,✅
OLTAS 日本製100%喀什米爾圍脖【嘖嘖400萬超人氣好評贊助 x 第二彈！】耐用可機洗 典雅奢華的頂級天然素材,Single Step,2098060,3980,https://www.zeczec.com/projects/Oltas-Japan,"台日超過萬人好評贊助！日本愛知縣OLTAS紡織工藝，將珍貴的喀什米爾高山羊絨，製作可機洗不變型，越使用越蓬鬆，輕量且不厚重的溫暖圍脖。冬日最值得擁有的溫暖職人逸品。❄️ 現在下訂農曆年前出貨！,zeczec",16 天,2022/11/30 12:00 – 2023/01/03 23:59,2022/11/30 12:00:00,2023/01/03 23:59:00,
ACERA活瓷能量杯 | 不可思議的神奇杯子，水、咖啡、茶、牛奶都變更好喝了,Weis,1127700,1880,https://www.zeczec.com/projects/acera-energy-cup,"手工製作的隨身杯，杯身內膽能量釋放改變了分子結構，任何飲品倒入後都會產生神奇的變化，讓您無時無刻充滿驚喜！,zeczec", 40 小時,2022/10/25 12:00 – 2022/12/21 02:00,2022/10/25 12:00:00,2022/12/21 02:00:00,
【樹懶架】多功能懶到底手機平板支架│ 穩穩地支撐你的懶散 坐著、躺著、趴著， 隨處都可立,暮光設計,547690,1940,https://www.zeczec.com/projects/shu-lan-jia,"發懶無罪，耍廢當道！不管你要坐著、躺著、甚至趴著看手機，樹懶架都可以好好撐住你。 五段式高度、360度角度調整，正的、反的，你的各種耍廢姿勢，它都可以支撐，解放雙手，一起懶得理直氣壯！,zeczec",44 天,2022/11/28 21:00 – 2023/01/31 23:59,2022/11/28 21:00:00,2023/01/31 23:59:00,
SPACEFOLD™ 時空折疊育兒包 | 三秒分層，一秒折疊，育兒/商務/休閒一切包辦！,Dauson lab.,4195858,3390,https://www.zeczec.com/projects/spacefold,"無需翻找，輕鬆取得全包物件，空間彈性極大化。防水抗污，透氣減壓，為孩子、父母設計的萬用快取背包,zeczec",13 天,2022/10/07 12:00 – 2022/12/31 23:59,2022/10/07 12:00:00,2022/12/31 23:59:00,
【Wicked Egg｜智能互動寵物蛋】全球首款智能獎勵專屬陪訓師，最疼愛的毛孩交給最懂毛孩的它！,Wicked Lab TW,472680,1280,https://www.zeczec.com/projects/wickedegg,"Wicked Lab重磅企劃第二彈 — 以毛孩和奴才們的需求點出發，有別於傳統漏食器及訓練產品，首創可控互動獎勵時間設計，寓教於樂的專注度訓練，有毛孩的生活原來可以這麼輕鬆及快樂,zeczec",22 天,2022/11/25 12:00 – 2023/01/09 23:59,2022/11/25 12:00:00,2023/01/09 23:59:00,
REO 大馬士革主廚刀｜天然紋路美感盡現！讓你刀刀精準俐落，縱橫天下料理！,Hard Crafts,1545836,3090,https://www.zeczec.com/projects/reo,"美國募資破800萬，千人秒殺，超高CP值，完美結合「歐日廚刀工藝」與「兩大頂級鋼材」的職人逸品主廚刀！,zeczec",29 天,2022/10/25 21:00 – 2023/01/17 02:00,2022/10/25 21:00:00,2023/01/17 02:00:00,
Allite CF1 多功能車用手機架｜首創 3-in-1 無線充電・磁吸支架・舒心擴香一次到位！ ,Allite ,2272742,1590,https://www.zeczec.com/projects/allite-cf1,"告別傳統手機架！創新結合 MagSafe 技術與擴香功能，打造一次到位的車用配備。CF1 全方位手機架，完美提升駕車體驗！ ,zeczec",4 天,2022/10/25 12:00 – 2022/12/23 02:00,2022/10/25 12:00:00,2022/12/23 02:00:00,
PUR寵物友善凝香樹｜100%純天然，為毛孩全手工製作的擴香蠟燭,PUR labo,236905,1790,https://www.zeczec.com/projects/pur,"為了心愛動物夥伴而生的安全純天然香氛蠟燭，寵愛毛孩的同時，也可以寵愛自己。,zeczec",19 天,2022/11/16 12:00 – 2023/01/06 23:59,2022/11/16 12:00:00,2023/01/06 23:59:00,
⏱預購最後 5 天，e+自動關超值版｜千萬口碑好評再回歸，最聰明的自動關火裝置，全面防堵爐火意外，100% 守護家中安全,網捷股份有限公司,1388979,2070,https://www.zeczec.com/projects/yztek-2022,"曾創下千萬佳績的e+自動關，獲得台灣超過 10 萬口家庭安裝好評！今年，更榮獲 2022 法國發明展第一名！全新e+自動關超值版承襲前幾代優點，且體積更輕巧、更時尚繽紛更高CP，90% 爐具皆可裝。,zeczec",4 天,2022/11/22 12:00 – 2022/12/23 02:00,2022/11/22 12:00:00,2022/12/23 02:00:00,
【𝑴𝑶𝑶𝑴𝑬𝑵𝑻 台製木時慕門2.0】MIT 後立式木門 / 松木門框 + 日本PP面材 / 完整安裝，全面升級！,木時選品-木時國際建材股份有限公司,516620,18800,https://www.zeczec.com/projects/moomentdoor2,"累積多年裝修經驗，再次推出升級含門框的『木時慕門』，完整SOP木門裝修流程，搭配全新升級的松木門框與日本PP面材，安心的MIT台灣製作 ，為家裡安上一樘好看的高品質木門！,zeczec",12 天,2022/11/01 11:00 – 2022/12/30 23:59,2022/11/01 11:00:00,2022/12/30 23:59:00,
