projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end,new_product
日本皇室宮內廳御用 · 職人手工高級透明傘 WHITE ROSE｜300年歷史日本職人老舖全新優雅之作,Single Step,877370,2680,https://www.zeczec.com/projects/WhiteRose-Japan,"日本傳統櫻皮細工樺木握把、十六枚玻璃纖維傘骨、專利氣閥強風不拖曳翻轉、 特殊傘布視野清透安全不劣化。融入搭襯各式穿著，讓人期待雨天撐起的一盞優雅。,zeczec",8 天,2022/11/25 12:00 – 2022/12/26 23:59,2022/11/25 12:00:00,2022/12/26 23:59:00,
世界第二輕大傘『極度輕高爾夫』271g輕盈登場｜超抗風、防潑水｜雨傘王首創終身免費維修！,雨傘王,1488322,799,https://www.zeczec.com/projects/ultra_lightweight,"親子外出、開車族、高爾夫愛好者、三五好友，想拿出可遮擋所有人的直立大傘， 卻因為重量﹑花色、功能，寧願撐折傘自己淋雨也不願選擇長傘？就讓『極度輕高爾夫』打破刻板印象！ ,zeczec",13 天,2022/11/04 15:00 – 2022/12/31 23:59,2022/11/04 15:00:00,2022/12/31 23:59:00,
❣️募資最後1天 ‧ 絕不延長 ‧ 錯過等漲價!!🔥【WondaMop｜免換水淨水拖把組】污水淨化 × 淨水循環 × 細菌濾淨 × 免倒換水 × 極致乾淨,富商國際股份有限公司,6248138,1480,https://www.zeczec.com/projects/wondamop,"2000年來拖把的全新革命：讓人""嘖嘖稱奇""的拖把! 拖地居然可以不用換水，2.5公升拖地水...居然可以重覆使用如此清澈！ 『從此拖地免換水』＃超濾淨＃真乾淨,zeczec", 16 小時,2022/10/25 12:00 – 2022/12/20 02:00,2022/10/25 12:00:00,2022/12/20 02:00:00,
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,8536400,28900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",11 天,2022/11/15 21:00 – 2022/12/29 23:59,2022/11/15 21:00:00,2022/12/29 23:59:00,
集資封關 倒數2天 最低58折【機能內著 擺脫潮濕】男子內著革命｜舒適・機能・延展・抑菌,Apartment.b 男子公寓,1340347,1769,https://www.zeczec.com/projects/apartmentb-underwear,"【上線14分鐘達標，3週破100萬】無重力內著，給您無重力般的舒適體驗｜使用Tactel® Nylon6.6 超細纖維｜美國 Sciessent® 銅銀離子 除臭技術｜創造時尚與機能兼具的新時代內著,zeczec", 38 小時,2022/11/10 11:00 – 2022/12/20 23:59,2022/11/10 11:00:00,2022/12/20 23:59:00,
熟成清水模落地音響，聲來有型｜台灣手工、藍牙、五單體、獨立可調重低音,二十二設計有限公司,966000,18300,https://www.zeczec.com/projects/bt3concretespeaker,"22STUDIO 與台灣音響品牌 minfort 合作推出「熟成清水模落地音響」，期望結合「豐富細膩的音質感受」、「現代極簡的造型設計」與「高超的原材料工藝」讓你的生活更美好。,zeczec",40 天,2022/12/06 12:00 – 2023/01/27 23:59,2022/12/06 12:00:00,2023/01/27 23:59:00,
【最後5天，不再延長】CHIMEI奇美 瞬熱智慧溫控飲水機｜制霸市面瞬熱飲水機，容量、面板、規格、品質全面大升級，高貴不貴，一鍵瞬熱,CHIMEI 奇美家電,8313639,3680,https://www.zeczec.com/projects/chimei,"304不鏽鋼導熱出水管專利技術，完美克服瞬熱出水難題，SGS認證不含雙酚A安全大容量水箱，5層淨化TÜV認證專業濾心，6大安全保護，免擔心乾燒、跳電、過熱等問題，讓你一鍵瞬熱，安心飲水。,zeczec",5 天,2022/10/26 10:30 – 2022/12/23 23:59,2022/10/26 10:30:00,2022/12/23 23:59:00,
月動褲｜吸血長褲＆吸血短褲，超大吸血面積 x 一件抵三件 x 專利反摺邊防漏工法，超越所有衛生棉，讓月亮褲®解放你的經期 Body！,谷慕慕 GoMoond,1517058,2353,https://www.zeczec.com/projects/GoMoond,"台灣第一件吸血內褲品牌 - 月亮褲®推出的最新力作，「內外褲一體式設計」的吸血長褲＆吸血短褲，讓每個有月經的人，在經期也能更安心自在活動！,zeczec", 16 小時,2022/11/08 20:00 – 2022/12/20 02:00,2022/11/08 20:00:00,2022/12/20 02:00:00,
【Back to Fashion 從心學穿搭】跟著一線品牌掌舵手，學會穿搭技巧，定義獨一無二的你！,Back to fashion 從心學穿搭,190980,2980,https://www.zeczec.com/projects/back-to-fashion,"我們正在籌備一套穿搭課程，從人性結合服裝商品的視角切入，深入淺出解析不同風格穿搭的可能性，讓每一位參與者從中獲得啟發，並找到屬於自己的獨特風格。,zeczec",6 天,2022/10/24 20:00 – 2022/12/24 23:59,2022/10/24 20:00:00,2022/12/24 23:59:00,
小富翁大贏家｜培養財務眼光的理財桌遊、親子引導影音課程,知識衛星 SAT. KNOWLEDGE,1834750,2950,https://www.zeczec.com/projects/financial-board-game-mj,"職業財報講師林明樟老師以投資理財作為出發點，讓大家能提早培養財務眼光，並在遊戲中體驗真實世界變化的桌遊,zeczec",35 天,2022/12/16 12:00 – 2023/01/22 23:59,2022/12/16 12:00:00,2023/01/22 23:59:00,✅
【全力揮擊】原創沉浸式棒球主題桌遊｜朋友聚會、親子時光、球迷競技都適合的經典收藏桌遊,【全力揮擊 ShowTime】,904021,1500,https://www.zeczec.com/projects/showtime,"馬上來場緊張刺激的棒球比賽！在冷氣房中享受在球場上揮汗的樂趣，體驗揮棒打擊的快感。變化多端的攻防事件與靈活的防守布陣，九局下半，等你來一棒炸裂，獲得最終的勝利。,zeczec", 14 小時,2022/09/29 20:00 – 2022/12/19 23:59,2022/09/29 20:00:00,2022/12/19 23:59:00,
