集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
Apitor Robot樂學程式積木 基礎綠Q、進階藍S | 孩子們的mini課外學伴！,Apitor x 有設計,7175419,1980,https://www.zeczec.com/projects/apitor-robot-qs,"全球首發！新體感操控方式、新系列30+玩法、相容樂高與歷代積木！結合主流圖像式編程、互動玩法與物理應用，讓孩子在玩樂中學習STEAM！分階段從組裝、動力操控到編程，陪伴孩子一同成長！,zeczec",18 天,2022/07/25 21:00 – 2022/09/08 23:59,2022-07-25 21:00:00,2022-09-08 23:59:00
早鳥優惠倒數！Lazervida 10W 雷射雕刻機 ► 超高效能，「輕」民登場！​,FLUX Inc.,6716946,13900,https://www.zeczec.com/projects/Lazervida,"顏值、實力、CP 值三者兼具，挑戰更「輕」巧、最「親」民雷射雕刻機。Lazervida 擁有超高品質雷射功率， 並涵蓋專業雷雕效能，熱愛創作的你一定會愛不釋手！,zeczec",34 天,2022/08/10 12:00 – 2022/09/24 23:59,2022-08-10 12:00:00,2022-09-24 23:59:00
【iMiniDV X4 】內建式安全帽行車記錄器｜3秒快拆｜ Wifi連接｜AI智慧啟動｜真人語音｜GPS測速｜守護你的「型」車安全,聯合總部 Federal Headquarters,4225212,2880,https://www.zeczec.com/projects/iminidv-x4,"100% 極隱蔽＋1080p 全高清＋140° 超廣角＝ 你無懼三寶｜不怕碰瓷的秘密武器｜google精準定位｜超高續航,zeczec",18 天,2022/08/11 12:00 – 2022/09/09 02:00,2022-08-11 12:00:00,2022-09-09 02:00:00
萬播T6R Max - 投影王者回歸！最強 CP 值，劇院級享受隨手帶著走！,睿濬國際,4038069,8980,https://www.zeczec.com/projects/t6r-max-cp,"曾創下嘖嘖募資 4000 萬最高紀錄的投影機王者回歸！小套房也能投出 200 吋巨幅螢幕！追劇、玩遊戲、露營星空電影院？T6R Max 讓你用最高的 CP 值，為小空間創造沈浸式的大體驗！,zeczec",30 天,2022/08/16 12:00 – 2022/09/20 23:59,2022-08-16 12:00:00,2022-09-20 23:59:00
𝙈𝙞𝙟𝙞𝙡𝙮 𝘼𝙞𝙧 大氣涼拖鞋｜𝟭 鞋 𝟰 穿的機能神拖 - 急反彈、強支撐、超耐走！,Mijily 米吉利循環鞋履,2769791,1680,https://www.zeczec.com/projects/mijily-air,"這是『史上第一雙大氣控壓的涼拖鞋！』兼具四種鞋面穿法、吊掛收納、耐磨止滑、專利高支撐鞋體，同時輕盈舒適且可回收的休閒涼拖鞋。Mijily 不只賣鞋，我們更注重售後的回收機制！,zeczec",40 天,2022/08/03 12:00 – 2022/09/30 23:59,2022-08-03 12:00:00,2022-09-30 23:59:00
《VERSE》第三年訂閱｜ 訂閱一本絕無僅有的文化雜誌，改變你看見台灣的角度， 參與一場定義時代的文化運動,VERSE,2586751,1890,https://www.zeczec.com/projects/verse-3rd-yrs,"VERSE 準備邁入第三年了，誠摯邀請您加入訂閱的行列，並且和我們加入一場正在改變台灣的文化運動。,zeczec",43 天,2022/07/26 20:00 – 2022/10/03 23:59,2022-07-26 20:00:00,2022-10-03 23:59:00
【 專為孩子精心打造｜coobee 2.0 】 2in1 手搖 / 電動雙升降兒童成長書桌，馬達輕鬆拆卸好安裝！美觀、安全、實用兼具！,欣美SingBee,1525160,27990,https://www.zeczec.com/projects/coobee,"熱銷海內外的coobee 這次進化為電動桌，克服傳統電動桌故障就要整張丟棄的困擾，一張能實現從小用到出社會的兒童電動桌！清新色調，任何裝潢風格都好融入！,zeczec",24 天,2022/08/10 12:00 – 2022/09/14 23:59,2022-08-10 12:00:00,2022-09-14 23:59:00
【 光邑不倒梯 】 世界首創-讓安全「看得見」的第一首選！顛覆你對梯子的印象,光邑實業股份有限公司,1384005,5999,https://www.zeczec.com/projects/LY-Unfalling-Ladder,"為鋁梯帶來嶄新革命！多角度與工作環境完整貼合 x 1 秒超快速單腳收折 x 高達45段數使用，榮獲發明獎殊榮的創新產品體驗,zeczec",40 天,2022/08/08 12:00 – 2022/09/30 23:59,2022-08-08 12:00:00,2022-09-30 23:59:00
apod迷你中華炒鍋｜日本超輕460g窒化鐵鍋，輕鬆翻炒大師鍋氣料理。露營熱壓烤夾套裝,Single Step,1256030,2380,https://www.zeczec.com/projects/apod-wok,"日本燕三条460g超輕純鐵炒鍋。窒化防鏽無塗層不怕刮傷，立體纖維加工讓熱炒健康不油膩，鎖住食材鮮脆水份，輕鬆大火炒出鍋氣靈魂料理！同步加開人氣「便攜熱壓烤夾」,zeczec",8 天,2022/07/29 12:00 – 2022/08/29 23:59,2022-07-29 12:00:00,2022-08-29 23:59:00
【透明血庫】犬貓血庫首度公益透明化 │終結犬貓血液剝削、以命換命的循環 │ 善待捐血救命的犬貓,台灣犬貓公益血庫推動協會,1105827,399,https://www.zeczec.com/projects/friendly-pets-blood,"還給血貓血犬合理人道待遇，寵物急難用血更穩定安心 ,zeczec",40 天,2022/08/03 12:00 – 2022/09/30 23:59,2022-08-03 12:00:00,2022-09-30 23:59:00
《小島散步》2023 木框掛曆×散步小包｜花的美好祝福 ft. 錦源興台南百年布莊,Better Life好感生活研究所,921605,890,https://www.zeczec.com/projects/betterlife2023,"「台灣的可愛，想讓全世界知道！」《小島散步》2023年木框掛曆以「花的美好祝福」為主題，描繪台灣四季花卉景點與花語祝福，並攜手「錦源興台南百年布莊」聯名合作獨家印花「小花園散步小包」。,zeczec",25 天,2022/08/09 21:00 – 2022/09/15 23:59,2022-08-09 21:00:00,2022-09-15 23:59:00
CubieLand 邊看邊說聽故事，親子共讀新體驗。孩子好眠、父母舒心的睡前繪本投影機！,柏展科技股份有限公司,907530,2990,https://www.zeczec.com/projects/cubieland,"睡前儀式都做了，孩子還是遲遲不睡？同樣的故事一再重複也不厭其煩？爸媽要你早點睡不是怕你累，而是爸媽媽自己累！CubieLand 兒童繪本投影機是您哄睡、陪伴和共讀的好幫手！,zeczec",5 天,2022/07/26 10:00 – 2022/08/27 02:00,2022-07-26 10:00:00,2022-08-27 02:00:00
【NEO 全新系列｜後背包、單肩包、托特包】 突破印象、披上色彩、遊走城市，我們都是時尚先「型」者,NIID,824585,3190,https://www.zeczec.com/projects/neo,"NIID 推出全新系列【NEO】，實驗使用新材質 HybridTex & Ultra Fiber 創造出都會潮男潮女愛不釋手、大小適中、功能與造型兼具，風格超強烈的實用 後背包、托特包、單肩包。,zeczec",25 天,2022/07/26 21:00 – 2022/09/16 02:00,2022-07-26 21:00:00,2022-09-16 02:00:00
