集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
xTool M1 三合ㄧ雷雕機 | 雷雕、雷切 & 刀割的夢幻聯手,Makeblock,27771366,32980,https://www.zeczec.com//projects/xtool-m1,"動手玩創作，但雷雕機要1台、切割機又要買1台… 當個 Maker，難道只能【抱歉了錢錢】嗎 TAT？小朋友才選擇，試試全都要的 xTool M1 吧！,zeczec",9 天,2022/05/10 20:00 – 2022/06/08 02:00,2022-05-10 20:00:00,2022-06-08 02:00:00
0.5 Wallet 雙面感應 零錢短夾｜極薄、極輕、極速感應,HANK MAX STUDIO,12621223,2480,https://www.zeczec.com//projects/wallet05,"雙面感應 × 極限輕薄 × 快收快取－日常使用最暢快的零錢短夾！,zeczec",23 天,2022/05/11 11:55 – 2022/06/21 23:59,2022-05-11 11:55:00,2022-06-21 23:59:00
【雲米】方糖洗碗機 - 「我不想洗碗！」入手人生第一台免安裝洗碗機,雲米 VIOMI,9702611,8290,https://www.zeczec.com//projects/sugar,"萬元內、免安裝、超省水！比手洗省 10 倍水量，16 道強力水柱＋UVC 99.99% 強力殺菌，一鍵按下，讓曾經的洗碗惡夢，變得簡單俐落。,zeczec",8 天,2022/05/05 12:00 – 2022/06/07 02:00,2022-05-05 12:00:00,2022-06-07 02:00:00
ZHAO KA 廚餘機：一鍵讓廚餘變綠肥，三公升大容量，和惱人味道與果蠅說再見！,罩咖科技,7051060,7980,https://www.zeczec.com//projects/zhao-ka,"生活新革命，濕黏又長蟲的廚餘已經成為過去，地表最強廚餘機問世，讓你三個月倒一次廚餘，一邊做環保的同時享受種植樂趣！,zeczec",18 天,2022/05/16 21:00 – 2022/06/16 23:59,2022-05-16 21:00:00,2022-06-16 23:59:00
 數感宇宙探索課程｜為國小生打造的生活數學 DIY 影音學習組｜給孩子一堂不一樣的數學課,數感實驗室,3826268,1790,https://www.zeczec.com//projects/numeracymaker,"本課程結合數感實驗室逾 10 年數學教育經驗、史丹佛大學「成長型數學思維」理論。內容針對國小中年級以上的孩子，強調具體、跨域、手作、情境。鼓勵孩子探索思考，讓孩子愛上數學。,zeczec",29 天,2022/05/04 12:00 – 2022/06/28 02:00,2022-05-04 12:00:00,2022-06-28 02:00:00
全面掌握行車安全，首創可提醒前方測速照相！CROXERA® M 智慧後照鏡,CROXERA,2488475,4280,https://www.zeczec.com//projects/croxera-m,"結合分離式運算技術與全新開發智慧聯網裝置，打造跨品牌、不分油電車款可使用的智慧後照鏡－跨世代機車安全服務,zeczec",23 天,2022/05/10 12:00 – 2022/06/21 23:59,2022-05-10 12:00:00,2022-06-21 23:59:00
【 mokibo fusion｜無線鍵盤 】鍵盤就是觸控板！極輕極薄好攜帶，韓國研發製造，行動辦公無極限！,mokibo,2180220,2880,https://www.zeczec.com//projects/mokibo,"鍵盤本身就是觸控板！相容 98% 的平板電腦、手機，多個裝置切換，辦公生活不受限！,zeczec",18 天,2022/05/19 12:00 – 2022/06/17 02:00,2022-05-19 12:00:00,2022-06-17 02:00:00
Yeelight 智慧螢幕掛燈 Pro ｜最高護眼規格設計，RGB 電競氛圍燈搭載，護眼和娛樂雙重兼顧,Yeelight易來科技｜暢享智慧好光,1937117,2980,https://www.zeczec.com//projects/yeelightpro,"Yeelight 2022 全新螢幕掛燈，採用最高規格光照 LED，以及非對稱的光學設計，提供柔和舒適的光線，滿足長時間使用電腦的護眼需求，減少疲勞對眼睛造成的傷害。,zeczec",22 天,2022/05/18 21:00 – 2022/06/20 23:59,2022-05-18 21:00:00,2022-06-20 23:59:00
【 HOMI｜地表最強全情境短袖 & EAM 登山防曬衣 】featuring CORDURA fabric / MIT 設計製造！,HOMI CREATIONS 合覓創造,1803462,3899,https://www.zeczec.com//projects/t-featuring-cordura-fabric,"擺脫棉 T 流汗後的黏著悶濕，機能服飾塗層的異味，真正的涼感透氣，翻轉夏天短T的穿著體驗！EAM 登山探險的最佳上衣，強韌防曬乾爽缺一不可！比防曬外套更好的選擇！,zeczec",25 天,2022/05/24 20:00 – 2022/06/23 23:59,2022-05-24 20:00:00,2022-06-23 23:59:00
【 Phigolf 2｜高爾夫訓練器 】全新設計登場，手感再升級！一次入園價，給你無限制的高爾夫體驗！隨時隨地，即刻揮桿！,Phigolf 高爾夫訓練器,1620882,5099,https://www.zeczec.com//projects/phigolf-2,"透過 9G 超輕量感測器，精準分析您的 6 大指標；支援 3 大超夯高爾夫 APP、親臨世界各大知名球場。讓你不再擔心球場預約問題，也不用看天氣臉色，疫情期間也可以在家與球友組隊線上揮桿！,zeczec",15 天,2022/05/18 20:00 – 2022/06/13 23:59,2022-05-18 20:00:00,2022-06-13 23:59:00
