集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,7548086,9490,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec",29 天,2022/09/07 11:00 – 2022/10/17 23:59,2022-09-07 11:00:00,2022-10-17 23:59:00
未來美✨逆時微電雙波機｜年輕緊緻 + 緊實淡紋，只要 10 分鐘 Hold 住緊緻好狀態！,未來美,5768401,8800,https://www.zeczec.com/projects/beauty-device,"居家頂級美容儀「雙波合一」！在家就可以擁有年輕緊緻護理，防止肌膚老化，鍛鍊臉部線條！,zeczec",37 天,2022/09/13 12:00 – 2022/10/26 02:00,2022-09-13 12:00:00,2022-10-26 02:00:00
2023【每天都想史】手撕日曆｜輕鬆就讀撕歷大學，進入每曆新史界！,每天都想史有限公司,5396247,899,https://www.zeczec.com/projects/deadeveryday,"讓人每天開心讀歷史的神秘魔法！是百萬 YouTuber HOOK 燃燒體內的金木水火土，用對歷史滿滿的愛製作而成的日曆～♪,zeczec",43 天,2022/09/18 12:00 – 2022/10/31 23:59,2022-09-18 12:00:00,2022-10-31 23:59:00
【ULANI 永恆曆 ∞】世界第一款「彩色電子紙」桌曆，把時間變成喜歡的樣子！,ULANI,4480182,2380,https://www.zeczec.com/projects/ulani,"日/月/年曆一鍵變換，不「紙」擺脫用完即撕的浪費，還能藍牙連線同步數位行事曆！不必再每年買用完即丟的日曆，這台陪你年復一年到永恆～ ,zeczec",37 天,2022/09/13 12:00 – 2022/10/26 02:00,2022-09-13 12:00:00,2022-10-26 02:00:00
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,3819910,3980,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",39 天,2022/09/06 21:00 – 2022/10/27 23:59,2022-09-06 21:00:00,2022-10-27 23:59:00
ARMADA 黑晶奈瓷刀｜專為台灣人設計，絕對潔淨的俐落廚刀，讓你下刀如有神！,均岱鍋具 kitchenspring ,3383200,2780,https://www.zeczec.com/projects/armada,"台灣 40 年「均岱鍋具 Kitchenspring」在地研發設計，廚房不可或缺的第二把刀，補足家庭用刀的所有缺陷！抗菌不生鏽、鋒利免磨刀、輕薄耐用，100% 營養保留，給你俐落又安心的備料體驗！,zeczec", 15 小時,2022/08/23 21:00 – 2022/09/19 23:59,2022-08-23 21:00:00,2022-09-19 23:59:00
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 頂規抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,2870433,1499,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",43 天,2022/09/13 12:00 – 2022/10/31 23:59,2022-09-13 12:00:00,2022-10-31 23:59:00
Logitech 特獻果粉😍台灣限定注音鍵盤【 Rugged Combo 3｜iPad 鍵盤保護殼 】&【 Crayon｜iPad 數位筆 】&【 KEYS-TO-GO｜輕巧藍牙鍵盤 】,Logitech Taiwan,2574510,1490,https://www.zeczec.com/projects/logitech-edu,"適用於 Apple 系列！耐用、抗摔，好清潔！,zeczec",12 天,2022/08/23 12:00 – 2022/10/01 02:00,2022-08-23 12:00:00,2022-10-01 02:00:00
折折盒｜2 種型態，∞ 多可能，一秒切換平面/立體的多用途新經典折盒,ZENLET 禪與徠特,2167295,1320,https://www.zeczec.com/projects/FoldiBox,"一款選用食品級耐熱矽膠，搭配日本抗菌銀離子配方，並採磁吸固定以實現迅速攤平、直覺好清洗的多用途新經典折盒。,zeczec",15 天,2022/08/30 12:00 – 2022/10/04 02:00,2022-08-30 12:00:00,2022-10-04 02:00:00
『 日本 amadana ｜16L 極靜高效除濕機 』 - 日本美學 一級能效 16L 除濕機,amadana,1900641,8580,https://www.zeczec.com/projects/amadana-16l,"日式極簡『 16L 除濕機』，大除濕量，40%-80% 濕度符合環境需求！45dB靜音除濕，安心舒適！一級能效，還能自行申請1200元補助喔！,zeczec",6 天,2022/08/23 12:00 – 2022/09/25 02:00,2022-08-23 12:00:00,2022-09-25 02:00:00
日日有影 2023｜生活是電影的本質，電影是生活的淬鍊 ―― 電影日曆陪伴你的 2023 年,釀電影,1851151,980,https://www.zeczec.com/projects/amovieaday,"12 位台灣插畫家，與近百位電影人、影評、作家聯手，讓你的 365 天都有電影相伴。,zeczec",43 天,2022/08/31 21:00 – 2022/10/31 23:59,2022-08-31 21:00:00,2022-10-31 23:59:00
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,1847309,1480,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",23 天,2022/09/07 11:50 – 2022/10/11 23:59,2022-09-07 11:50:00,2022-10-11 23:59:00
【 FLUSSO 瞬適眼鏡｜找回視覺舒適感 】世界首支減壓眼鏡 Made In Taiwan ,flusso,1558720,2380,https://www.zeczec.com/projects/flusso,"不只是抗藍光！由跨領域專家合作找出真正的傷眼原因，世界首創為減壓而生的MIT頂尖專利光學技術，集結各種大品牌鏡片優勢於一身，現在就開始善待您的雙眼！,zeczec",29 天,2022/08/23 10:30 – 2022/10/18 17:59,2022-08-23 10:30:00,2022-10-18 17:59:00
MOFT 石墨烯散熱支架，世界第一款「自主散熱」的筆電支架，解放肩頸、極輕薄、秒收納！,MOFT,1506557,1729,https://www.zeczec.com/projects/moft-Cooling-Stand,"不只照顧你的工作姿勢，還拯救筆電健康！這個夏天跟我們一起告別過燙問題，延續經典功能：1 秒收起、2 種角度、3 大升級 - 防水+防刮+重複撕黏一百次！,zeczec",8 天,2022/08/23 12:00 – 2022/09/27 02:00,2022-08-23 12:00:00,2022-09-27 02:00:00
TOMITA日本職人無刃磨泥器 · 料理不傷手指的溫柔設計｜米其林星級餐廳指定 日本燕三条百年物語之作 ,Single Step,1490900,1080,https://www.zeczec.com/projects/tomita,"安全無刀刃創新磨泥器，手指觸摸也不會被割傷，將食材磨到徹底不浪費，不卡殘渣好清洗。日本金屬工藝之都燕三条百年物語之作，給喜愛料理的人一份溫柔，可使用終身的職人逸品。特別加開「米其林摘星餐廳」指定食器🌟,zeczec",15 天,2022/09/01 12:00 – 2022/10/03 23:59,2022-09-01 12:00:00,2022-10-03 23:59:00
O'miti 極淨小妍 ✦ 潔淨美膚儀 | 世界首創可洗臉、卸妝的導入儀，肌底清潔再淨化！▶️達標解鎖［頭皮按摩配件］限時加贈,lisscode,990160,1980,https://www.zeczec.com/projects/o-miti-all-in-one,"台灣設計製造，專為「全方位女性」量身打造！提供深層、日常、快速的洗卸保養，全面滿足你的肌膚需求，找回極淨透亮裸肌！,zeczec",30 天,2022/09/06 12:00 – 2022/10/19 02:00,2022-09-06 12:00:00,2022-10-19 02:00:00
森下 沉浸式調光 LED 吸頂燈｜家的氛圍由你掌控，享受質感生活新濾鏡,MST 森下照明,877060,590,https://www.zeczec.com/projects/mst,"2022 最強居家改造計畫，「森下吸頂燈」提供遙控多段調光，可隨心所欲自由調整，搭配四種色光模式，適用各種日常情境，讓你輕鬆打造高質感生活風格。,zeczec",16 天,2022/08/23 10:30 – 2022/10/04 23:59,2022-08-23 10:30:00,2022-10-04 23:59:00
【Byzoom Fitness 收納機能美學 閃耀登場｜PURE WHITE 25kg可調式啞鈴＆站立收納健身椅】讓健身房融入您的居家生活。,Byzoom Fitness,867820,17200,https://www.zeczec.com/projects/byzoomfitness-dumbbell-bench,"15段重量調整、體積更小、時尚配色的可調式啞鈴，搭配站立收納、省力收折腳架、5段高度調整、外型簡約俐落，有別以往傳統設計的健身椅，獻給熱愛健身、追求風格美學的您。,zeczec",22 天,2022/09/01 12:00 – 2022/10/10 23:59,2022-09-01 12:00:00,2022-10-10 23:59:00
