projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end,new_product
Poketto | 全型口袋包,greenroom,798310,1380,https://www.zeczec.com/projects/poketto,"4 種背法的多功能小包，容量可切換，立體大空間網袋，可單背或升級裝備。,zeczec",21 天,2022/12/15 12:00 – 2023/01/15 23:59,2022/12/15 12:00:00,2023/01/15 23:59:00,
SWANZ 魔法瓶｜首創防摔淨瓷保溫瓶,Swanz 天鵝瓷,210600,1440,https://www.zeczec.com/projects/swanzMbottle,"首創防摔淨瓷保溫瓶，內裏使用與新加坡科研局A*STAR一同研發的專利淨瓷層，耐用、易潔又輕盈，更不用擔心輕輕摔就有破裂的疑慮，750ml容量搭配高防漏杯蓋設計，讓您如何攜帶都超安心！,zeczec",24 天,2022/12/22 21:30 – 2023/01/19 03:00,2022/12/22 21:30:00,2023/01/19 03:00:00,✅
2023 旗艦機登場👑美國 ELPHECO 絕美太空艙✨除臭感應垃圾桶，全面啟動無菌生活！,ELPHECO,5816288,3990,https://www.zeczec.com/projects/elpheco,"全天候自動殺菌除臭，丟垃圾、整理垃圾🤢不用再憋氣！殺菌率 99.9%🔥垃圾久放不易有異味，感應開蓋不沾手，垃圾廚餘輕鬆丟~,zeczec",37 天,2022/12/20 12:00 – 2023/02/01 02:00,2022/12/20 12:00:00,2023/02/01 02:00:00,✅
【專案倒數 3 天】⏰ xTool D1 Pro 20W 雷雕機 ✨ 王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,12889790,43980,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",3 天,2022/11/03 12:00 – 2022/12/29 02:00,2022/11/03 12:00:00,2022/12/29 02:00:00,
《山岳》企劃｜全手工製植鞣革短夾錢包,The Fūkei,108100,3580,https://www.zeczec.com/projects/the-fukei-peak,"the Fūkei 透過《山岳》企劃，結合台灣山岳文化與全手工藝皮革技術，將山帶到你身邊。,zeczec",65 天,2022/12/22 20:00 – 2023/03/01 00:00,2022/12/22 20:00:00,2023/03/01 00:00:00,✅
HOYA 石墨烯遠紅外線腳底按摩墊｜石墨烯添加，遠紅外線促進循環，最懶的保健方法，用「踩」的就可以！,和亞健康生活家,80210,4190,https://www.zeczec.com/projects/hoya-mat,"HOYA 石墨烯遠紅外線腳底按摩墊，以高科技「石墨烯」材料打造，能發出人體所需要的遠紅外線，非接觸式的刺激方式，喚醒腳底重要穴道及反射區，享受腳底按摩的樂趣，改善身體循環超有感。,zeczec",37 天,2022/12/22 11:00 – 2023/01/31 23:59,2022/12/22 11:00:00,2023/01/31 23:59:00,✅
【集資倒數最後一週！】月動褲｜吸血長褲＆吸血短褲，超大吸血面積 x 一件抵三件 x 專利反摺邊防漏工法，超越所有衛生棉，讓月亮褲®解放你的經期 Body！,谷慕慕 GoMoond,1601260,2353,https://www.zeczec.com/projects/GoMoond,"台灣第一件吸血內褲品牌 - 月亮褲®推出的最新力作，「內外褲一體式設計」的吸血長褲＆吸血短褲，讓每個有月經的人，在經期也能更安心自在活動！,zeczec",6 天,2022/11/08 20:00 – 2023/01/01 02:00,2022/11/08 20:00:00,2023/01/01 02:00:00,
【 大同寶寶智慧音箱 】｜全球首創人偶造型 AI 智慧音箱，全向高音質喇叭 ＋ Google 語音助理，最親切的智慧管家到你家！,大同綜合訊電股份有限公司,3131100,3580,https://www.zeczec.com/projects/t-boy,"最熟悉的老朋友——大同寶寶數位變身超聰明管家，只要動動口就能播放高音質串流音樂，還能遙控家中智慧家電，回答各種生活小知識，全家人的需求攏 A 通！,zeczec",18 天,2022/12/20 20:00 – 2023/01/13 12:00,2022/12/20 20:00:00,2023/01/13 12:00:00,✅
《街上的哈瓦那》：遊走在褪色迷幻的古巴風景｜新書募資計畫,細腿男,195720,680,https://www.zeczec.com/projects/havana-viewfinder,"旅遊作家細腿男繼《里斯本，沒落的美感》後，再推出古巴哈瓦那的全新創作,zeczec",11 天,2022/11/29 20:00 – 2023/01/06 02:00,2022/11/29 20:00:00,2023/01/06 02:00:00,
陳明珠｜首張迷你音樂專輯《有心人是》募資計畫,有禾工作室,230686,680,https://www.zeczec.com/projects/mingchu-heartwithin,"《有心人是》有心的你，讓明珠用四首歌的時間，幫你把心裡面想對有心人說的感謝、思念、滿滿的愛，唱給對方聽！也送有心的你，宇宙中有你心的亮光。,zeczec",65 天,2022/12/25 12:00 – 2023/03/01 02:00,2022/12/25 12:00:00,2023/03/01 02:00:00,✅
LIGHTCITY 多功能防水鞋｜防水 x 抗汙 x 震動按摩休閒運動鞋,LIGHTCITY防水鞋,374625,2525,https://www.zeczec.com/projects/LIGHTCITY,"採用雙向奈米防水膜，實現動態防水 3 萬次不進水，橫跨水陸空，輕鬆應對各種複雜天氣，並且還有震動按摩，一分鐘 200 次物理震動，釋放腳底壓力，讓您越走越輕鬆！,zeczec",37 天,2022/12/09 12:00 – 2023/01/31 23:59,2022/12/09 12:00:00,2023/01/31 23:59:00,
一鍵全自動充氣－Jodo！啵啵椅，隨身專屬沙發，讓世界美景都變成你家客廳,Jodo！,1473520,3980,https://www.zeczec.com/projects/jodo-pop-chair,"21 世紀可以把沙發帶出家門了！突破市面充氣用具的設計思維，一鍵按下立刻自動充氣，你的「個人專屬沙發」就此誕生～圓弧椅身打造雲朵包覆坐感，不管是草地、海邊、露營都像在家一樣舒適。,zeczec",27 天,2022/12/21 12:00 – 2023/01/21 23:59,2022/12/21 12:00:00,2023/01/21 23:59:00,✅
HAGURUMA｜ OPEN↔CLOSED切換自如，一個Move見證結構之美,HAGURUMA,28320,1880,https://www.zeczec.com/projects/haguruma-open-closed-move,"縱使工作忙得焦頭爛額，生活中的儀式感也不能少！每個人開啟一天的方式都不一樣，有的人從喝一口咖啡開始，有的人從吃美味早餐開始。從今天起，你可以從轉動HAGURUMA開啟美好的一天！,zeczec",47 天,2022/12/24 12:00 – 2023/02/10 23:59,2022/12/24 12:00:00,2023/02/10 23:59:00,✅
AIRone 智慧型光觸媒空氣淨化器｜0 耗材，革命性『光分解引擎』淨化永不減弱，異味甲醛病菌都消滅！,圓方生活YFLife ,2315020,3490,https://www.zeczec.com/projects/airone,"世界最小智慧型空氣淨化器。24小時空氣品質、CO2、溫度、濕度即時偵測與淨化力自動調節、黴菌病毒傳播預警功能，是您最貼心的空氣保鑣。獨家H2O再生技術及可拆洗光觸媒引擎，淨化能力永不減弱 ！,zeczec",37 天,2022/12/15 12:00 – 2023/01/31 23:59,2022/12/15 12:00:00,2023/01/31 23:59:00,
iMAT 翻轉切割墊 2.0｜大面積使用、輕鬆摺疊好攜帶，全新吸磁、收納功能，便利再升級！,iMAT,686222,1496,https://www.zeczec.com/projects/imat-2,"延續『大面積使用，小面積攜帶』形式， 搭配強力磁鐵使用的『吸磁版』／夾持 新型專利-微笑U型夾的『收納版』， 絕對顛覆您對切割墊創新的想像！,zeczec",3 天,2022/11/30 21:00 – 2022/12/28 23:59,2022/11/30 21:00:00,2022/12/28 23:59:00,
媽媽友MAMAYO黏土｜不會乾、重複玩的台灣製黏土，安心完美黏土提案：CP最高、玩法最多、清潔最易！,媽媽友mamayo,1349543,1599,https://www.zeczec.com/projects/mamayo-clay,"革命性專利技術，打造最適合孩子的三款特殊材質黏土，建構孩子想像、益智學習、感官探索體驗，解決了目前市售黏土的所有痛點，堪稱黏土界的最強王者！,zeczec",19 天,2022/11/28 12:00 – 2023/01/13 23:59,2022/11/28 12:00:00,2023/01/13 23:59:00,
日本皇室宮內廳御用 · 職人手工高級透明傘 WHITE ROSE｜300年歷史日本職人老舖全新優雅之作,Single Step,1013270,2680,https://www.zeczec.com/projects/WhiteRose-Japan,"日本傳統櫻皮細工樺木握把、十六枚玻璃纖維傘骨、專利氣閥強風不拖曳翻轉、 特殊傘布視野清透安全不劣化。融入搭襯各式穿著，讓人期待雨天撐起的一盞優雅。,zeczec", 15 小時,2022/11/25 12:00 – 2022/12/26 23:59,2022/11/25 12:00:00,2022/12/26 23:59:00,
FOLIO 2.0植鞣短夾｜日本TIDY同源品牌，改版全新升級，16層大容量收納王者，靠卡感應設計！,TIDY ,359000,2150,https://www.zeczec.com/projects/folio-20,"日本皮夾募資銷售冠軍—TIDY同源品牌，短夾收納術王者，日本長期熱銷款「FOLIO植鞣短夾」2.0全新改版升級，16層大容量收納空間、快速靠卡感應、RFID防盜刷設計,zeczec",40 天,2022/12/21 10:30 – 2023/02/03 23:59,2022/12/21 10:30:00,2023/02/03 23:59:00,✅
【營養正義】8合1頂級瑪卡精胺酸鋅 | 只賺您100圓左右的合理利潤 | 全成分世界頂尖大廠品牌原料,BIO O BioMed 百圓生醫科技,247439,3447,https://www.zeczec.com/projects/bio-o-maca-sport-plus,"你受夠了市面上有效成分不足貴又無感的增強體力產品嗎?新的一年就是要滿滿元氣與強大體力!8大頂級爆量營養素，一盒30包給您30日滿載補給，體驗最有感的增強體力!除了一支抵8支之外，還幫您省荷包!,zeczec",36 天,2022/12/23 12:00 – 2023/01/31 02:00,2022/12/23 12:00:00,2023/01/31 02:00:00,✅
《未來導航｜做決策的工具》人類圖桌遊集資計畫,Repeat的人類圖計程車,276270,2180,https://www.zeczec.com/projects/repeat_hd_taxi,"這是全世界第一款以「人類圖」作為設計的桌遊，包括已經學過人類圖的人、剛開始接觸的新手，還是未來想要學習的朋友，都可以透過這套遊戲理解如何透過「類型策略與內在權威」來做出人生中的大小決定。,zeczec",38 天,2022/12/12 20:00 – 2023/02/02 02:00,2022/12/12 20:00:00,2023/02/02 02:00:00,
