商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束,新品入榜
【 大同寶寶智慧音箱 】｜全球首創人偶造型 AI 智慧音箱，全向高音質喇叭 ＋ Google 語音助理，最親切的智慧管家到你家！,大同綜合訊電股份有限公司,5028519,3580,https://www.zeczec.com/projects/t-boy,"最熟悉的老朋友——大同寶寶數位變身超聰明管家，只要動動口就能播放高音質串流音樂，還能遙控家中智慧家電，回答各種生活小知識，全家人的需求攏 A 通！,zeczec",4 天,2022/12/20 20:00 – 2023/01/13 12:00,2022-12-20 20:00:00,2023-01-13 12:00:00,
小富翁大贏家｜培養財務眼光的理財桌遊、親子引導影音課程,知識衛星 SAT. KNOWLEDGE,4676770,3480,https://www.zeczec.com/projects/financial-board-game-mj,"職業財報講師林明樟老師以投資理財作為出發點，讓大家能提早培養財務眼光，並在遊戲中體驗真實世界變化的桌遊,zeczec",14 天,2022/12/16 12:00 – 2023/01/22 23:59,2022-12-16 12:00:00,2023-01-22 23:59:00,
 MOFT 磁吸行動電源｜1 秒吸上、立即充電，行動電源 × 支架 × 卡夾 完美 3 in 1,MOFT,3569271,1699,https://www.zeczec.com/projects/moft-battery-pack,"首創可拆式支架電源組合！磁吸式無線充電，電源僅 120g、1.2 cm 極輕薄，直立橫放三角度輕鬆切換，內建卡夾可收納二張卡片，滿足你出國旅遊、日常攜帶的救急所需！,zeczec",22 天,2022/12/15 12:00 – 2023/01/31 02:00,2022-12-15 12:00:00,2023-01-31 02:00:00,
AIRone 智慧型光觸媒空氣淨化器｜0 耗材，革命性『光分解引擎』淨化永不減弱，異味甲醛病菌都消滅！,圓方生活YFLife ,3290950,3490,https://www.zeczec.com/projects/airone,"世界最小智慧型空氣淨化器。24小時空氣品質、CO2、溫度、濕度即時偵測與淨化力自動調節、黴菌病毒傳播預警功能，是您最貼心的空氣保鑣。獨家H2O再生技術及可拆洗光觸媒引擎，淨化能力永不減弱 ！,zeczec",23 天,2022/12/15 12:00 – 2023/01/31 23:59,2022-12-15 12:00:00,2023-01-31 23:59:00,
一鍵全自動充氣－Jodo！啵啵椅，隨身專屬沙發，讓世界美景都變成你家客廳,Jodo！,2118280,4280,https://www.zeczec.com/projects/jodo-pop-chair,"21 世紀可以把沙發帶出家門了！突破市面充氣用具的設計思維，一鍵按下立刻自動充氣，你的「個人專屬沙發」就此誕生～圓弧椅身打造雲朵包覆坐感，不管是草地、海邊、露營都像在家一樣舒適。,zeczec",13 天,2022/12/21 12:00 – 2023/01/21 23:59,2022-12-21 12:00:00,2023-01-21 23:59:00,
HOMI｜地表最強遠紅外線日常&防水機能連帽外套 TheHood & TheHood Pro,HOMI CREATIONS 合覓創造,2002352,5560,https://www.zeczec.com/projects/homi-thehood-thehood-pro,"MIT 第一件完整導水設計的連帽防水外套，防水不僅是布料規格，導水及流向更是關鍵！ 日常的連帽外套，更應該有貼近現代的收納及外型設計！,zeczec",23 天,2022/12/13 20:00 – 2023/02/01 02:00,2022-12-13 20:00:00,2023-02-01 02:00:00,
德國百靈 PowerBlend 9 多動向智能調理機｜頂級轉速 x 口感自訂 x 自動清潔,Braun Household,1708800,13800,https://www.zeczec.com/projects/powerblend9,"百年德國品牌百靈以創新科技，打造 42000 轉高速馬達，搭配獨家多動向技術與 18 種料理模式，各式醬料、健身減脂飲品，還是肉漿料理，都能輕鬆上桌！,zeczec",9 天,2022/12/22 12:00 – 2023/01/18 12:00,2022-12-22 12:00:00,2023-01-18 12:00:00,
[100% 原創] P-Flash 智慧並聯式，金屬閃光彈行動電源,LMC & Co.銅雀股份有限公司,1427830,2380,https://www.zeczec.com/projects/p-flash,"1:1 閃光彈造型，拉掉安全插銷後保險桿立即彈開並點亮手電筒。 無限擴充式行動電源。讓您不論身處何種戰場，都能有源源不絕的電力與中二力！,zeczec",9 天,2022/12/22 21:00 – 2023/01/17 23:59,2022-12-22 21:00:00,2023-01-17 23:59:00,
呼哩金好睏【科技雙面床墊】讓高科技幫你夜夜好眠,純粹。眠,1259260,19800,https://www.zeczec.com/projects/jinhaokun,"拜拜了輾轉難眠、起床時的疲累►有效降溫、排放靜電強化體內環保、不干擾獨立筒設計◀︎你尋尋覓覓的床墊就在這！,zeczec",25 天,2022/12/20 21:00 – 2023/02/02 23:59,2022-12-20 21:00:00,2023-02-02 23:59:00,
Poketto | 全型口袋包,greenroom,1037510,1420,https://www.zeczec.com/projects/poketto,"4 種背法的多功能小包，容量可切換，立體大空間網袋，可單背或升級裝備。,zeczec",7 天,2022/12/15 12:00 – 2023/01/15 23:59,2022-12-15 12:00:00,2023-01-15 23:59:00,
KUHN RIKON 經典白防水購物拖輪車｜購物採買、出國血拼、露營野餐，一袋輕鬆搞定！,瑞康國際,967415,4999,https://www.zeczec.com/projects/KR-waterproofshopper,"瑞康屋全新力作！與瑞士百年品牌共同設計，超乎想像的大容量，裝滿50kg一樣滑順好推！潔白車身擁有超強防潑水，髒污下雨都不怕！不使用時還可摺疊收納，就要讓你「便利 優雅 品味生活袋著走！」,zeczec",21 天,2022/12/21 12:00 – 2023/01/30 12:00,2022-12-21 12:00:00,2023-01-30 12:00:00,
最能裝的行李箱！【SWISS STYLE｜30吋胖胖箱之王】二代戰艦箱 出國旅遊這咖就夠！,SWISS STYLE,947760,4860,https://www.zeczec.com/projects/swissstyle-trunk,"最耐摔！各種角度都好拉！同級最輕量，還兼具大容量，完美制霸各種場合的萬用行李箱！,zeczec",22 天,2022/12/27 12:00 – 2023/01/31 02:00,2022-12-27 12:00:00,2023-01-31 02:00:00,
【營養正義】8合1頂級瑪卡精胺酸鋅 | 只賺您100圓左右的合理利潤 | 全成分世界頂尖大廠品牌原料,BIO O BioMed 百圓生醫科技,926166,3447,https://www.zeczec.com/projects/bio-o-maca-sport-plus,"你受夠了市面上有效成分不足貴又無感的增強體力產品嗎?新的一年就是要滿滿元氣與強大體力!8大頂級爆量營養素，一盒30包給您30日滿載補給，體驗最有感的增強體力!除了一支抵8支之外，還幫您省荷包!,zeczec",22 天,2022/12/23 12:00 – 2023/01/31 02:00,2022-12-23 12:00:00,2023-01-31 02:00:00,
海外熱銷千萬！【Hurdle 多功能鵝型衣褲架】把衣物收納變簡單🪄,CollaboSpace Taiwan,751180,950,https://www.zeczec.com/projects/hurdle,"同時具備簡約外型及使用便利性，多樣貼心設計讓你能夠更簡單、快速地整理衣褲，把你的衣櫃空間變大變整齊～,zeczec",26 天,2022/12/20 20:00 – 2023/02/04 02:00,2022-12-20 20:00:00,2023-02-04 02:00:00,
【 bitplay 全天候防水輕量風雨衣 】都會風格的超機能防風雨外套,bitplay,686980,4690,https://www.zeczec.com/projects/bitplay_wandercoat,"專門為台灣潮濕黏膩的氣候設計，專業戶外等級全防水 x 都會經典風衣版型 x 最新專利機能布料，快速收納攜帶，適應天氣變化、百搭不同身型的防風雨大衣。,zeczec",4 天,2022/12/12 12:00 – 2023/01/12 23:59,2022-12-12 12:00:00,2023-01-12 23:59:00,
SWANZ 魔法瓶｜首創防摔淨瓷保溫瓶,Swanz 天鵝瓷,680560,1440,https://www.zeczec.com/projects/swanzMbottle,"首創防摔淨瓷保溫瓶，內裏使用與新加坡科研局A*STAR一同研發的專利淨瓷層，耐用、易潔又輕盈，更不用擔心輕輕摔就有破裂的疑慮，750ml容量搭配高防漏杯蓋設計，讓您如何攜帶都超安心！,zeczec",10 天,2022/12/22 21:30 – 2023/01/19 03:00,2022-12-22 21:30:00,2023-01-19 03:00:00,
PICABOO 布咔寶學習餐具 | 兩段式直覺握把 | 寶貝自主用餐不卡卡,CYD TERRA 項晴實業有限公司,616380,1180,https://www.zeczec.com/projects/picaboo,"獨創兩段式握把設計，讓寶貝從初學自主用餐，到銜接筷子使用，讓每階段的挑戰都像是場輕鬆愉快的遊戲。,zeczec",23 天,2022/12/27 12:00 – 2023/01/31 23:59,2022-12-27 12:00:00,2023-01-31 23:59:00,
FOLIO 2.0植鞣短夾｜日本TIDY同源品牌，改版全新升級，16層大容量收納王者，靠卡感應設計！,TIDY ,615900,2150,https://www.zeczec.com/projects/folio-20,"日本皮夾募資銷售冠軍—TIDY同源品牌，短夾收納術王者，日本長期熱銷款「FOLIO植鞣短夾」2.0全新改版升級，16層大容量收納空間、快速靠卡感應、RFID防盜刷設計,zeczec",26 天,2022/12/21 10:30 – 2023/02/03 23:59,2022-12-21 10:30:00,2023-02-03 23:59:00,
【 Ultra sonic｜超音波震動洗物機 第二代】每秒5萬次超音波震動，彈掉髒污、UVC深層殺菌,Ultra sonic ,603140,3680,https://www.zeczec.com/projects/ultrasonic2,"新型清洗神器「超音波震動洗物機」功能改良再進化！ 不只洗衣，洗水果、盤子、飾品通通都能一機搞定! 超微細泡泡碰撞污垢根源，髒污連根拔除！第二代增加獨家UVC紫外線燈，洗淨更升級！,zeczec", 16 小時,2022/12/15 12:00 – 2023/01/10 02:00,2022-12-15 12:00:00,2023-01-10 02:00:00,
ISHIKEN 多功能靴型睡袋｜日本製造，高科技人造羽絨超輕量保暖＋可機洗設計，滿足台灣四季使用 ,ISHIKEN株式會社,598500,6950,https://www.zeczec.com/projects/ishiken,"戶外生活也能睡得像在家一樣！日本職人手工製造的 ISHIKEN 多功能睡袋，使用人工科技羽絨，打造超輕保暖的睡眠體驗，更適用於台灣多變氣候，為每次旅途留下美好回憶。,zeczec",31 天,2022/12/13 21:00 – 2023/02/09 02:00,2022-12-13 21:00:00,2023-02-09 02:00:00,
百樂水活氧廚房食材淨泡機｜業界第一 99.999% 殺菌力，通過 SGS 多項認證、歐盟認可，農藥/致病菌/異味一次擊殺！全球破千家五星餐飲集團、牙醫診所唯一指名。,嘉儀企業股份有限公司,598400,8800,https://www.zeczec.com/projects/biolux,"業界超霸殺菌力 99.999%，通過 SGS 及歐盟的高安全性，每秒50千兆活氧分子，有效降解農藥，生鮮食材／廚房用具／食器抹布皆安全殺菌無殘留！守護全家，長輩與小孩也能安心用。,zeczec",7 天,2022/12/15 12:00 – 2023/01/15 23:59,2022-12-15 12:00:00,2023-01-15 23:59:00,
寵物界最強頂極魚油｜舒壓、好眠、極致修護力｜此生不容錯過,嬌寵醫生,555788,802,https://www.zeczec.com/projects/proudpetfishoil,"寵物界第一款Omega3含量最高、第一款透過減壓、舒眠來達到身體最強修復力的最高品質魚油，全年齡、一輩子一劑滿足,zeczec",37 天,2022/12/15 09:00 – 2023/02/15 02:00,2022-12-15 09:00:00,2023-02-15 02:00:00,
