商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束,新品入榜
【OSOTEK 順造】H200 黑豹｜6合1「履帶式、可平躺」無線吸拖洗地機｜隱藏王者 x 乾淨萬歲,OSOTEK TW,4721425,14399,https://www.zeczec.com/projects/OSOTEK_H200,"哇乾淨 FOREVER！！「吸塵、拖地、吸水、除菌、自清洗、熱烘乾」6項全能；「超寬幅履帶式滾刷 / 180度平躺吸拖 / 一鍵 自清洗+熱烘乾」3大獨家技術；全方位清潔力，掀起洗地機市場新革命！,zeczec",25 天,2023/01/05 12:00 – 2023/02/03 02:00,2023-01-05 12:00:00,2023-02-03 02:00:00,✅
Neutral Position 回正鞋墊 ▶︎ 你的貼身足部照護師＆完美體態小幫手！,A.S.O × HM,3922070,2380,https://www.zeczec.com/projects/aso-np-shoepad,"30 年製鞋經驗 × 10 年足部健康照護專業 = 不只是鞋墊，更是改善生活困擾的好夥伴！幫助腳骨回正 × 改善腿型體態 × 左右腳對症訂製，輕鬆檢測 ▶︎ 舒服入腳 ▶︎ 走得更健康～,zeczec",11 天,2023/01/03 11:55 – 2023/01/19 23:59,2023-01-03 11:55:00,2023-01-19 23:59:00,✅
【TCL A3 Smart 】	UV-C紫外線殺菌空氣清淨機｜ 同階功能制霸、價格制霸,TCL海悅智慧生活網,1016340,5880,https://www.zeczec.com/projects/tcla3,"UV-C冠狀病毒剋星x可淨化小至PM0.3顆粒物x甲醛去除率99% x 零臭氧x SGS認證x美國實驗認證,zeczec",28 天,2023/01/05 21:00 – 2023/02/05 23:59,2023-01-05 21:00:00,2023-02-05 23:59:00,✅
【逸盛LED超廣域觸控護眼檯燈】視放無限、多角度、滿足你所有對💡燈 💡的需求 ！,逸盛科技 逸享生活 綠淨未來🌳,920180,2880,https://www.zeczec.com/projects/esensepro,"逸盛 LED超廣域觸控護眼檯燈｜開啟生活光明燈💡80cm地表最長，解決了目前市售不合格檯燈的所有痛點，用最輕鬆的方式享受最好的燈與光🌟。,zeczec",54 天,2023/01/05 20:00 – 2023/03/04 02:00,2023-01-05 20:00:00,2023-03-04 02:00:00,✅
台灣道奇兔【Vtuber 兔姬】3D化 & 虛實互動軟體V-AR開發募資【虛擬Youtuber】,惡兔重工,745700,300,https://www.zeczec.com/projects/UsagiHime3D,"打造Vtuber兔姬的3D化 ! 開發虛實互動軟體V-AR，我們會在2023年開拓動漫祭FF40 進行突破虛擬次元體驗首發!!,zeczec",24 天,2023/01/03 12:00 – 2023/02/01 23:59,2023-01-03 12:00:00,2023-02-01 23:59:00,✅
【Kangjipsa 韓國巨大貓砂盆 |守護主子膀胱健康 】以貓咪需求為本 台灣獨家代理,毛星大使有限公司,655390,1590,https://www.zeczec.com/projects/kangjipsa,"身為專業的管家，請選擇夠大又抗菌的砂盆，守護主子泌尿道健康,zeczec",46 天,2023/01/04 20:00 – 2023/02/24 02:00,2023-01-04 20:00:00,2023-02-24 02:00:00,✅
2023 旗艦機登場👑美國 ELPHECO 絕美太空艙✨除臭感應垃圾桶，全面啟動無菌生活！,ELPHECO,9221504,3999,https://www.zeczec.com/projects/elpheco,"全天候自動殺菌除臭，丟垃圾、整理垃圾🤢不用再憋氣！殺菌率 99.9%🔥垃圾久放不易有異味，感應開蓋不沾手，垃圾廚餘輕鬆丟~,zeczec",23 天,2022/12/20 12:00 – 2023/02/01 02:00,2022-12-20 12:00:00,2023-02-01 02:00:00,
《 PopuPiano 七彩智慧鋼琴 》從基礎初學到專業創作，帶你實現「彈鋼琴、自彈自唱」的夢想！,PopuMusic 台灣,7075819,8990,https://www.zeczec.com/projects/popupiano,"琴鍵七彩 LED 燈｜APP 遊戲化教學｜一鍵產生和弦 + 節奏打擊｜音色/調式 變換、疊加錄製｜支援 GarageBand 等 MIDI 軟體 ➢ 不論初心者或玩家都能快速上手！,zeczec",5 天,2022/12/13 12:00 – 2023/01/13 23:59,2022-12-13 12:00:00,2023-01-13 23:59:00,
【突破600萬】霍曼Homerunpet 智能寵物餵食器｜不在家也能準時放飯，毛孩專屬健康飲食守護者,霍曼Homerunpet,6218852,2390,https://www.zeczec.com/projects/homerunpet-feeder,"餵養儲糧，一機搞定！毛孩餵食旗艦機種，不在家也能準時放飯，上班、外出也不用擔心毛孩在家會餓肚子。霍曼最強餵食器，放飯就是輕鬆又寫意～,zeczec",10 天,2022/12/13 12:00 – 2023/01/19 02:00,2022-12-13 12:00:00,2023-01-19 02:00:00,
北魏真書體｜源於城市，取自傳承，一款新時代的字體,北魏真書體,5838318,3300,https://www.zeczec.com/projects/zansyu,"北魏真書體，透過字體研究和電腦技術重新設計的全新楷書字體，以字體設計傳承、演繹文化，向世界傳遞新的語言使用形式。,zeczec",8 天,2022/12/14 21:00 – 2023/01/17 02:00,2022-12-14 21:00:00,2023-01-17 02:00:00,
