projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
PUR寵物友善凝香樹｜100%純天然，為毛孩全手工製作的擴香蠟燭,PUR labo,5570,2190,https://www.zeczec.com/projects/pur,"為了心愛動物夥伴而生的安全純天然香氛蠟燭，寵愛毛孩的同時，也可以寵愛自己。,zeczec",51 天,2022/11/16 12:00 – 2023/01/06 23:59,2022/11/16 12:00:00,2023/01/06 23:59:00
Fun放展示台 | 辦公室空間增倍術x打造個人療癒小天地x創造職場好人緣,inlife studio,15358,1380,https://www.zeczec.com/projects/fun-level-up,"「一項產品、兩面使用、三種滿足」 使用18mm的實木製作，可依你的情境雙面使用，質感、收納、展示功能都能同時滿足的展示台，level up你的辦公桌!,zeczec",55 天,2022/11/16 12:00 – 2023/01/11 02:00,2022/11/16 12:00:00,2023/01/11 02:00:00
《00無限公司》世新大學資訊傳播學系108級畢展 策展組 |募資計畫,00無限公司,0,99,https://www.zeczec.com/projects/ics-00-company,"我們是世新大學資訊傳播學系108級畢業展覽策展團隊，此次計劃主要目的是為本屆畢展募資。本次展覽結合「聯合國SDGs」，動物保衛、心靈守護、人際互動以及價值延續等四大部門以不同形式探討多樣層面的永續。,zeczec",45 天,2022/11/16 11:00 – 2022/12/31 23:59,2022/11/16 11:00:00,2022/12/31 23:59:00
Fuumas Puzzle 阿里山百年 SL-21 夏依式火車收藏紀念款模型 | 祝賀阿里山林業鐵路 & 夏依式火車 110 周年誕辰、3D 立體可動木質模型拼圖！,富馬樂創,350499,1970,https://www.zeczec.com/projects/FuumasPuzzle-SL-21,"透過現代工藝、設計巧思，讓消費者以合理的價格，擁有「立體、可手動、著重細節」的DIY木質蒸汽機車拼圖！,zeczec",43 天,2022/11/16 10:30 – 2022/12/29 23:59,2022/11/16 10:30:00,2022/12/29 23:59:00
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,4007500,28900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",43 天,2022/11/15 21:00 – 2022/12/29 23:59,2022/11/15 21:00:00,2022/12/29 23:59:00
【WATCH THE MUSIC】潮流智能音樂眼鏡 / 墨鏡 - 讓科技融入生活、從此釋放雙耳！,KlassiC. x AES x SOLOS,316400,8200,https://www.zeczec.com/projects/klassic,"結合亞洲臉型鏡框、潮流時尚風格與最新智能科技，歷時兩年研發打造集聽歌通話與健康監測於一身，能自在配戴的整合性智慧音樂眼鏡 / 墨鏡！,zeczec",44 天,2022/11/15 21:00 – 2022/12/30 23:59,2022/11/15 21:00:00,2022/12/30 23:59:00
【限量33折】🌳小芳純森🌳｜空間防護迷你擴香儀｜療癒呼吸 ‧ 還原精油原始香氛！,BriseCare B.V.,162533,990,https://www.zeczec.com/projects/snano,"首款具備「空間防護」的隨身擴香儀，6x6公分超迷你，清淨機級空氣純化技術，瞬間去除空氣中異味分子，隨時享受最原始的精油香氛！,zeczec",21 天,2022/11/15 21:00 – 2022/12/08 00:00,2022/11/15 21:00:00,2022/12/08 00:00:00
Hello Studio 你好工作室《狐吉與星星》繪本出版計畫,你好藝思有限公司,127470,1250,https://www.zeczec.com/projects/hellostudio,"總是為了別人奔波的你，有多久沒有跟自己說聲「辛苦了」？ 這是一本關於「愛自己」的繪本。,zeczec",45 天,2022/11/15 20:00 – 2022/12/31 23:59,2022/11/15 20:00:00,2022/12/31 23:59:00
【VIVAWANG x 白沙屯媽組鑾轎紀念燈】6 合 1 最強許願燈、頭旗化煞、勇軍護航、檀香引路、媽祖錢母坐鎮、轎頂獅有求必應、刺繡轎彩十足復刻鑾轎風采，點亮癸卯年前景光明 ⛩️ 百年香隨-粉紅超跑進家門！,VIVAWANG 香氛。居禮。時光,20746,2980,https://www.zeczec.com/projects/VIVAWANG,"致力文創力作，完美升級點燈、擴香、環保、安全、30天換一杯開運香燭、許願、祝福...等多種好處，白沙屯媽鑾轎紀念燈！ 「求好運」超值收藏，日常祈福不再遙遠，讓生活充滿幸福和諧、財運進家門！,zeczec",45 天,2022/11/15 15:00 – 2022/12/31 23:59,2022/11/15 15:00:00,2022/12/31 23:59:00
【LOTUS海洋流動畫瑜珈墊】是瑜珈墊也是藝術品，你的腳下就是一片海洋，讓各種色彩隨著心流創造動態的冥想,LotusFitness,6790,4200,https://www.zeczec.com/projects/flow-art-yoga-mat,"與「Mia的流動藝饗世界」藝術家王育慧Mia共同合作，將具有流動美感的海洋紋理烙印在瑜珈墊上，推出「藝術美感」與「止滑力」兼具的PU天然橡膠瑜珈墊與抑菌仿麂皮瑜珈舖巾。,zeczec",43 天,2022/11/15 12:00 – 2022/12/29 23:59,2022/11/15 12:00:00,2022/12/29 23:59:00
青少年憂鬱症防治暨家庭支持服務計畫,敦安基金會,2000,300,https://www.zeczec.com/projects/dwenan,"敦安基金會自2002年起投入青少年憂鬱症防治，每年服務近700人次的憂鬱青少年，陪伴他們長出復原力，走出憂鬱風暴。,zeczec",29 天,2022/11/15 12:00 – 2022/12/15 23:59,2022/11/15 12:00:00,2022/12/15 23:59:00
