【老菸樓修復計畫】用檸檬和咖啡延續菸樓的香氣｜老菸樓檸檬咖啡浸泡包,翰翔實業有限公司,3600,900,https://www.zeczec.com//projects/lemoncoffee,"有一次我們吃著剛烘好的檸檬乾，一邊喝著鍾阿姨沖泡的咖啡，意外發現檸檬乾和咖啡在嘴裹竟然產生驚艷的回甘！那絕不是新鮮檸檬可以達到的風味。為什麼不把檸檬乾和咖啡豆打在一起呢？,zeczec",32 天,2022/05/25 10:00 – 2022/06/30 23:59,2022/05/25 10:00:00,2022/06/30 23:59:00
【 HOMI｜地表最強全情境短袖 & EAM 登山防曬衣 】featuring CORDURA fabric / MIT 設計製造！,HOMI CREATIONS 合覓創造,1803462,3899,https://www.zeczec.com//projects/t-featuring-cordura-fabric,"擺脫棉 T 流汗後的黏著悶濕，機能服飾塗層的異味，真正的涼感透氣，翻轉夏天短T的穿著體驗！EAM 登山探險的最佳上衣，強韌防曬乾爽缺一不可！比防曬外套更好的選擇！,zeczec",25 天,2022/05/24 20:00 – 2022/06/23 23:59,2022/05/24 20:00:00,2022/06/23 23:59:00
好初漫報｜每讀這份報紙60秒，代表你人生又愉悅了一分鐘。,好初早餐,134273,599,https://www.zeczec.com//projects/hoochuupaper,"好初漫報就像是雞排一樣，不能天天吃，但兩個月吃一次就是特別爽快。我們就是像雞排一樣的美好存在，而且特別營養。,zeczec",35 天,2022/05/24 20:00 – 2022/07/04 02:00,2022/05/24 20:00:00,2022/07/04 02:00:00
IDO 炫風減壓真空鍋｜加熱即自動旋轉，均勻攪拌解放雙手！,I DO COMPANY TAIWAN,67900,1750,https://www.zeczec.com//projects/idocompany,"高溫燒製抗菌耐酸鹼的珐瑯塗層，搭配高導熱金屬，有效利用能源。減壓真空設計噪音少，不必像傳統壓力鍋用得緊張兮兮，一指撥動氣閥即可輕鬆洩壓！鍋蓋配件還皆可拆洗，不再擔心藏污納垢！,zeczec",15 天,2022/05/24 20:00 – 2022/06/13 23:59,2022/05/24 20:00:00,2022/06/13 23:59:00
 限量 ▎Mr.Banboo手感竹隨身瓶 ▎生命花樹 ▪ 誕生石_宇宙正能量 ▎熊厚工ㄟ保溫瓶,Mr.Banboo台灣手工眼鏡,5164,1088,https://www.zeczec.com//projects/Mr-Banboo168,"▎傳說: 生命之花是 宇宙的起源 ▎生命之樹是 神話的符號 ▎誕生石 又稱陰陽生日石 ▎""訂製顏色 搭配 專屬自己的誕生石"",zeczec",32 天,2022/05/23 20:00 – 2022/06/30 23:59,2022/05/23 20:00:00,2022/06/30 23:59:00
Helium 礦機專用感測器 | 適用各廠牌礦機，打造智慧方便的家用物聯網應用,EZcomm,0,5880,https://www.zeczec.com//projects/merryiot-helium-smart-sensor,"輕鬆透過Helium架設的LoRa網路，快速連接簡單方便安裝的感測器，打造全新智慧家庭及安全,zeczec",32 天,2022/05/23 12:00 – 2022/06/30 23:59,2022/05/23 12:00:00,2022/06/30 23:59:00
