集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
2023【每天都想史】手撕日曆｜輕鬆就讀撕歷大學，進入每曆新史界！,每天都想史有限公司,11216416.0,960.0,https://www.zeczec.com/projects/deadeveryday,"讓人每天開心讀歷史的神秘魔法！是百萬 YouTuber HOOK 燃燒體內的金木水火土，用對歷史滿滿的愛製作而成的日曆～♪,zeczec",36 天,2022/09/18 12:00 – 2022/10/31 23:59,2022-09-18 12:00:00,2022-10-31 23:59:00
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,8569970.0,9490.0,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec",22 天,2022/09/07 11:00 – 2022/10/17 23:59,2022-09-07 11:00:00,2022-10-17 23:59:00
未來美✨逆時微電雙波機｜年輕緊緻 + 緊實淡紋，只要 10 分鐘 Hold 住緊緻好狀態！,未來美,6752531.0,8800.0,https://www.zeczec.com/projects/beauty-device,"居家頂級美容儀「雙波合一」！在家就可以擁有年輕緊緻護理，防止肌膚老化，鍛鍊臉部線條！,zeczec",30 天,2022/09/13 12:00 – 2022/10/26 02:00,2022-09-13 12:00:00,2022-10-26 02:00:00
【ULANI 永恆曆 ∞】世界第一款「彩色電子紙」桌曆，把時間變成喜歡的樣子！,ULANI,5662562.0,2380.0,https://www.zeczec.com/projects/ulani,"日/月/年曆一鍵變換，不「紙」擺脫用完即撕的浪費，還能藍牙連線同步數位行事曆！不必再每年買用完即丟的日曆，這台陪你年復一年到永恆～ ,zeczec",30 天,2022/09/13 12:00 – 2022/10/26 02:00,2022-09-13 12:00:00,2022-10-26 02:00:00
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,4313090.0,4150.0,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",32 天,2022/09/06 21:00 – 2022/10/27 23:59,2022-09-06 21:00:00,2022-10-27 23:59:00
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 頂規抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,3579034.0,1599.0,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",36 天,2022/09/13 12:00 – 2022/10/31 23:59,2022-09-13 12:00:00,2022-10-31 23:59:00
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,3534070.0,2800.0,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",51 天,2022/09/21 12:00 – 2022/11/15 23:59,2022-09-21 12:00:00,2022-11-15 23:59:00
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,3182699.0,1480.0,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",16 天,2022/09/07 11:50 – 2022/10/11 23:59,2022-09-07 11:50:00,2022-10-11 23:59:00
Withering Calendar 2023 植物凋零曆 ｜凡事都會消逝，凡事也都會再來,yiyuflorist,2671180.0,950.0,https://www.zeczec.com/projects/withering-calendar-2023,"一本關於凋零的植物攝影日曆。,zeczec",46 天,2022/09/21 21:00 – 2022/11/11 01:59,2022-09-21 21:00:00,2022-11-11 01:59:00
折折盒｜2 種型態，∞ 多可能，一秒切換平面/立體的多用途新經典折盒,ZENLET 禪與徠特,2508095.0,1320.0,https://www.zeczec.com/projects/FoldiBox,"一款選用食品級耐熱矽膠，搭配日本抗菌銀離子配方，並採磁吸固定以實現迅速攤平、直覺好清洗的多用途新經典折盒。,zeczec",8 天,2022/08/30 12:00 – 2022/10/04 02:00,2022-08-30 12:00:00,2022-10-04 02:00:00
