集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
日日有影 2023｜生活是電影的本質，電影是生活的淬鍊 ―― 電影日曆陪伴你的 2023 年,釀電影,2096512.0,980.0,https://www.zeczec.com/projects/amovieaday,"12 位台灣插畫家，與近百位電影人、影評、作家聯手，讓你的 365 天都有電影相伴。,zeczec",36 天,2022/08/31 21:00 – 2022/10/31 23:59,2022-08-31 21:00:00,2022-10-31 23:59:00
TOMITA日本職人無刃磨泥器 · 料理不傷手指的溫柔設計｜米其林星級餐廳指定 日本燕三条百年物語之作 ,Single Step,1722400.0,1080.0,https://www.zeczec.com/projects/tomita,"安全無刀刃創新磨泥器，手指觸摸也不會被割傷，將食材磨到徹底不浪費，不卡殘渣好清洗。日本金屬工藝之都燕三条百年物語之作，給喜愛料理的人一份溫柔，可使用終身的職人逸品。特別加開「米其林摘星餐廳」指定食器🌟,zeczec",8 天,2022/09/01 12:00 – 2022/10/03 23:59,2022-09-01 12:00:00,2022-10-03 23:59:00
質好日全植物生煎包 ｜ 零膽固醇的肉感美味快速上桌！享受蔬食，不必犧牲美食。,質 好日,1262049.0,580.0,https://www.zeczec.com/projects/goodday,"質好日使用全植物成分製作生煎包，首波推出冷凍生煎包，原味/剝皮辣椒/全素/五辛素口味，簡單加熱就能美味上桌！希望透過親民的美食小點，讓大眾體驗植物飲食的美好！,zeczec",45 天,2022/09/22 12:00 – 2022/11/10 03:00,2022-09-22 12:00:00,2022-11-10 03:00:00
【RYUU 快拆小包】優雅俐落，陪你流轉於都市之間,RYUU,1120111.0,1580.0,https://www.zeczec.com/projects/ryuu,"告別翻找，極速、便利、時尚，你唯一需要的隨身小包！,zeczec",40 天,2022/09/20 21:00 – 2022/11/05 02:00,2022-09-20 21:00:00,2022-11-05 02:00:00
【Byzoom Fitness 收納機能美學 閃耀登場｜PURE WHITE 25kg可調式啞鈴＆站立收納健身椅】讓健身房融入您的居家生活。,芙瑞實業 Byzoom Fitness,1084820.0,17200.0,https://www.zeczec.com/projects/byzoomfitness-dumbbell-bench,"15段重量調整、體積更小、時尚配色的可調式啞鈴，搭配站立收納、省力收折腳架、5段高度調整、外型簡約俐落，有別以往傳統設計的健身椅，獻給熱愛健身、追求風格美學的您。,zeczec",15 天,2022/09/01 12:00 – 2022/10/10 23:59,2022-09-01 12:00:00,2022-10-10 23:59:00
O'miti 極淨小妍 ✦ 潔淨美膚儀 | 世界首創可洗臉、卸妝的導入儀，肌底清潔再淨化！,lisscode,1077700.0,2180.0,https://www.zeczec.com/projects/o-miti-all-in-one,"台灣設計製造，專為「全方位女性」量身打造！提供深層、日常、快速的洗卸保養，全面滿足你的肌膚需求，找回極淨透亮裸肌！,zeczec",23 天,2022/09/06 12:00 – 2022/10/19 02:00,2022-09-06 12:00:00,2022-10-19 02:00:00
桌遊 x 立體書 = 夢幻組合！《奇幻樹冒險物語》2022 最歡樂的一場冒險,迷走工作坊,1002147.0,2349.0,https://www.zeczec.com/projects/wonderbook,"《奇幻樹冒險物語》是一款原創的奇幻故事冒險遊戲。結合桌遊「豐富的遊戲機制」與立體書「創新的互動玩法」，易學好教十分鐘就能輕鬆上手，從 10 歲到 99 歲都能快速融入刺激的遊戲情境中！,zeczec",29 天,2022/09/20 12:00 – 2022/10/25 02:00,2022-09-20 12:00:00,2022-10-25 02:00:00
【 HTVRONT ｜熱轉印/熱昇華 平燙機】全自動化智慧方案，轉印昇華從此一鍵搞定！,HTVRONT Taiwan,900801.0,8980.0,https://www.zeczec.com/projects/htvront,"操作直覺、智慧體驗、受熱均勻、安全可靠是我們堅持的平燙機創新首選；而多材料可用、精度出色、轉印面積廣、加熱速度快更是我們的品質追求。自動壓制系統，改進了傳統的手動壓力機。,zeczec",17 天,2022/09/08 12:00 – 2022/10/13 02:00,2022-09-08 12:00:00,2022-10-13 02:00:00
2023老派的生活日曆&手帳｜是寶島也是時光島！台灣第一本環島日曆,報時光,781676.0,890.0,https://www.zeczec.com/projects/oldschoolcalendar2023,"第一本以「環島」及「時代趣味」為概念出版的日曆作品， 讓我們「和時光作朋友，一起來環島」，收藏專屬老派迷的「寶島時光日曆」。,zeczec",4 天,2022/08/30 10:00 – 2022/09/30 10:00,2022-08-30 10:00:00,2022-09-30 10:00:00
【2022 德國 iDventure 全新益智密室逃脫遊戲盒 】魔法 vs 科學 | 史詩級的對決！挑戰你的大腦極限！,Amodas,694800.0,3280.0,https://www.zeczec.com/projects/cluebox-v-s,"我們把實境密室逃脫縮小了，德國iDventure全新設計，在工程力學、謎語巧思及材料運用上的突破，不靠運氣全憑你的邏輯智慧！,zeczec",35 天,2022/08/30 11:32 – 2022/10/31 02:00,2022-08-30 11:32:00,2022-10-31 02:00:00
｜rāz multistand｜擴香｜火油燈｜咖啡手沖｜整合三種日常功能的美感風格器物,b.d.h,691480.0,4680.0,https://www.zeczec.com/projects/raz-multistand,"擴香、火油燈，與咖啡手沖，一款三式的組合物件，在生活的不同時刻、不同需求中，都能扮演完美稱職的角色。,zeczec",36 天,2022/08/31 21:00 – 2022/10/31 23:59,2022-08-31 21:00:00,2022-10-31 23:59:00
廚佛瑞德Fred｜三秒入魂川味麻辣燒醬｜就是我十年前，在四川一嚐入魂、難忘至今的頂級香氣和麻辣滋味！,廚佛瑞德 Fred,682743.0,899.0,https://www.zeczec.com/projects/FredJam,"重現四川老師傅的手藝，把川菜經典的香、麻、辣徹底發揮。「三秒入魂川味麻辣燒醬」純手工熬煮、加入頂規食材，要把當年震撼我的味覺體驗分享給你。,zeczec",37 天,2022/09/22 20:00 – 2022/11/01 23:59,2022-09-22 20:00:00,2022-11-01 23:59:00
《新蘇富比葡萄酒百科全書》｜葡萄酒界權威之作，發行 35 年首度推出中文版！,大石國際文化有限公司,614981.0,4380.0,https://www.zeczec.com/projects/The-New-Sothebys-Wine-Encyclopedia,"《蘇富比葡萄酒百科全書》是WSET世界品酒師證照和CMS侍酒師考試的指定讀物，1988年由DK發行首版（480頁），改版後更名為《新蘇富比葡萄酒百科全書》，現在這本是2020年第六版，內容增加到...,zeczec",36 天,2022/09/19 20:00 – 2022/10/31 23:59,2022-09-19 20:00:00,2022-10-31 23:59:00
2023喵兔Q生活萌日曆｜365天不重複可愛動物插畫×每日召喚好心情療癒魔法,有貓貓,584580.0,1080.0,https://www.zeczec.com/projects/yomaomao2023calendar,"365天兔兔與喵喵接棒賣萌，每日杯口笑話一撕就有好心情～每個早晨，都被兔兔與喵喵的軟萌給可愛醒！,zeczec",22 天,2022/09/06 11:30 – 2022/10/17 23:59,2022-09-06 11:30:00,2022-10-17 23:59:00
飲酷杯 Inst. Cool ｜ 拿起就喝、自動關蓋，騎車、日常萬用飲料杯 ,飲酷杯 Inst. Cool,547213.0,839.0,https://www.zeczec.com/projects/incoolcup,"放下藏吸管，拿起一秒喝。成為馬路上最快喝到乾淨飲料的人。專利設計、全球唯一單手就能藏吸管的環保杯。,zeczec",66 天,2022/09/06 21:00 – 2022/11/30 23:59,2022-09-06 21:00:00,2022-11-30 23:59:00
HoldU 懶人沙發椅｜是懶骨頭，更是床墊 ＆ 支撐沙發！一椅三用大革新，Hold Your Life！,WM台客嚴選,525190.0,3490.0,https://www.zeczec.com/projects/holdu,"360 度沉浸包覆，享受懶骨頭帶來的放鬆，加上台灣製的支撐設計，包覆兼具支撐，怎麼坐都舒適，讓一椅適用多種生活情境，一張顛覆你想像的懶人沙發，不只是懶骨頭，也是支撐沙發，更是單人沙發床！,zeczec",41 天,2022/09/20 12:00 – 2022/11/06 02:00,2022-09-20 12:00:00,2022-11-06 02:00:00
