集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
【 好眠城實木床組】我長大了，我可以自己睡！一套從抓周禮睡到成年禮的實木床組！,環安傢俱,28175700,53800,https://www.zeczec.com/projects/bunkbed,"一個床組 3 種睡法！是【上下舖】，是【加大單人床】，竟然還是【特大雙人床】超長使用年限，一套真正可以讓孩子從小睡到大的床！,zeczec",38 天,2022/07/19 10:00 – 2022/09/01 03:00,2022-07-19 10:00:00,2022-09-01 03:00:00
最後倒數🚨全球首發【 Logi Dock｜羅技全功能擴充底座工作站 】滿足所有連接需求、工作效率開外掛！,Logitech Taiwan,4689555,11900,https://www.zeczec.com/projects/logi-dock,"整合集線器、音視訊管理，內建降噪麥克風與擴音喇叭，電腦手機串聯，萬能工作站登場，高效工作必備 !,zeczec",3 天,2022/06/29 12:00 – 2022/07/28 02:00,2022-06-29 12:00:00,2022-07-28 02:00:00
𝘿𝙢𝙤 義式『雙』膠囊機｜美式/義式/Nespresso & Dolce Gusto 都可以沖！,OSNER Taiwan,3615550,5880,https://www.zeczec.com/projects/dmo-coffee,"連續 5 年榮獲韓國 Brand Awards 的客戶滿意金獎，嗨翻韓國的 D-mo 已熱銷逾 100,000，深受廣大韓友喜愛！,zeczec",22 天,2022/06/29 11:00 – 2022/08/15 23:59,2022-06-29 11:00:00,2022-08-15 23:59:00
▋人生的咖哩味~門前隱味 ▋每一口都是想家的那一味，更是人生幸福的療癒,門前隱味牛肉麵,3421294,2636,https://www.zeczec.com/projects/wumamii-curry,"我們深信每道料理都有屬於自己的一個故事，而這道咖哩帶點辛辣、有點甜，滋味濃郁、令人一口接一口，就像是門前隱味的文章般讓人欲罷不能。,zeczec",32 天,2022/07/13 15:00 – 2022/08/26 15:30,2022-07-13 15:00:00,2022-08-26 15:30:00
戰爭來臨前做好最壞的打算｜黑熊學院 民間防衛訓練計畫,黑熊學院 kuma academy,2345669,1000,https://www.zeczec.com/projects/kuma-acadamy,"台灣比過去20年更接近戰爭邊緣，提升民眾抵抗意志，培養自我保護、守護他人的能力，起造自己的護國神山。,zeczec",18 天,2022/06/28 12:00 – 2022/08/11 23:59,2022-06-28 12:00:00,2022-08-11 23:59:00
 MATURE 美萃夾心陶瓷爐｜三機合一 • 夾住美味 • 開啟派對,美萃 MATURE,1756960,3680,https://www.zeczec.com/projects/mature,"專為台灣人設計！結合火烤兩吃、電烤盤和熱壓機三種功能，烤盤配件全面使用「安心陶瓷塗層」，搭配「移動式除油煙機」不需再煩惱食安及油煙問題,zeczec",17 天,2022/06/29 21:00 – 2022/08/10 23:59,2022-06-29 21:00:00,2022-08-10 23:59:00
【 GPLUS｜GP 大黑鯨，多功能吸拖刷洗地機 】除塵、濕拖、自動清洗七合一，CP 值王者！,GPLUS,1685440,7780,https://www.zeczec.com/projects/gplus,"一鍵啟動自動清洗滾刷，搭載旋風級強力馬達，一吸就到位！續航力高達 45 分鐘，長時間清潔不斷電！輕量機身僅 3.9 公斤，讓你從此輕鬆應對生活中所有掃除時刻！,zeczec",4 天,2022/06/30 12:00 – 2022/07/29 02:00,2022-06-30 12:00:00,2022-07-29 02:00:00
【Innfact | GaN好快！ 模組延長線】全球首創，配置隨心所欲的模組化設計！,innfact,1676804,2480,https://www.zeczec.com/projects/krait,"全球首創，能隨心所欲拆裝、依需求改變配置的延長線！而且，不用變壓器也能直接充筆電！ 它能辦到的，絕對比你想像的多更多！,zeczec",17 天,2022/06/29 11:00 – 2022/08/10 23:59,2022-06-29 11:00:00,2022-08-10 23:59:00
【 PHONE SLING BAG & WALLET｜手機單肩錢包 】創新內置錢包的終極智慧手機單肩包！,Ögon Designs,1417768,2999,https://www.zeczec.com/projects/ogondesigns,"OgonDesigns 法國原廠推出手機單肩錢包，這款外觀精美的單肩錢包可快速方便地取用，專為城市打造，但在戶外環境中表現同樣出色，輕便、舒適且實用。,zeczec",9 天,2022/06/28 11:50 – 2022/08/03 00:30,2022-06-28 11:50:00,2022-08-03 00:30:00
SPUTNIK 機能貓砂盆｜品味Ｘ機能｜以貓行為作設計核心，為貓咪打造最舒適的如廁體驗,SPUTNIK,1305663,1830,https://www.zeczec.com/projects/SPUTNIK-Litter-Box,"以貓行為作為設計核心的寵物貓砂盆，在乎貓咪如廁的衛生及舒適性，首創獨立走道，一體成形的加高設計，貓砂再也不會四處噴濺，並整合清潔貓砂工具，提供專屬收納空間，讓身為貓奴的你，清潔貓砂簡單不費力。,zeczec",18 天,2022/06/28 21:00 – 2022/08/11 23:59,2022-06-28 21:00:00,2022-08-11 23:59:00
