商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束,新品入榜
BRITA 全球首發【 Model ONE｜智能瞬熱 UVC 滅菌開飲機 】安心生飲，「淨」乎苛求！德國淨水專家，專為台灣「健康」飲水而生！,BRITA,10365762,13888,https://www.zeczec.com/projects/brita-model-one,"56 年德國淨水專家匠心巨獻，超越 RO 純水唯一首選，用健康溫芯好水打造生活儀式感！,zeczec",39 天,2022/12/01 20:50 – 2023/01/13 02:00,2022-12-01 20:50:00,2023-01-13 02:00:00,✅
【 ESCURA l 33℃ 抱抱被】一件讓你從冬天蓋到夏天的恆溫被,ESCURA INC.,1388910,4190,https://www.zeczec.com/projects/escuratw,"我們解決市面上夏被太熱，冬被又不夠保暖的情形。專利五層結構找回你失去的３３℃恆溫被窩。一款隨著體溫變化，懂得適時吸熱、放熱的恆溫被，雙面±℃冷暖黑科技，翻面即換季，還能輕鬆機洗，這輩子一被子就夠！,zeczec",37 天,2022/12/01 20:00 – 2023/01/11 02:00,2022-12-01 20:00:00,2023-01-11 02:00:00,✅
OLTAS 日本製100%喀什米爾圍脖【嘖嘖400萬超人氣好評贊助 x 第二彈！】耐用可機洗 典雅奢華的頂級天然素材,Single Step,1342730,3980,https://www.zeczec.com/projects/Oltas-Japan,"台日超過萬人好評贊助！日本愛知縣OLTAS紡織工藝，將珍貴的喀什米爾高山羊絨，製作可機洗不變型，越使用越蓬鬆，輕量且不厚重的溫暖圍脖。冬日最值得擁有的溫暖職人逸品。❄️ 現在下訂農曆年前出貨！,zeczec",30 天,2022/11/30 12:00 – 2023/01/03 23:59,2022-11-30 12:00:00,2023-01-03 23:59:00,✅
Hahow X 理科太太－理科太太的諮商筆記 線上課程,Hahow 好學校,1212538,1299,https://www.zeczec.com/projects/hahow-liketaitai,"「我不是心理師不能幫你諮商，但我在諮商室的另一頭和自己搏鬥了 100 多個小時，我想以學姊的身份，分享我的筆記，陪你走過這一段。」－理科太太,zeczec",39 天,2022/12/01 12:00 – 2023/01/12 23:59,2022-12-01 12:00:00,2023-01-12 23:59:00,✅
【Dibea X9 濕拖無線吸塵器】吸地 ‧ 除蟎 ‧ 濕拖 ‧ 拋光 ４合１｜旗艦高規格 ✦ 清潔神管家｜A-BUBU 阿噗噗國際,阿噗噗國際有限公司,995517,7799,https://www.zeczec.com/projects/dibea-x9,"以最划算的價格，打造最高品質與功能的打掃工具，減輕使用者各方面的負擔，讓這台【X9 濕拖吸塵器】成為各家中最給力的清潔神管家。,zeczec",26 天,2022/12/01 12:00 – 2022/12/31 02:00,2022-12-01 12:00:00,2022-12-31 02:00:00,✅
【Jolly兔年成家方案】嬰幼兒防嗆澡盆新亮相，底部特殊止滑設計，解放父母雙手 !,Jolly Factory,777400,9900,https://www.zeczec.com/projects/jolly_rabbitbaby,"為慶祝澡盆新品上市，結合自動收折推車、成長型汽座、百寶袋揹巾，推出超值組合優惠~!! 通通帶回家，萬元有找~!,zeczec",27 天,2022/11/30 12:00 – 2022/12/31 23:59,2022-11-30 12:00:00,2022-12-31 23:59:00,✅
CheerTok超能控臺灣限定版「全能智慧口袋迷你觸控板」全球熱賣千萬｜專為現代人設計，輕鬆掌控所有3C產品,Cheertok TW,606481,1380,https://www.zeczec.com/projects/cheertoktw,"2022榮獲紅點設計，符合人體工學「CheerTok 超能控」，無論您是在創作者、辦公室工作、演講還是在沙發上享受娛樂，輕巧簡單都能讓你輕鬆掌控所有3C設備。,zeczec",42 天,2022/11/28 20:00 – 2023/01/15 23:59,2022-11-28 20:00:00,2023-01-15 23:59:00,✅
Oladance 開放式無限耳機｜舒適通透＋劇院級立體環繞，配備 16.5 mm 超大單體的無重力音響！,Oladance.taiwan,12052081,4980,https://www.zeczec.com/projects/oladance,"【十年經驗 · 精心研發】打造最適合耳朵的工學耳機，零擠壓、零堵塞，自在享受細膩而有層次的震撼音質。16 小時長時續航，從早到晚貼身陪伴一整天。,zeczec",18 天,2022/11/22 12:00 – 2022/12/23 02:00,2022-11-22 12:00:00,2022-12-23 02:00:00,
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,7356200,28900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",25 天,2022/11/15 21:00 – 2022/12/29 23:59,2022-11-15 21:00:00,2022-12-29 23:59:00,
【日本 ATEX｜V 型溫感指壓按摩椅墊】日本專利設計、工藝級按摩科技，小而有力。肩 / 頸 / 臀，真人感全方位按摩，一台搞定！,日本ATEX,4308582,3980,https://www.zeczec.com/projects/atex-v,"風靡全日本美臀推拿機，8 顆按摩球打造 3D 深層按摩，一台包辦按摩肩頸、腰部和臀部，布套可拆卸機洗。,zeczec",25 天,2022/11/17 12:00 – 2022/12/30 02:00,2022-11-17 12:00:00,2022-12-30 02:00:00,
