集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
大古鑄鐵雙雙鍋｜一鍋雙用大革新，是湯鍋也是平底鍋！天然不沾、無毒耐刮、收納超 Easy！,大古鑄鐵,7201460,7580,https://www.zeczec.com/projects/takuironware-double-castiron-pot,,31 天,2022/06/23 12:00 – 2022/08/05 02:00,2022-06-23 12:00:00,2022-08-05 02:00:00
全球首發【 Logi Dock｜羅技全功能擴充底座工作站 】滿足所有連接需求、工作效率開外掛！,Logitech Taiwan,3220756,10980,https://www.zeczec.com/projects/logi-dock,,23 天,2022/06/29 12:00 – 2022/07/28 02:00,2022-06-29 12:00:00,2022-07-28 02:00:00
丹麥爸媽也瘋狂的 MODU 回來啦！全新推出「半球積木」讓建築小宇宙再爆發！,MODU TAIWAN (QBEAN),2609300,8100,https://www.zeczec.com/projects/modu-ball,,25 天,2022/06/16 20:00 – 2022/07/30 02:00,2022-06-16 20:00:00,2022-07-30 02:00:00
Let's Up Pro! 一起長高桌｜電動升降，站坐皆可，5歲用到出社會！,日商海雅喜,1679580,17800,https://www.zeczec.com/projects/lets-up-pro,, 39 小時,2022/06/09 11:00 – 2022/07/07 02:00,2022-06-09 11:00:00,2022-07-07 02:00:00
【海樂緹α波科技睡眠衣】日常幫助，夜晚恢復，從動到靜，所有情境都有效的24小時全能衣,海樂緹 石墨烯,1589729,3050,https://www.zeczec.com/projects/hlt-shirt,,14 天,2022/06/06 21:00 – 2022/07/18 23:59,2022-06-06 21:00:00,2022-07-18 23:59:00
戰爭來臨前做好最壞的打算｜黑熊學院 民間防衛訓練計畫,黑熊學院 kuma academy,1528069,1000,https://www.zeczec.com/projects/kuma-acadamy,,38 天,2022/06/28 12:00 – 2022/08/11 23:59,2022-06-28 12:00:00,2022-08-11 23:59:00
【 arpara AIO 5K｜VR 一體機 】VR 玩樂究極進化，5K Micro-OLED 螢幕無「線」暢快。,arpara TW,1443240,19680,https://www.zeczec.com/projects/arpara-aio-5k-vr,,17 天,2022/06/21 12:00 – 2022/07/22 02:00,2022-06-21 12:00:00,2022-07-22 02:00:00
MATURE 美萃夾心陶瓷爐｜三機合一 • 夾住美味 • 開啟派對,美萃 MATURE,1190702,3580,https://www.zeczec.com/projects/mature,,37 天,2022/06/29 21:00 – 2022/08/10 23:59,2022-06-29 21:00:00,2022-08-10 23:59:00
【 PHONE SLING BAG & WALLET｜手機單肩錢包 】創新內置錢包的終極智慧手機單肩包！,Ögon Designs,1162334,2999,https://www.zeczec.com/projects/ogondesigns,,29 天,2022/06/28 11:50 – 2022/08/03 00:30,2022-06-28 11:50:00,2022-08-03 00:30:00
【 GPLUS｜GP 大黑鯨，多功能吸拖刷洗地機 】除塵、濕拖、自動清洗七合一，CP 值王者！,GPLUS,926813,7680,https://www.zeczec.com/projects/gplus,,24 天,2022/06/30 12:00 – 2022/07/29 02:00,2022-06-30 12:00:00,2022-07-29 02:00:00
【Innfact | GaN好快！ 模組延長線】全球首創，配置隨心所欲的模組化設計！,innfact,924584,980,https://www.zeczec.com/projects/krait,,37 天,2022/06/29 11:00 – 2022/08/10 23:59,2022-06-29 11:00:00,2022-08-10 23:59:00
Bopomofo注音自學系列｜用10本圖像式注音繪本 、 74張注音遊戲字卡讓孩子愛上ㄅㄆㄇㄈ,Bopomofo注音自學系列,901540,2680,https://www.zeczec.com/projects/bopomofo,,4 天,2022/06/08 12:00 – 2022/07/09 02:00,2022-06-08 12:00:00,2022-07-09 02:00:00
《詭鎮懸案》懸疑推理桌遊┃令人窒息的恐怖體驗，邊玩邊害怕，但又讓你非玩不可！,狗吠火車娛樂設計,822182,1440,https://www.zeczec.com/projects/MythosTales,,38 天,2022/06/28 20:00 – 2022/08/12 03:59,2022-06-28 20:00:00,2022-08-12 03:59:00
SPUTNIK 機能貓砂盆｜品味Ｘ機能｜以貓行為作設計核心，為貓咪打造最舒適的如廁體驗,SPUTNIK,803841,1830,https://www.zeczec.com/projects/SPUTNIK-Litter-Box,,38 天,2022/06/28 21:00 – 2022/08/11 23:59,2022-06-28 21:00:00,2022-08-11 23:59:00
韓國最夯的【 D-mo 義式『雙』膠囊機 】終於來臺！史上第 1 台三用咖啡機，義式/大小膠囊 都可以沖！,OSNER Taiwan,729180,5680,https://www.zeczec.com/projects/dmo-coffee,,42 天,2022/06/29 11:00 – 2022/08/15 23:59,2022-06-29 11:00:00,2022-08-15 23:59:00
小南醬 九局下半的棒球人生,胡哲綸,560804,10000,https://www.zeczec.com/projects/xiao-nan-jiang-jiu-ju-xia-ban-de-bang-qiu-ren-sheng,,27 天,2022/06/08 12:00 – 2022/07/31 23:59,2022-06-08 12:00:00,2022-07-31 23:59:00
《baller籃球誌》NBA傳奇典藏特刊,baller籃球誌,552139,1999,https://www.zeczec.com/projects/baller-nba,,18 天,2022/06/06 20:00 – 2022/07/22 23:59,2022-06-06 20:00:00,2022-07-22 23:59:00
SOUNDGIL CUBE Mini ｜劇院級真無線行動藍牙音響，高保真高音質高顏值，劇院級享受也能真無線！,SOUNDGIL,503840,9580,https://www.zeczec.com/projects/soundgil-cube-mini,, 33 小時,2022/06/06 20:00 – 2022/07/06 20:00,2022-06-06 20:00:00,2022-07-06 20:00:00
