projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
I Moto 機車藍芽/指紋辨識,誼騰動力團隊,14840.0,3980.0,https://www.zeczec.com/projects/i-moto-bt-finger," ▊ 手機和指紋就是你的鑰匙 ▊ 用手機和指紋即可啟動機車、熄火、開置物箱、開油箱。,zeczec",45 天,2022/10/15 11:00 – 2022/11/30 23:59,2022/10/15 11:00:00,2022/11/30 23:59:00
《直男而喪》要命啊！直男癌,黃笑,2400.0,2500.0,https://www.zeczec.com/projects/straightmalecancer,"這是當代男性的愚蠢自白，一群直男對於自己的「臭直男」性格深感痛悔的喜劇治療，掏心掏肺掏家底，如實交代自己各種醜行，大至說謊欺騙劈腿騙感情，小至骯髒幻想懶惰躺平，無一例外全部揭露。,zeczec",20 天,2022/10/15 09:00 – 2022/11/05 23:59,2022/10/15 09:00:00,2022/11/05 23:59:00
OCEAN BOX全沈浸深海體驗巡迴展＋AR海洋生物學習APP開發,WildAid Taiwan 野生救援,7500.0,500.0,https://www.zeczec.com/projects/wildaidoceanbox," 在『不傷害任何一個海洋生命』的前提下，創造可以讓人環繞沉浸其中的虛擬海洋館，讓大小觀眾都能看見保育類海洋生物悠游在身邊,zeczec",40 天,2022/10/14 10:00 – 2022/11/25 23:59,2022/10/14 10:00:00,2022/11/25 23:59:00
【南部鐵器 OIGEN 及源鑄造 | 幸福鑄鐵燒系列-共3款】全日本設計及手工鍛造，為感情加溫的料理神器,OIGEN 及源鑄造,103113.0,9999.0,https://www.zeczec.com/projects/oigen-cookware,"從未有的鑄鐵鍋體驗！市場唯一，輕鬆切換居家、露營的各種烹飪需求。100% 鑄鐵打造，獨家專利無塗層「裸製技法」，無毒、不沾、耐刮、好清潔，170年日本職人經驗傳承，可用100年的品質保證,zeczec",45 天,2022/10/13 20:00 – 2022/11/30 23:59,2022/10/13 20:00:00,2022/11/30 23:59:00
【豆志不減，力挺新鮮非基改國產大豆】黑豆茶．黑豆粉．黑豆糙米香．香酥黑豆 ▍入選6家百貨VIP廳精品農產品展售,好農好物(威勝顧問有限公司),1400.0,700.0,https://www.zeczec.com/projects/GF-blackbeans,"嚴選嘉義新港農會使用跟在地農民契作新鮮、非基改、產銷履歷驗證(TAP)黑豆製作的產品：黑豆茶(百貨VIP廳指定飲品)、100%純黑豆粉(替飲食營養加分)、黑豆糙米香/香酥黑豆(吃零食同時補充營養)。,zeczec",42 天,2022/10/13 20:00 – 2022/11/27 23:59,2022/10/13 20:00:00,2022/11/27 23:59:00
｜犬山居の午茶 x 公益攝影展｜暖心的流浪動物主題展，每個照護病老同伴動物的平凡日子都是美好時光,U Joy,14900.0,500.0,https://www.zeczec.com/projects/afternoon-tea-with-tcasa,"好毛寵物攝影x犬山居: 在攝影展裡一窺毛孩們的下午茶時光,zeczec",60 天,2022/10/13 20:00 – 2022/12/15 23:59,2022/10/13 20:00:00,2022/12/15 23:59:00
真正做到「低磷」配方的【機能性貓咪餐包】，一起守護貓咪健康！,超越汪喵,2800.0,560.0,https://www.zeczec.com/projects/beyondpet,"「超越汪喵」團隊強烈希望能為腎貓盡一份心力，同時也讓飼主多一份安心，製作出適口性佳的處方食品，增加更多腎貓食品的多元選擇，希望陪伴在飼主與貓咪之間。,zeczec",25 天,2022/10/13 12:00 – 2022/11/10 23:59,2022/10/13 12:00:00,2022/11/10 23:59:00
【眠朵雲 2.0 】恆溫深度釋壓枕｜業界最高枕心密度支撐，3 層科技布套打造吸濕／排汗／抗菌極致舒適感，陪你夜夜好眠,戀家小舖,5107847.0,2680.0,https://www.zeczec.com/projects/lovingfamily,"熱賣超過 15,000 顆的【眠朵雲】推出全新二代！領先業界 3 倍枕心密度，提供良好支撐與深層釋壓。3 層科技布套，則讓肌膚有最舒適的接觸感，一試就愛上！,zeczec",38 天,2022/10/12 21:00 – 2022/11/24 02:00,2022/10/12 21:00:00,2022/11/24 02:00:00
『SATTO～日本魔法設計皮夾』實現終極收納工藝， 全新定義 #極簡皮夾，招財又吸金 ✨,Neo Choice ,1042161.0,1840.0,https://www.zeczec.com/projects/satto,"採用日本栃木皮革，以最小尺寸為目標的迷你短夾，無需折疊即可放入和取出鈔票。,zeczec",55 天,2022/10/12 20:30 – 2022/12/10 23:59,2022/10/12 20:30:00,2022/12/10 23:59:00
Dogeous-高質感鋁合金口紅架,Dogeous,999.0,999.0,https://www.zeczec.com/projects/Dogeous,"市售未見，100%台灣設計製造，高質感鋁合金口紅架,zeczec",57 天,2022/10/12 18:00 – 2022/12/12 23:59,2022/10/12 18:00:00,2022/12/12 23:59:00
