projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end,new_product
【週週抽好禮】CHIMEI奇美 瞬熱智慧溫控飲水機｜制霸市面瞬熱飲水機，容量、面板、規格、品質全面大升級，高貴不貴，一鍵瞬熱,CHIMEI 奇美家電,6017649,3680,https://www.zeczec.com/projects/chimei,"304不鏽鋼導熱出水管專利技術，完美克服瞬熱出水難題，SGS認證不含雙酚A安全大容量水箱，5層淨化TÜV認證專業濾心，6大安全保護，免擔心乾燒、跳電、過熱等問題，讓你一鍵瞬熱，安心飲水。,zeczec",5 天,2022/10/26 10:30 – 2022/12/09 23:59,2022/10/26 10:30:00,2022/12/09 23:59:00,
2023 真屌曆｜日日有屌，日日都屌！,Lanpar,955704,888,https://www.zeczec.com/projects/good-chicken-calendar-2023,"療癒系插畫家 Lanpar 重磅出擊，為大家帶來充滿ㄐㄐ的 2023,zeczec",6 天,2022/09/12 20:00 – 2022/12/10 23:59,2022/09/12 20:00:00,2022/12/10 23:59:00,
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 專業抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,7524776,1599,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",33 天,2022/09/13 12:00 – 2023/01/06 23:59,2022/09/13 12:00:00,2023/01/06 23:59:00,
ACERA活瓷能量杯 | 不可思議的神奇杯子，水、咖啡、茶、牛奶都變更好喝了,Weis,972980,1880,https://www.zeczec.com/projects/acera-energy-cup,"手工製作的隨身杯，杯身內膽能量釋放改變了分子結構，任何飲品倒入後都會產生神奇的變化，讓您無時無刻充滿驚喜！,zeczec",16 天,2022/10/25 12:00 – 2022/12/21 02:00,2022/10/25 12:00:00,2022/12/21 02:00:00,
月動褲｜吸血長褲＆吸血短褲，超大吸血面積 x 一件抵三件 x 專利反摺邊防漏工法，超越所有衛生棉，讓月亮褲®解放你的經期 Body！,谷慕慕 GoMoond,1351736,2353,https://www.zeczec.com/projects/GoMoond,"台灣第一件吸血內褲品牌 - 月亮褲®推出的最新力作，「內外褲一體式設計」的吸血長褲＆吸血短褲，讓每個有月經的人，在經期也能更安心自在活動！,zeczec",15 天,2022/11/08 20:00 – 2022/12/20 02:00,2022/11/08 20:00:00,2022/12/20 02:00:00,
TIJ™ 鈦極鋼珠筆 Extreme - 模組化設計、無限種筆芯，量身打造個人書寫用筆,TIJ鈦極筆,3867536,2930,https://www.zeczec.com/projects/tijrpen,"鈦極系列集大成之作，筆芯和筆尖以獨創技術緊密接觸，達到了最高水準的不抖動書寫感、近乎無限多種筆芯支援，免工具30秒換好各種尺寸筆芯。,zeczec",3 天,2022/10/27 21:00 – 2022/12/08 02:00,2022/10/27 21:00:00,2022/12/08 02:00:00,
【玩色時尚．MIZAI 無線真空保鮮機】突破專用袋限制，全方位守護您的居家食品保鮮！,MIZAI,3165685,1780,https://www.zeczec.com/projects/mizai-food-preservation,"超值首選！智慧偵測、無線輕巧、時尚美型，兼具大吸力與續航力，由台灣智能家居品牌MIZAI設計打造，不只一機多用，同時是業界適用包裝材質最多的保鮮機！,zeczec",40 天,2022/11/23 10:30 – 2023/01/13 23:59,2022/11/23 10:30:00,2023/01/13 23:59:00,
【即將調漲】❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,13174376,2950,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",3 天,2022/09/21 12:00 – 2022/12/07 23:59,2022/09/21 12:00:00,2022/12/07 23:59:00,
【CA160-超疏水膜】滴水不沾、視線清晰、持久耐用！地表最強防雨貼膜,淨對流 X 科學研選,3595697,390,https://www.zeczec.com/projects/ca160,"世界首款奈米微針超疏水膜。經科學實測，不沾水能力與耐用度皆為市售最強！輕鬆提升雨天行車安全，保持優雅好心情~,zeczec",16 天,2022/10/20 13:00 – 2022/12/20 23:59,2022/10/20 13:00:00,2022/12/20 23:59:00,
Withering Calendar 2023 植物凋零曆 ｜凡事都會消逝，凡事也都會再來,yiyuflorist,4803047,980,https://www.zeczec.com/projects/withering-calendar-2023,"一本關於凋零的植物攝影日曆。,zeczec",11 天,2022/09/21 21:00 – 2022/12/16 02:00,2022/09/21 21:00:00,2022/12/16 02:00:00,
最後 2 天，不再延長 ⏰ 陸續出貨中 🚛【眠朵雲 2.0 】恆溫深度釋壓枕｜業界最高枕心密度支撐，3 層科技布套打造吸濕／排汗／抗菌極致舒適感，陪你夜夜好眠,戀家小舖,13434251,2680,https://www.zeczec.com/projects/lovingfamily,"熱賣超過 15,000 顆的【眠朵雲】推出全新二代！領先業界 3 倍枕心密度，提供良好支撐與深層釋壓。3 層科技布套，則讓肌膚有最舒適的接觸感，一試就愛上！,zeczec", 41 小時,2022/10/12 21:00 – 2022/12/07 02:00,2022/10/12 21:00:00,2022/12/07 02:00:00,
【水洗濾網重複使用！超省錢！】新冠病毒99.99%抑制認證 x 大坪數小坪價 x 節能標章 x 淨化小至0.01um奈米級顆粒物 x UV殺菌 x SGS國際認證 x 語音聲控超方便,Apolnus 水洗濾網空氣清淨機,19499798,10380,https://www.zeczec.com/projects/apolnus,"創新濾網十分鐘快速水洗，5~14坪空間靈活運用，獨家創新濾網技術、易水洗、無臭氧，實驗認證可過濾奈米顆粒，解決空氣清淨機使用上的痛點，真正空清機界的最強黑馬！,zeczec",4 天,2022/10/05 11:00 – 2022/12/08 23:59,2022/10/05 11:00:00,2022/12/08 23:59:00,
XpreSole® Blocks 全防水積木咖啡靴｜踏出童心，擺脫潮濕！無論晴雨，每一步都輕盈乾爽,Lab22 Taiwan,2463218,2910,https://www.zeczec.com/projects/xpresole-blocks,"Blocks 積木咖啡靴｜由咖啡渣製成、防水、透氣、舒適、超輕、乾爽等 12 項超強機能，加上獨家積木鞋底，帶你找回童心，穿出風格！,zeczec",33 天,2022/10/31 12:00 – 2023/01/06 23:59,2022/10/31 12:00:00,2023/01/06 23:59:00,
【 超早鳥倒數1天 】 xTool D1 Pro 20W 雷雕機✨王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,10566730,43980,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",3 天,2022/11/03 12:00 – 2022/12/08 02:00,2022/11/03 12:00:00,2022/12/08 02:00:00,
SPACEFOLD™ 時空折疊育兒包 | 三秒分層，一秒折疊，育兒/商務/休閒一切包辦！,Dauson lab.,3727138,3290,https://www.zeczec.com/projects/spacefold,"無需翻找，輕鬆取得全包物件，空間彈性極大化。防水抗污，透氣減壓，為孩子、父母設計的萬用快取背包,zeczec",27 天,2022/10/07 12:00 – 2022/12/31 23:59,2022/10/07 12:00:00,2022/12/31 23:59:00,
e+自動關超值版｜千萬口碑好評再回歸，最聰明的自動關火裝置，全面防堵爐火意外，100% 守護家中安全,網捷股份有限公司,1212541,2070,https://www.zeczec.com/projects/yztek-2022,"曾創下千萬佳績的e+自動關，獲得台灣超過 10 萬口家庭安裝好評！今年，更榮獲 2022 法國發明展第一名！全新e+自動關超值版承襲前幾代優點，且體積更輕巧、更時尚繽紛更高CP，90% 爐具皆可裝。,zeczec",18 天,2022/11/22 12:00 – 2022/12/23 02:00,2022/11/22 12:00:00,2022/12/23 02:00:00,
SUMI BE BOX 日本職人烤爐頂級之作｜炭火遠紅外線極致燒烤體驗｜耐熱輕薄琺瑯折疊鋼桌,Single Step,541620,7800,https://www.zeczec.com/projects/tifg-sumi-be-box,"底部隔熱、集灰盤、置物邊桌、炭火盒、防火罩、琺瑯鋼烤架及網叉等，日本手工打造的11個不鏽鋼配件，緊湊收納便攜箱體。烤肉滴油不冒火焰濃煙，職人追求美味又精緻的燒烤體驗！同場加開：日本製折疊琺瑯鋼板桌,zeczec", 15 小時,2022/11/01 12:00 – 2022/12/05 23:59,2022/11/01 12:00:00,2022/12/05 23:59:00,
【 ESCURA l 33℃ 抱抱被】一件讓你從冬天蓋到夏天的恆溫被,ESCURA INC.,1388910,4190,https://www.zeczec.com/projects/escuratw,"我們解決市面上夏被太熱，冬被又不夠保暖的情形。專利五層結構找回你失去的３３℃恆溫被窩。一款隨著體溫變化，懂得適時吸熱、放熱的恆溫被，雙面±℃冷暖黑科技，翻面即換季，還能輕鬆機洗，這輩子一被子就夠！,zeczec",37 天,2022/12/01 20:00 – 2023/01/11 02:00,2022/12/01 20:00:00,2023/01/11 02:00:00,✅
