集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
2023【每天都想史】手撕日曆｜輕鬆就讀撕歷大學，進入每曆新史界！,每天都想史有限公司,14035119.0,960.0,https://www.zeczec.com/projects/deadeveryday,"讓人每天開心讀歷史的神秘魔法！是百萬 YouTuber HOOK 燃燒體內的金木水火土，用對歷史滿滿的愛製作而成的日曆～♪,zeczec",15 天,2022/09/18 12:00 – 2022/10/31 23:59,2022-09-18 12:00:00,2022-10-31 23:59:00
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,7263590.0,2950.0,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",30 天,2022/09/21 12:00 – 2022/11/15 23:59,2022-09-21 12:00:00,2022-11-15 23:59:00
【Myth A1】無耗材空氣清淨機｜省錢、高坪效、語音聲控 | 捕捉 0.01 細小顆粒 | 新冠病毒99%有效抑制 | UVC LED 紫外線淨化！,Apolnus 無耗材UVC空氣清淨機,6943683.0,9770.0,https://www.zeczec.com/projects/apolnus,"濾網簡單清洗重複使用、省錢、省心、又環保，獨家創新導電薄膜技術、易水洗、無臭氧，可過濾比N95口罩更小奈米顆粒，解決空氣清淨機使用上的痛點，空清機界的最強王者！,zeczec",20 天,2022/10/05 11:00 – 2022/11/05 23:59,2022-10-05 11:00:00,2022-11-05 23:59:00
眠豆沙 | 今天開始搶著睡沙發的台灣製手工沙發,眠豆腐,5939330.0,39590.0,https://www.zeczec.com/projects/sleepytofu-sofa,"為了你寶貴的療癒時光，眠豆腐決定打造一款沙發，拿出所有獨家秘方，回歸沙發的核心機能：好坐又好躺。我們稱它——眠豆沙！,zeczec",15 天,2022/09/27 20:00 – 2022/10/31 23:59,2022-09-27 20:00:00,2022-10-31 23:59:00
【眠朵雲 2.0 】恆溫深度釋壓枕｜業界最高枕心密度支撐，3 層科技布套打造吸濕／排汗／抗菌極致舒適感，陪你夜夜好眠,戀家小舖,5107847.0,2680.0,https://www.zeczec.com/projects/lovingfamily,"熱賣超過 15,000 顆的【眠朵雲】推出全新二代！領先業界 3 倍枕心密度，提供良好支撐與深層釋壓。3 層科技布套，則讓肌膚有最舒適的接觸感，一試就愛上！,zeczec",38 天,2022/10/12 21:00 – 2022/11/24 02:00,2022-10-12 21:00:00,2022-11-24 02:00:00
Withering Calendar 2023 植物凋零曆 ｜凡事都會消逝，凡事也都會再來,yiyuflorist,3505886.0,980.0,https://www.zeczec.com/projects/withering-calendar-2023,"一本關於凋零的植物攝影日曆。,zeczec",15 天,2022/09/21 21:00 – 2022/10/31 23:59,2022-09-21 21:00:00,2022-10-31 23:59:00
HoldU 懶人沙發椅｜是懶骨頭，更是床墊 ＆ 支撐沙發！一椅三用大革新，Hold Your Life！,WM台客嚴選,2755521.0,3690.0,https://www.zeczec.com/projects/holdu,"360 度沉浸包覆，享受懶骨頭帶來的放鬆，加上台灣製的支撐設計，包覆兼具支撐，怎麼坐都舒適，讓一椅適用多種生活情境，一張顛覆你想像的懶人沙發，不只是懶骨頭，也是支撐沙發，更是單人沙發床！,zeczec",20 天,2022/09/20 12:00 – 2022/11/06 02:00,2022-09-20 12:00:00,2022-11-06 02:00:00
馬曆2023／做一隻不會在龜兔賽跑中輸掉比賽的兔子,新加坡商艾雅思股份有限公司台灣分公司,2187082.0,920.0,https://www.zeczec.com/projects/MarknMary2023,"原子習慣說，只要每天進步1%，一年累積下來，你就會成長3700%！ 問題是，我們要從哪裡開始下手，要如何有意識地做出改變呢？ 就讓馬曆成為你每日的提醒吧！,zeczec",46 天,2022/10/01 10:01 – 2022/12/01 23:59,2022-10-01 10:01:00,2022-12-01 23:59:00
2023【3D 紙雕地球日曆】- 是日曆，更是收藏品。用 365 天，創造一個世界,紙志,2174875.0,1090.0,https://www.zeczec.com/projects/earth-calendar-2023,"【全台首發 X 台灣節日 X 繁體中文】結合 3D 立體雷雕技術，還原真實地貌高低。讓撕日曆的每一天，成為藝術創作的過程。,zeczec",36 天,2022/10/06 12:00 – 2022/11/22 02:00,2022-10-06 12:00:00,2022-11-22 02:00:00
〖 招財曆 2023 〗滿滿投資理財知識，日日伴你成長 ft. IEObserve 國際經濟觀察 X 財女Jenny,Money Come Calendar,1818884.0,940.0,https://www.zeczec.com/projects/moneycome,"台灣第一本以投資理財知識為主題的日曆，用淺白方式讓你看懂經濟指標、財報重點、全球重要產業公司介紹和財經大師投資心法；365 天每天吸收一則知識，和你一起成長，提高商業視野；用知識招財，以行動致富！,zeczec",20 天,2022/09/27 12:00 – 2022/11/05 23:59,2022-09-27 12:00:00,2022-11-05 23:59:00
