集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
【 綿羊掰掰｜三層構造舒眠枕 】2 秒入睡，彷彿浮在水面般的舒眠體驗！,KK select,4729735,2990,https://www.zeczec.com//projects/pkk-select," 來自日本的「綿羊掰掰舒眠枕系列」已經拯救了超過 5 萬人的睡眠品質，最新的「三層構造舒眠枕」可自由調整枕頭高度，搭配上柔軟耐用的TPE材質，帶給你彷彿浮在水面般前所未有的 舒！眠！體！驗！,zeczec",17 天,2022/06/07 12:00 – 2022/07/06 23:59,2022-06-07 12:00:00,2022-07-06 23:59:00
【 SAMSUNG The Serif｜三星風格電視 】從畫面美到背面，每個角度都是賞心悅目的一面。,samsung,4253240,38900,https://www.zeczec.com//projects/samsung-the-serif,"別再忍受一成不變的電視外觀設計，SAMSUNG 三星這次顛覆你對傳統電視的想像！簡約白色外框搭配 4K X HDR 10+ 超高畫質，為你的空間裝上一台藝術品！,zeczec",15 天,2022/06/07 12:00 – 2022/07/04 23:59,2022-06-07 12:00:00,2022-07-04 23:59:00
【 BUTEO 居家 / 戶外隨行桌 】Bunker 堡壘系列，無論簡單單桌，或變化成 T 型配置，都是您「 門裡、屋外 」的高顏值隨行好桌！,鵟製所股份有限公司,3280760,1584,https://www.zeczec.com//projects/buteo-t,"台灣首個戶外露營品牌，由三位不同領域之設計人創辦，融合室內空間、視覺平面、動畫特效、工業應用等全方位角度作為創作基礎，面對眾多日、韓系品牌的市場獨佔，鵟製所期許能走出自己的路，在設計的領域裡證明...,zeczec",16 天,2022/06/15 21:00 – 2022/07/05 23:59,2022-06-15 21:00:00,2022-07-05 23:59:00
【日本Broski 擴充背包】不怕淋雨的高質感真皮革包，超大擴充容量滿足收納,Single Step,1524010,4980,https://www.zeczec.com//projects/Broski-and-Supply,"日本專利防水牛皮革，好清潔不易髒污。可擴充容量收納三天兩夜行李、16寸筆電、相機器材等。一個包就能滿足商務俐落、旅遊休閒的需求，讓每個日常都能享受機能十足、觸感優異的真皮背包。,zeczec",12 天,2022/05/31 12:30 – 2022/07/01 23:59,2022-05-31 12:30:00,2022-07-01 23:59:00
海樂緹 α波科技睡眠衣 ｜靈魂級黑科技的安心體驗，你的第一件未來機能衣,海樂緹 石墨烯,1394927,3050,https://www.zeczec.com//projects/hlt-shirt,"出門舒服到回家、回家保養到睡覺、睡覺一覺到天亮，日間幫助，夜晚恢復，從動到靜，白天到黑夜，所有情境都有效的24小時全能衣,zeczec",42 天,2022/06/06 21:00 – 2022/07/31 23:59,2022-06-06 21:00:00,2022-07-31 23:59:00
丹麥爸媽也瘋狂的 MODU 回來啦！全新推出「半球積木」讓建築小宇宙再爆發！,MODU TAIWAN (QBEAN),1181330,10350,https://www.zeczec.com//projects/modu-ball,"MODU 是一組真人大小的變形積木，它可以是 √學步車 √搖搖馬 √滑步車 √甚至是平衡板－想要什麼玩具都可以自己搭！MODU 已經準備好要讓孩子們的「建築小宇宙」大爆發！,zeczec",40 天,2022/06/16 20:00 – 2022/07/30 02:00,2022-06-16 20:00:00,2022-07-30 02:00:00
《雲嶺戰記》在戰場上的籌碼與骰子間，爭奪安卡天下！,AsmodeeTW,1124570,40,https://www.zeczec.com//projects/cloudspire,"《雲嶺戰記》是一款多人對戰或合作的桌遊，以籌碼驅動的MOBA類塔防遊戲，適合1-4人遊玩。你將指揮一個獨特的種族，生產各式小兵與修建防禦塔，並試圖控制地圖上的重要位置。由你來征服整個安卡天域！,zeczec",24 天,2022/05/30 18:00 – 2022/07/14 02:00,2022-05-30 18:00:00,2022-07-14 02:00:00
【 BUZZLIGHT｜證件套錄音機 】韓國熱銷破千萬！1 秒隨開即錄，不錯過任何重要時刻，32g 輕巧便攜，隨身記錄小幫手！,MUNE Taiwan,764938,1399,https://www.zeczec.com//projects/buzz-light,"一張可隨身攜帶、不引人注意，緊急情況下能夠快速發揮作用的證件套。,zeczec",8 天,2022/06/08 12:00 – 2022/06/27 23:59,2022-06-08 12:00:00,2022-06-27 23:59:00
DIKE X BioLED 醫院級UVC紫外線空氣清淨機｜第一台專為國人打造！,DoubleLife,633510,4990,https://www.zeczec.com//projects/bioled-x-dike-uvc,"專為台灣人研發！生活用品首選品牌DIKE特別找了防疫國家隊-華興集團(BioLED)合作，推出了這款淬鍊40年光學經驗的醫院級UVC紫外線空氣清淨機,zeczec",16 天,2022/05/31 12:00 – 2022/07/05 23:59,2022-05-31 12:00:00,2022-07-05 23:59:00
卡布咖啡 ☕19bar高壓萃取全自動咖啡機 | 一鍵研磨萃取，蒸氣奶泡，60秒完成拿鐵 ,capu coffee,568910,14580,https://www.zeczec.com//projects/CAPU,"完美19bar高壓萃取、滿足你要的濃醇香，拿鐵、卡布奇諾、義式濃縮、美式咖啡皆可製作 !,zeczec",30 天,2022/06/14 12:00 – 2022/07/20 02:59,2022-06-14 12:00:00,2022-07-20 02:59:00
AirRun ViruSTOP® 空氣滅毒機｜200°C 無毒熱核心殺菌技術，99.9% 常見病菌有效去除，安心空氣的守護者,AirRun,486355,6850,https://www.zeczec.com//projects/virustop,"AirRun ViruSTOP® 空氣滅毒機，擁有獨家 200°C 熱核心殺菌技術，能瞬間有效去除≥99.9% 常見病菌，無臭氧且無化學物質，讓您在家大口呼吸新鮮空氣！,zeczec",38 天,2022/06/13 20:00 – 2022/07/27 23:59,2022-06-13 20:00:00,2022-07-27 23:59:00
