集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
石頭掃拖機器人 S7 MaxV Ultra ｜五項全自動．六合一清潔座搭載業界最強5100PA吸力，掃地機界真王者！,Roborock Taiwan,141013816,39888,https://www.zeczec.com//projects/roborock-s7-maxv-ultra,"全球最大的掃地機器人製造商Roborock石頭科技， 推出全新頂級旗艦機種 —S7 MaxV Ultra ▶︎ 重金打造旗艦高規格機款，再次顛覆你對掃地機的想像！做到讓您真正解放雙手！,zeczec", 14 小時,2022/04/12 10:00 – 2022/05/09 23:59,2022-04-12 10:00:00,2022-05-09 23:59:00
【 Tairona R-01｜真．輕巧，掌上劇院 】小巧便攜，畫質清晰。小體積，大「視」界！滿足你從 居家生活 到 戶外旅遊！,inaday's,8796496,8888,https://www.zeczec.com//projects/tairona-r-01-l-4k,"inaday's 首次推出 [ 掌上劇院 ]，堅持品質及功能性一致，絕對顛覆你對微型投影機的既定印象!!!,zeczec",18 天,2022/04/19 11:00 – 2022/05/26 23:59,2022-04-19 11:00:00,2022-05-26 23:59:00
【雲米】方糖洗碗機 - 「我不想洗碗！」入手人生第一台免安裝洗碗機,雲米 VIOMI,5394801,7990,https://www.zeczec.com//projects/sugar,"萬元內、免安裝、超省水！比手洗省 10 倍水量，16 道強力水柱＋UVC 99.99% 強力殺菌，一鍵按下，讓曾經的洗碗惡夢，變得簡單俐落。,zeczec",29 天,2022/05/05 12:00 – 2022/06/07 02:00,2022-05-05 12:00:00,2022-06-07 02:00:00
MiniBle X 微氣泡起波器｜清潔、除菌、去農殘，一顆搞定｜家用微氣泡革命，居家用水品質大升級！,HerherS和荷時際,4307582,1750,https://www.zeczec.com//projects/minible-x,"從台灣開始，我們想要繼續照顧地球，實踐每個家裡都擁有微氣泡的承諾。,zeczec",15 天,2022/04/19 20:00 – 2022/05/24 02:30,2022-04-19 20:00:00,2022-05-24 02:30:00
 數感宇宙探索課程｜為國小生打造的生活數學 DIY 影音學習組｜給孩子一堂不一樣的數學課,數感實驗室,2400670,1790,https://www.zeczec.com//projects/numeracymaker,"本課程結合數感實驗室逾 10 年數學教育經驗、史丹佛大學「成長型數學思維」理論。內容針對國小中年級以上的孩子，強調具體、跨域、手作、情境。鼓勵孩子探索思考，讓孩子愛上數學。,zeczec",50 天,2022/05/04 12:00 – 2022/06/28 02:00,2022-05-04 12:00:00,2022-06-28 02:00:00
TIFG日本製焚火台 | 耐重鋼板不變形，收納厚度不到1公分，營火野炊職人逸品 · TakiBeIta焚火台,Single Step,1830171,4490,https://www.zeczec.com//projects/tifg-takibeita,"露營烤肉,營火活動最值得擁有的職人焚火台，日本集資排名第一！日本香川縣TIFG鐵匠鍛造，厚實鋼板耐重不變型，組裝快速收納不到1cm！世界最美燒柴爐,zeczec",8 天,2022/04/12 12:00 – 2022/05/16 23:59,2022-04-12 12:00:00,2022-05-16 23:59:00
【 SAMSUNG｜Bespoke Jet™ 】三星風暴級無線變頻吸塵器，韓國熱銷超過 30 萬台 ✧ 科技美型 1.44KG 極輕設計，獨立集塵充電座，210W 超強吸力！,samsung,1819800,34400,https://www.zeczec.com//projects/samsung-bespoke-jet,"吸地、拖地、集塵，這台通通搞定！一機包辦，灰塵零接觸！全機 2 年保固，主機馬達 10 年保固！,zeczec",9 天,2022/04/19 12:00 – 2022/05/18 02:00,2022-04-19 12:00:00,2022-05-18 02:00:00
「煎出世界上最好吃的牛排，就跟呼吸一樣簡單！」Omoi frying pan無塗層鑄鐵煎鍋台灣初登場！,KK select,1767571,3890,https://www.zeczec.com//projects/omoi-frying-pan,"保留鑄鐵熱傳導優良特性．煎面加厚設計．無塗層可用一輩子。只要有這把神鍋，就能省下上高級牛排餐館的費用，在家也能享用又香又嫩的美味牛排！,zeczec",19 天,2022/04/28 12:00 – 2022/05/28 02:00,2022-04-28 12:00:00,2022-05-28 02:00:00
地表最強露營燈【日本 ROOT CO. HEX-SoLa ver.2 戶外露營燈】｜獨創六角形設計，360度無死角的極致機能,攜帶電話,1584260,3190,https://www.zeczec.com//projects/root-co-hex-sola-ver2,"來自日本箱根，Outdoor職人品牌｜日本 ROOT CO. ，最親近大自然的設計理念，首次登上嘖嘖，挑戰地表最強露營燈，360度無死角的極致機能！,zeczec",23 天,2022/04/26 11:00 – 2022/05/31 23:59,2022-04-26 11:00:00,2022-05-31 23:59:00
【聲藝】 學習聲音的藝術，幫助你談成生意，搞定關係,歐馬克,1416960,1980,https://www.zeczec.com//projects/metavoice,"成立一個幫助人們探索與認識自己的平台，提供文章、影音、線上課程、線下工作坊資源，讓人們可以活出理想的生活，成為心目中的自己,zeczec",36 天,2022/04/13 21:00 – 2022/06/13 23:59,2022-04-13 21:00:00,2022-06-13 23:59:00
日本國寶級工藝輪島塗職人手工打造｜輪島漆萬用料理鏟｜田谷漆器店,KK select,1383601,1750,https://www.zeczec.com//projects/wajimanuri2,"擁有 200 年以上歷史的田谷漆器店，改良國寶級工藝輪島塗職人工具所製成的第二代萬用料理鏟，雙重抗菌保護，再也不擔心木鏟發霉！,zeczec",4 天,2022/04/12 12:00 – 2022/05/12 23:59,2022-04-12 12:00:00,2022-05-12 23:59:00
InBirdie TEMPO 智慧型高爾夫推桿練習器｜搭載 AI 技術，精準測量三大數值！在家也能精進推桿技巧，加強推桿訓練品質！,DMBH Taiwan,1209876,8500,https://www.zeczec.com//projects/inbirdie-tempo,"韓國專利技術新產品，透過 AI 感測器偵測推桿節奏、距離、角度 3 項數據；深入練習推桿技巧，提升推桿準確度，讓你在球場上展現完美一擊！,zeczec",30 天,2022/04/26 20:00 – 2022/06/08 02:00,2022-04-26 20:00:00,2022-06-08 02:00:00
WOKY ♃99純鈦濾芯陶瓷環保杯 500ml | 純鈦濾芯／鈦濾網+1.8mm陶瓷內膽保冰6h 開啟一場回不去的鈦空之旅 ,WOKY,1115946,1550,https://www.zeczec.com//projects/WOKY-ZETA500ml,"從WOKY廣受好評的好口杯延伸，2022業界全新♃99鈦濾芯異元素，結合喜歡陶瓷親潤感又欲追求更高奢華品味的職人尖端新選擇。,zeczec",8 天,2022/04/13 12:00 – 2022/05/16 23:59,2022-04-13 12:00:00,2022-05-16 23:59:00
【 Royal 鼻毛刀套組】承襲韓國六十年傳統工藝，絕對安全、俐落剪斷不扯毛，輕輕轉一轉，整個人煥然一新！,Backer Choice 貝殼選物,1077022,1999,https://www.zeczec.com//projects/royal-metal,"左邊轉轉、右邊轉轉，5 秒無痛清理鼻毛超簡單！一套擁有精品質感的不銹鋼鼻毛刀套組，絕對安全、無須充電且可拆卸水洗， 7.2cm 輕巧帶著走，上班、約會前快速轉一轉，在重要時刻不凸槌，俐落又帥氣！,zeczec",32 天,2022/04/26 12:00 – 2022/06/09 23:59,2022-04-26 12:00:00,2022-06-09 23:59:00
【彿堤斯 | 中型寵物烘毛室】為台灣「中大型汪喵」及「多寵家庭」量身打造！,清度,1043701,16800,https://www.zeczec.com//projects/vortice,"一款專為體型 7-15 公斤的中型犬、大型貓，以及有著多隻小型寵物的家庭所設計，超越 5 星等級，寬敞、舒適、輕鬆無壓力的烘毛空間！,zeczec",28 天,2022/05/05 11:00 – 2022/06/05 23:59,2022-05-05 11:00:00,2022-06-05 23:59:00
【真無線∞空氣清淨機】擺脫有線束縛、成就無限淨化！四大強效All in one，隨心移動無限制,KINYO,924244,2280,https://www.zeczec.com//projects/AO-600,"充電式設計，內建大容量電池，使用時不再受限於插座位置，讓生活中的多餘電線通通消失，達到真正「無線」和「無限」。體積變小、效能再提升！四大淨全面保護，實現走到哪、淨到哪的生活品質。,zeczec",7 天,2022/04/15 11:00 – 2022/05/15 23:59,2022-04-15 11:00:00,2022-05-15 23:59:00
