集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
大古鑄鐵雙雙鍋｜一鍋雙用大革新，是湯鍋也是平底鍋！天然不沾、無毒耐刮、收納超 Easy！,大古鑄鐵,5551740,7280,https://www.zeczec.com//projects/takuironware-double-castiron-pot,"特殊雙鍋設計，是湯鍋也是平底鍋，拆卸式把手讓烹飪過程不燙手、收納更靈活，蒸煮烤炸煎燉都適用，滿足你對料理的多種想像！,zeczec",39 天,2022/06/23 12:00 – 2022/08/05 02:00,2022-06-23 12:00:00,2022-08-05 02:00:00
丹麥爸媽也瘋狂的 MODU 回來啦！全新推出「半球積木」讓建築小宇宙再爆發！,MODU TAIWAN (QBEAN),2260560,10900,https://www.zeczec.com//projects/modu-ball,"MODU 是一組真人大小的變形積木，它可以是 √學步車 √搖搖馬 √滑步車 √甚至是平衡板－想要什麼玩具都可以自己搭！MODU 已經準備好要讓孩子們的「建築小宇宙」大爆發！,zeczec",33 天,2022/06/16 20:00 – 2022/07/30 02:00,2022-06-16 20:00:00,2022-07-30 02:00:00
【日本Broski 擴充背包】不怕淋雨的高質感真皮革包，超大擴充容量滿足收納,Single Step,1800480,4980,https://www.zeczec.com//projects/Broski-and-Supply,"日本專利防水牛皮革，好清潔不易髒污。可擴充容量收納三天兩夜行李、16寸筆電、相機器材等。一個包就能滿足商務俐落、旅遊休閒的需求，讓每個日常都能享受機能十足、觸感優異的真皮背包。,zeczec",5 天,2022/05/31 12:30 – 2022/07/01 23:59,2022-05-31 12:30:00,2022-07-01 23:59:00
Let's Up Pro! 一起長高桌｜電動升降，站坐皆可，5歲用到出社會！,日商海雅喜,1492600,17800,https://www.zeczec.com//projects/lets-up-pro,"電動升降再升級，陪伴孩子一起長高！日本設計 x 台灣製造，真正給兒童，電動升降53-113cm，站坐皆可，成長、學習一鍵到位。,zeczec",10 天,2022/06/09 11:00 – 2022/07/07 02:00,2022-06-09 11:00:00,2022-07-07 02:00:00
《雲嶺戰記》在戰場上的籌碼與骰子間，爭奪安卡天下！,AsmodeeTW,1472990,40,https://www.zeczec.com//projects/cloudspire,"《雲嶺戰記》是一款多人對戰或合作的桌遊，以籌碼驅動的MOBA類塔防遊戲，適合1-4人遊玩。你將指揮一個獨特的種族，生產各式小兵與修建防禦塔，並試圖控制地圖上的重要位置。由你來征服整個安卡天域！,zeczec",17 天,2022/05/30 18:00 – 2022/07/14 02:00,2022-05-30 18:00:00,2022-07-14 02:00:00
【海樂緹α波科技睡眠衣】日常幫助，夜晚恢復，從動到靜，所有情境都有效的24小時全能衣,海樂緹 石墨烯,1468427,3050,https://www.zeczec.com//projects/hlt-shirt,"出門舒服到回家、回家保養到睡覺、睡覺一覺到天亮，睡眠、運動、健康、保養、抗菌、涼暖問題，靠「穿」一次搞定,zeczec",35 天,2022/06/06 21:00 – 2022/07/31 23:59,2022-06-06 21:00:00,2022-07-31 23:59:00
【 arpara AIO 5K｜VR 一體機 】VR 玩樂究極進化，5K Micro-OLED 螢幕無「線」暢快。,arpara TW,1380060,18880,https://www.zeczec.com//projects/arpara-aio-5k-vr,"延續廣受好評的 5K Micro-OLED 螢幕，加上自帶一體機作業系統，官網推出的完美相容VR手柄，暢玩 SteamVR 以及更多遊戲平台內容。帶你ALL IN ONE體驗遊戲觀影最終奧義！,zeczec",25 天,2022/06/21 12:00 – 2022/07/22 02:00,2022-06-21 12:00:00,2022-07-22 02:00:00
潔癖刷 ｜畚箕式抗菌馬桶刷，一次解決清潔馬桶的所有困擾，開啟你的潔癖人生,Mieloo.co,1150730,690,https://www.zeczec.com//projects/tidybrush,"超疏水抗菌刷頭，好刷不卡垢，畚箕式防漏刷座，好清不髒手。 讓髒水不亂滴、刷座不發臭，打造浴廁清潔的全新體驗。,zeczec",19 天,2022/05/30 20:00 – 2022/07/15 23:59,2022-05-30 20:00:00,2022-07-15 23:59:00
D-DAY 新都會隨型包｜3 種秒換造型，2 種背法設計，工作／日常／戶外 都很型，機能帥氣一次搞定,Dr.Wilds 荒野醫生,1042492,3388,https://www.zeczec.com//projects/ddaybag,"D-DAY 新都會隨型包，滿足日常一切所需，順應你的每日穿搭，機能與帥氣同時兼備的最強日常包！獨家 2 種背法容量 X 3 種秒換造型，不管工作、日常或輕旅，一包背了就隨時出發，就此告別換包大麻煩。,zeczec",5 天,2022/06/01 21:00 – 2022/07/01 23:59,2022-06-01 21:00:00,2022-07-01 23:59:00
省電超新星【TURNLIFE 多功能無線水冷扇】｜擺脫有線的束縛，展開無限的潛能！,攜帶電話,802200,2490,https://www.zeczec.com//projects/turnlife-humidity-fan,"擺脫有限的束縛，展開無限的潛能，雙噴嘴設計／超廣角送風／高效靜音 溫馨夜燈／內建大容量電池／三檔風力／大容量水箱 / 曠香槽設計,zeczec",4 天,2022/06/01 12:00 – 2022/06/30 23:59,2022-06-01 12:00:00,2022-06-30 23:59:00
Bopomofo注音自學系列｜用10本圖像式注音繪本 、 74張注音遊戲字卡讓孩子愛上ㄅㄆㄇㄈ,Bopomofo注音自學系列,785860,2680,https://www.zeczec.com//projects/bopomofo,"用最創新的方式推廣專屬台灣人的注音符號✨讓沒有教學經驗的家長、沒有注音基礎的孩子，也能藉由「親子共讀」快樂自學。,zeczec",12 天,2022/06/08 12:00 – 2022/07/09 02:00,2022-06-08 12:00:00,2022-07-09 02:00:00
AETHER STEMD-1 智能空氣清淨機 | 採用世界第一超靜音無刷馬達，台灣設計製造。一起放心森呼吸！,AETHER空氣清淨機,704010,5600,https://www.zeczec.com//projects/Aether-STEMD-1,"台灣原裝設計製造，品質第一有保障。 採用全球No.1的藍芽智慧鑰匙，自動連線開關機。 超靜音28分貝，安心入睡不擾眠。 經國家級實驗室認證可過濾空氣中 99% PM2.5、病菌及各種過敏原。,zeczec",8 天,2022/06/01 11:50 – 2022/07/05 02:00,2022-06-01 11:50:00,2022-07-05 02:00:00
齁齁睏 | 首創日本涼感黑科技，另一面親膚的冬夏兩用墊，在酷夏為孩童打造頂級涼爽的兒童隨身床組,woopo fabrics,621081,3880,https://www.zeczec.com//projects/SweetDreams,"獨家應用日本涼感技術，搭配恆溫石墨烯四季被，專為台灣嬰仔開發，最全面的貼心設計，讓孩童不管到哪都能有舒適的睡眠。,zeczec",15 天,2022/06/01 11:00 – 2022/07/11 23:59,2022-06-01 11:00:00,2022-07-11 23:59:00
SN°OVAE 翻轉筆記夾_A5｜不受紙張規格限制 翻轉您的收納效率,SN°OVAE,583114,1999,https://www.zeczec.com//projects/snovaetwnb_a5,"這次我們將翻轉工作袋優化升級，全新的翻轉筆記夾_A5，讓您在使用上更直覺、更俐落，搭配全新的專屬配件，讓大家不管是在記錄書寫或文件收納上，效率加倍。,zeczec",35 天,2022/05/31 21:00 – 2022/07/31 23:59,2022-05-31 21:00:00,2022-07-31 23:59:00
小南醬 九局下半的棒球人生,胡哲綸,523504,10000,https://www.zeczec.com//projects/xiao-nan-jiang-jiu-ju-xia-ban-de-bang-qiu-ren-sheng,"棒球比賽不到最後一個出局數，只要不放棄都有可以逆轉的機會，請各位協助我完成這次人生的逆轉,zeczec",35 天,2022/06/08 12:00 – 2022/07/31 23:59,2022-06-08 12:00:00,2022-07-31 23:59:00
CORbench 柯比桌｜我心目中的好桌椅，讓孩子願意身在其中，嘗試未來的所有可能！,孩記得,501400,25800,https://www.zeczec.com//projects/CORbench,"有別於常見書桌封閉的學習空間，【CORbench 柯比桌】 利用穿透柵格營造多維度使用情境，結合人體發展常模統計數據，是一張真正符合孩子生長需求的成長型書桌椅,zeczec",35 天,2022/05/31 21:00 – 2022/07/31 23:59,2022-05-31 21:00:00,2022-07-31 23:59:00
《baller籃球誌》NBA傳奇典藏特刊,baller籃球誌,448305,1999,https://www.zeczec.com//projects/baller-nba,"《baller籃球誌》出版，對於近代籃球影響至深的五名NBA傳奇球星特刊，合輯一套五冊，透過相對有溫度的紙本，典藏經典傳奇。,zeczec",26 天,2022/06/06 20:00 – 2022/07/22 23:59,2022-06-06 20:00:00,2022-07-22 23:59:00
