projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
通過美國最高軍武級防護規格 | Wetop C300Pro 環境淨化器，主動清淨，即時淨化空氣及物體表面，專為呼吸安全打造,WETOP 數緯環境科技,1282520.0,19600.0,https://www.zeczec.com/projects/wetop-c300pro,"今年我們再度推出一台以 「即時呼吸安全防護」 的環境淨化器，不僅能夠淨化空氣、還可以淨化物體表面，提供最高規格的美國軍武級安全防護，同時又兼顧安全、安靜需求，以24小時不間斷使用標準，打造可固定...,zeczec",55 天,2022/11/15 21:00 – 2023/01/15 02:00,2022/11/15 21:00:00,2023/01/15 02:00:00
Hello Studio 你好工作室《狐吉與星星》繪本出版計畫,你好藝思有限公司,215620.0,1250.0,https://www.zeczec.com/projects/hellostudio,"總是為了別人奔波的你，有多久沒有跟自己說聲「辛苦了」？ 這是一本關於「愛自己」的繪本。,zeczec",41 天,2022/11/15 20:00 – 2022/12/31 23:59,2022/11/15 20:00:00,2022/12/31 23:59:00
【VIVAWANG x 白沙屯媽組鑾轎紀念燈】6 合 1 最強許願燈、頭旗化煞、勇軍護航、檀香引路、媽祖錢母坐鎮、轎頂獅有求必應、刺繡轎彩十足復刻鑾轎風采，點亮癸卯年前景光明 ⛩️ 百年香隨-粉紅超跑進家門！,VIVAWANG 香氛。居禮。時光,27642.0,2980.0,https://www.zeczec.com/projects/VIVAWANG,"致力文創力作，完美升級點燈、擴香、環保、安全、30天換一杯開運香燭、許願、祝福...等多種好處，白沙屯媽鑾轎紀念燈！ 「求好運」超值收藏，日常祈福不再遙遠，讓生活充滿幸福和諧、財運進家門！,zeczec",41 天,2022/11/15 15:00 – 2022/12/31 23:59,2022/11/15 15:00:00,2022/12/31 23:59:00
【LOTUS海洋流動畫瑜珈墊】是瑜珈墊也是藝術品，你的腳下就是一片海洋，讓各種色彩隨著心流創造動態的冥想,LotusFitness,25370.0,4200.0,https://www.zeczec.com/projects/flow-art-yoga-mat,"與「Mia的流動藝饗世界」藝術家王育慧Mia共同合作，將具有流動美感的海洋紋理烙印在瑜珈墊上，推出「藝術美感」與「止滑力」兼具的PU天然橡膠瑜珈墊與抑菌仿麂皮瑜珈舖巾。,zeczec",39 天,2022/11/15 12:00 – 2022/12/29 23:59,2022/11/15 12:00:00,2022/12/29 23:59:00
青少年憂鬱症防治暨家庭支持服務計畫,敦安基金會,8400.0,300.0,https://www.zeczec.com/projects/dwenan,"敦安基金會自2002年起投入青少年憂鬱症防治，每年服務近700人次的憂鬱青少年，陪伴他們長出復原力，走出憂鬱風暴。,zeczec",25 天,2022/11/15 12:00 – 2022/12/15 23:59,2022/11/15 12:00:00,2022/12/15 23:59:00
HOTO 小猴三合一露營燈 | 一燈三用，戶外照明 一支就夠,佳美能科技股份有限公司,295070.0,2490.0,https://www.zeczec.com/projects/hoto,"一燈三用：露營燈、氛圍燈、手電筒。全方位滿足戶外活動愛好者的照明需求：高續航、高顏值；充電快、輕巧便攜,zeczec",35 天,2022/11/15 12:00 – 2022/12/26 02:00,2022/11/15 12:00:00,2022/12/26 02:00:00
【AXPRO華艦科技】B20無線藍芽麥克風-世上最輕的藍芽麥克風｜主動降噪｜雙麥克風｜無需接收器,Axpro華艦科技,88330.0,2880.0,https://www.zeczec.com/projects/axpro-b20,"AXPRO 華艦科技推出B20無線藍芽麥克風，有別於一般藍芽麥克風需要在手機接上一台接收器。B20 無須外接接收器便可與手機連接，搭配獨創雙麥克風降噪與超輕量設計。,zeczec",36 天,2022/11/15 12:00 – 2022/12/27 15:00,2022/11/15 12:00:00,2022/12/27 15:00:00
頂級防割黑科技 重磅回歸｜KORIN 全防割防盜單肩包 ClickSling X,桃子良品,182476.0,3980.0,https://www.zeczec.com/projects/korin-clicksling-x,"一日遊的隨行最佳容量／最舒適順手的單肩背負／最安心安全的全包防割《防割防盜單肩包 ClickSling X》,zeczec",25 天,2022/11/15 12:00 – 2022/12/16 02:00,2022/11/15 12:00:00,2022/12/16 02:00:00
夢想號燒烤外燴行動餐車：燒烤先生到你家！,Mr.BBQ 燒烤先生,0.0,1860.0,https://www.zeczec.com/projects/mrbbq,"我是專業的美式燒烤與台式手工串燒攤主 希望能透過有償眾籌 集資打造一台能環台上山下海的影音餐車,zeczec",40 天,2022/11/14 20:00 – 2022/12/30 23:59,2022/11/14 20:00:00,2022/12/30 23:59:00
【GAIT】玻璃振膜藍芽喇叭GlaXfi-HH22｜獨特創新的沉浸式音響,GAIT玻音先創,51470.0,1990.0,https://www.zeczec.com/projects/gait-glaxfi-hh22,"GAIT 玻音先創是擁有全球首創專利「玻璃振膜」的台灣品牌。「玻璃振膜」同時整合了玻璃材質以及喇叭振膜，是創新的喇叭零件種類! 透過玻璃的優異材質特性，我們將為你創造出最獨特的聽覺體驗。,zeczec",15 天,2022/11/14 20:00 – 2022/12/06 02:00,2022/11/14 20:00:00,2022/12/06 02:00:00
暗黑色情色桌遊,暗黑色有限公司,0.0,3000.0,https://www.zeczec.com/projects/darkblack,"情慾，因為愛，而成倍地發酵。 熱辣辣的情慾，醺醺然的夜晚 跟著 [ 暗黑色情趣桌遊 ] 探索更多性趣，解鎖更多慾望 讓你體驗性愛....美好一面 遊戲經過真人實測，性趣滿分 過程中，你無法做任何...,zeczec",10 天,2022/11/14 20:00 – 2022/12/01 23:59,2022/11/14 20:00:00,2022/12/01 23:59:00
PasswordPocket 密碼記憶神器｜解放大腦！給你最安全、方便的登入新選擇！,Atlancube ,693710.0,780.0,https://www.zeczec.com/projects/passwordpocket,"密碼不再忘！重要資訊不再擔心被虧看！一切掌握在手中！Atlancube 團隊致力於將最新科技帶入生活，創造更安全、迅速、方便的世界。,zeczec",26 天,2022/11/14 15:00 – 2022/12/16 23:59,2022/11/14 15:00:00,2022/12/16 23:59:00
