集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
【好眠城實木床組】我長大了，我可以自己睡！一套從抓周禮睡到成年禮的實木床組！,環安傢俱,31709720,53800,https://www.zeczec.com/projects/bunkbed,"一個床組 3 種睡法！是【上下舖】，是【加大單人床】，竟然還是【特大雙人床】超長使用年限，一套真正可以讓孩子從小睡到大的床！,zeczec",31 天,2022/07/19 10:00 – 2022/09/01 03:00,2022-07-19 10:00:00,2022-09-01 03:00:00
▋人生的咖哩味~門前隱味 ▋每一口都是想家的那一味，更是人生幸福的療癒,門前隱味牛肉麵,3739908,2636,https://www.zeczec.com/projects/wumamii-curry,"我們深信每道料理都有屬於自己的一個故事，而這道咖哩帶點辛辣、有點甜，滋味濃郁、令人一口接一口，就像是門前隱味的文章般讓人欲罷不能。,zeczec",25 天,2022/07/13 15:00 – 2022/08/26 15:30,2022-07-13 15:00:00,2022-08-26 15:30:00
《VERSE》第三年訂閱｜ 訂閱一本絕無僅有的文化雜誌，改變你看見台灣的角度， 參與一場定義時代的文化運動,VERSE,1721611,1890,https://www.zeczec.com/projects/verse-3rd-yrs,"VERSE 準備邁入第三年了，誠摯邀請您加入訂閱的行列，並且和我們加入一場正在改變台灣的文化運動。,zeczec",64 天,2022/07/26 20:00 – 2022/10/03 23:59,2022-07-26 20:00:00,2022-10-03 23:59:00
Geyser 全天候防水鞋｜最強 4 in 1！雨鞋＋登山鞋＋運動鞋＋外出休閒鞋，一次擁有,Tropicfeel,1527365,3499,https://www.zeczec.com/projects/geyser,"不只具有 360 度全面防水的專利技術，再生羊毛製成的鞋身帶來透氣的全新體驗，且共有 10 款亮眼外型可選擇，讓你天天都想穿著它出門！,zeczec",22 天,2022/07/19 12:00 – 2022/08/23 02:00,2022-07-19 12:00:00,2022-08-23 02:00:00
Apitor Robot樂學程式積木 基礎綠Q、進階藍S | 孩子們的mini課外學伴！,Apitor x 有設計,1464720,3980,https://www.zeczec.com/projects/apitor-robot-qs,"全球首發！新體感操控方式、新系列30+玩法、相容樂高與歷代積木！結合主流圖像式編程、互動玩法與物理應用，讓孩子在玩樂中學習STEAM！分階段從組裝、動力操控到編程，陪伴孩子一同成長！,zeczec",39 天,2022/07/25 21:00 – 2022/09/08 23:59,2022-07-25 21:00:00,2022-09-08 23:59:00
Simmpo iPad TÜV 抗藍光簡單貼｜全世界第一款有效濾掉 60% 有害藍光，更是全台唯一通過德國萊茵認證的 iPad 保護貼！,Simmpo,1193970,1180,https://www.zeczec.com/projects/simmpoglass,"台灣唯一通過德國萊茵「眼部舒適認證」，最多眼科醫師推薦的 iPad 保護貼！獨創奈米光合吸收技術：阻絕有害藍光外螢幕還不偏黃！日本塗佈技術讓紙膜清透好寫，全球首創 100％ 無塵貼膜神器 ,zeczec",25 天,2022/07/12 12:00 – 2022/08/26 02:00,2022-07-12 12:00:00,2022-08-26 02:00:00
【 Arsenal愛森諾｜Torq Station 精密扭力扳手組 】不再鎖爆座管跟龍頭、螺絲永不滑牙 ！一手解鎖，超輕巧！,愛森諾工具 - Arsenal Tool Inc.,1073620,1690,https://www.zeczec.com/projects/arsenal-torq-station-9e91f486-10cd-4df3-9dab-532a329f75f6,"常常不小心鎖太緊，破壞物件？ 扳手太大不方便攜帶超麻煩?【 Torq Station精密扭力扳手組 】解決你的這些煩惱！輕巧掌心大、一手解鎖， 讓你告別這些擔憂，暢快無阻的到處鎖！,zeczec",17 天,2022/07/05 12:00 – 2022/08/18 02:00,2022-07-05 12:00:00,2022-08-18 02:00:00
 最速面紙盒 ▋TOS 紙巾供應系統 Tissue Offering System ▋ 提昇你內心的辛烷值。,HooBue,1013058,2250,https://www.zeczec.com/projects/tos-tissue-offering-system,"首創電子監測面紙殘量，全鋁合金打造，抽吧！提昇心靈馬力，一個動作讓生活細節充滿貼背感。,zeczec",46 天,2022/07/20 21:00 – 2022/09/15 23:59,2022-07-20 21:00:00,2022-09-15 23:59:00
獨家【備份豆腐】哆啦 A 夢設計款｜充電同時自動備份，手機容量救星！,Maktar Inc.,840626,1499,https://www.zeczec.com/projects/maktar,"睡前充電，睡醒已無痛備份完畢，外加輕巧好攜帶，旅行無感隨身帶著走〜這麼方便你／妳還等什麼,zeczec",18 天,2022/07/15 12:00 – 2022/08/18 23:59,2022-07-15 12:00:00,2022-08-18 23:59:00
MECOVER Pro 極限傘｜征服環境、地域、四季，針對台灣人設計，史上最強悍折傘,MECOVER,805062,1999,https://www.zeczec.com/projects/mecover-pro,"緩震耐候、無縫瞬乾、換色百搭、恆久續航 。跨級頂規材質、多國專利認證、超凡製造工藝，徹底解決「傘布破損」無法維修的痛楚，杜絕「傘骨斷裂」重複買傘的浪費。,zeczec",31 天,2022/07/05 21:00 – 2022/08/31 23:59,2022-07-05 21:00:00,2022-08-31 23:59:00
Niche 城市旅人後座包 🏍 出發吧！盡騎探索，最穩固、安全的機車後座包。,NICHE樂奇,752500,4150,https://www.zeczec.com/projects/nichenoblerider,"擺脫機車族麻煩的帽奴枷鎖，給你更大容量的後座包，安全防盜、疾速穩固、大容量堆疊，隨心奔馳濱海及山路，享受自由不羈的旅程,zeczec",16 天,2022/07/05 21:00 – 2022/08/17 02:00,2022-07-05 21:00:00,2022-08-17 02:00:00
【練愛士－人生自救戰鬥卡】你的戰力訓練師｜融合自律生活、挑戰盲盒與自我檢測的心靈牌卡,小瑜星座,729910,899,https://www.zeczec.com/projects/love-warrior,"透過設定目標、抽牌解憂、挑戰修煉、完成目標等步驟，讓練愛士找回自信與勇氣，拿回戰鬥本能，不需要額外解牌書，一秒上手即可解惑，50張金句卡+1張命定角色卡及1張修煉說明卡等著你來探索,zeczec",51 天,2022/07/20 12:00 – 2022/09/20 23:59,2022-07-20 12:00:00,2022-09-20 23:59:00
流浪狂想曲 OMVOS Nomad Cross﹝次世代電動二輪﹞帶你去探險 ! ,OMVOS,639500,55900,https://www.zeczec.com/projects/omvos-nomadcross,"科技復古風潮 ! 全球首發 ""StreetStyle"" 電輔自行車，獨特不羈風格車型，同級中最強動力與最高續航，休閒通勤騎行等於每天運動，專屬於你的健康零碳移動 !,zeczec",31 天,2022/07/18 21:00 – 2022/08/31 23:59,2022-07-18 21:00:00,2022-08-31 23:59:00
CubieLand 邊看邊說聽故事，親子共讀新體驗。孩子好眠、父母舒心的睡前繪本投影機！,柏展科技股份有限公司,586390,2880,https://www.zeczec.com/projects/cubieland,"睡前儀式都做了，孩子還是遲遲不睡？同樣的故事一再重複也不厭其煩？爸媽要你早點睡不是怕你累，而是爸媽媽自己累！CubieLand 兒童繪本投影機是您哄睡、陪伴和共讀的好幫手！,zeczec",26 天,2022/07/26 10:00 – 2022/08/27 02:00,2022-07-26 10:00:00,2022-08-27 02:00:00
【握筆寫字｜幼兒全方位發展課程】職能治療師為 3 - 8 歲孩子設計，建構一輩子的學習能力！,陪你長大有限公司,585540,1600,https://www.zeczec.com/projects/otlilly-writing-course,"從大腦認知，全身性肌肉協調，專注力，跟著專業治療師打造與孩子共學共玩的時光，奠基孩子一輩子受用的學習能力,zeczec",20 天,2022/07/06 12:00 – 2022/08/20 23:59,2022-07-06 12:00:00,2022-08-20 23:59:00
 Flōt 舒眠浮樂枕 ｜體驗可調式：物理牽引+漂浮舒壓，雙重舒眠享受的超級機能枕,Jolie有點酷,564700,2380,https://www.zeczec.com/projects/trippal-flot,"全面破解惡性循環的失眠魔咒！全球首款~可彈性調整～完美整合「物理微牽引」、「飄浮輕舒壓」、「革新專利材料」與 「全方位人體工學」的精品級舒壓機能枕！,zeczec",25 天,2022/07/12 21:00 – 2022/08/26 02:00,2022-07-12 21:00:00,2022-08-26 02:00:00
