集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,9458953.0,9490.0,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec",15 天,2022/09/07 11:00 – 2022/10/17 23:59,2022-09-07 11:00:00,2022-10-17 23:59:00
未來美✨逆時微電雙波機｜年輕緊緻 + 緊實淡紋，只要 10 分鐘 Hold 住緊緻好狀態！,未來美,7848651.0,8800.0,https://www.zeczec.com/projects/beauty-device,"居家頂級美容儀「雙波合一」！在家就可以擁有年輕緊緻護理，防止肌膚老化，鍛鍊臉部線條！,zeczec",23 天,2022/09/13 12:00 – 2022/10/26 02:00,2022-09-13 12:00:00,2022-10-26 02:00:00
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,4977220.0,2800.0,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",44 天,2022/09/21 12:00 – 2022/11/15 23:59,2022-09-21 12:00:00,2022-11-15 23:59:00
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,4751340.0,4150.0,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",25 天,2022/09/06 21:00 – 2022/10/27 23:59,2022-09-06 21:00:00,2022-10-27 23:59:00
Withering Calendar 2023 植物凋零曆 ｜凡事都會消逝，凡事也都會再來,yiyuflorist,3246344.0,980.0,https://www.zeczec.com/projects/withering-calendar-2023,"一本關於凋零的植物攝影日曆。,zeczec",29 天,2022/09/21 21:00 – 2022/10/31 23:59,2022-09-21 21:00:00,2022-10-31 23:59:00
馬曆2023／做一隻不會在龜兔賽跑中輸掉比賽的兔子,新加坡商艾雅思股份有限公司台灣分公司,1853106.0,920.0,https://www.zeczec.com/projects/MarknMary2023,"原子習慣說，只要每天進步1%，一年累積下來，你就會成長3700%！ 問題是，我們要從哪裡開始下手，要如何有意識地做出改變呢？ 就讓馬曆成為你每日的提醒吧！,zeczec",60 天,2022/10/01 10:01 – 2022/12/01 23:59,2022-10-01 10:01:00,2022-12-01 23:59:00
HoldU 懶人沙發椅｜是懶骨頭，更是床墊 ＆ 支撐沙發！一椅三用大革新，Hold Your Life！,WM台客嚴選,1490120.0,3490.0,https://www.zeczec.com/projects/holdu,"360 度沉浸包覆，享受懶骨頭帶來的放鬆，加上台灣製的支撐設計，包覆兼具支撐，怎麼坐都舒適，讓一椅適用多種生活情境，一張顛覆你想像的懶人沙發，不只是懶骨頭，也是支撐沙發，更是單人沙發床！,zeczec",34 天,2022/09/20 12:00 – 2022/11/06 02:00,2022-09-20 12:00:00,2022-11-06 02:00:00
O'miti 潔淨美膚儀 | 洗臉、卸妝、導入➰️多樣配件輕鬆替換，清潔保養簡單搞定！,lisscode,1106020.0,2180.0,https://www.zeczec.com/projects/o-miti-all-in-one,"台灣設計製造，滿足「全方位肌膚」需求，提供專業、日常、快速洗、卸、保養選擇，找回極淨透亮美肌！,zeczec",16 天,2022/09/06 12:00 – 2022/10/19 02:00,2022-09-06 12:00:00,2022-10-19 02:00:00
【木直牛勿】澐森之巔 再美一年 台灣山月曆,木直牛勿,955781.0,950.0,https://www.zeczec.com/projects/plantpractice2022,"我們是「木直牛勿」，喜歡山林，也喜歡畫畫。​ 希望透過畫筆，將台灣山林之美帶入各位的生活中：）,zeczec",25 天,2022/09/27 11:30 – 2022/10/28 02:00,2022-09-27 11:30:00,2022-10-28 02:00:00
《新蘇富比葡萄酒百科全書》｜葡萄酒界權威之作，發行 35 年首度推出中文版！,大石國際文化有限公司,872381.0,4380.0,https://www.zeczec.com/projects/The-New-Sothebys-Wine-Encyclopedia,"《蘇富比葡萄酒百科全書》是WSET世界品酒師證照和CMS侍酒師考試的指定讀物，1988年由DK發行首版（480頁），改版後更名為《新蘇富比葡萄酒百科全書》，現在這本是2020年第六版，內容增加到...,zeczec",29 天,2022/09/19 20:00 – 2022/10/31 23:59,2022-09-19 20:00:00,2022-10-31 23:59:00
你愛喝酒 那你懂酒嗎？｜《醉的有理》2023酒醉日曆,下班族,677259.0,799.0,https://www.zeczec.com/projects/jiuzuirili,"這是一本沒有要讓你2023清醒的日曆(*^_^*),zeczec",37 天,2022/09/20 21:00 – 2022/11/08 23:59,2022-09-20 21:00:00,2022-11-08 23:59:00
"《2022 都不落空：夢想起飛音樂會》原創華語 聖誕音樂劇 Chinese Christmas Musical ""Never Fails"" World Premiere Concert 2022",Melody Hwang X 財團法人卓越藝術傳播基金會,647928.0,500.0,https://www.zeczec.com/projects/never-fails-2022,"2022.12.10 首發音樂會/線上音樂會，邀您一起夢想起飛 Join us to make this musical concert a reality!,zeczec",8 天,2022/09/09 20:00 – 2022/10/10 23:59,2022-09-09 20:00:00,2022-10-10 23:59:00
飲酷杯 Inst. Cool ｜ 拿起就喝、自動關蓋，騎車、日常萬用飲料杯 ,飲酷杯 Inst. Cool,594578.0,839.0,https://www.zeczec.com/projects/incoolcup,"放下藏吸管，拿起一秒喝。成為馬路上最快喝到乾淨飲料的人。專利設計、全球唯一單手就能藏吸管的環保杯。,zeczec",59 天,2022/09/06 21:00 – 2022/11/30 23:59,2022-09-06 21:00:00,2022-11-30 23:59:00
2023 明想正念日曆 Bit By Bit Calendar｜用日復一日的美好・切換內心的開關,dxpresso,579400.0,820.0,https://www.zeczec.com/projects/dxpresso-bit-by-bit-calendar,"給初學者的正念日曆，透過365天明想每日提醒 + 每日療癒圖形，讓大腦進入短暫的正念狀態、消除眼睛疲勞，陪你一點一滴的累積，一天比一天進步！,zeczec",13 天,2022/09/16 12:00 – 2022/10/15 23:59,2022-09-16 12:00:00,2022-10-15 23:59:00
