集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,6543420.0,2800.0,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",36 天,2022/09/21 12:00 – 2022/11/15 23:59,2022-09-21 12:00:00,2022-11-15 23:59:00
【Apolnus｜Myth A1】無耗材空氣清淨機｜頂尖美學霸主 | 捕捉 0.01 細小顆粒 | 新冠病毒99.99%有效抑制 | UVC LED 紫外線淨化！,Apolnus 無耗材UVC空氣清淨機,4450781.0,9770.0,https://www.zeczec.com/projects/apolnus,"「將美賦予產品，成就每個人的生活美學。」相信美感能改變世界。Apolnus 擅用設計和工藝，讓產品承載美學，成為你生活中不可或缺的藝術品。讓產品和人的聯繫，可以更深，同樣可以更美。,zeczec",26 天,2022/10/05 11:00 – 2022/11/05 23:59,2022-10-05 11:00:00,2022-11-05 23:59:00
眠豆沙 | 今天開始搶著睡沙發的台灣製手工沙發,眠豆腐,4422870.0,39590.0,https://www.zeczec.com/projects/sleepytofu-sofa,"為了你寶貴的療癒時光，眠豆腐決定打造一款沙發，拿出所有獨家秘方，回歸沙發的核心機能：好坐又好躺。我們稱它——眠豆沙！,zeczec",21 天,2022/09/27 20:00 – 2022/10/31 23:59,2022-09-27 20:00:00,2022-10-31 23:59:00
Withering Calendar 2023 植物凋零曆 ｜凡事都會消逝，凡事也都會再來,yiyuflorist,3385345.0,980.0,https://www.zeczec.com/projects/withering-calendar-2023,"一本關於凋零的植物攝影日曆。,zeczec",21 天,2022/09/21 21:00 – 2022/10/31 23:59,2022-09-21 21:00:00,2022-10-31 23:59:00
HoldU 懶人沙發椅｜是懶骨頭，更是床墊 ＆ 支撐沙發！一椅三用大革新，Hold Your Life！,WM台客嚴選,2276210.0,3490.0,https://www.zeczec.com/projects/holdu,"360 度沉浸包覆，享受懶骨頭帶來的放鬆，加上台灣製的支撐設計，包覆兼具支撐，怎麼坐都舒適，讓一椅適用多種生活情境，一張顛覆你想像的懶人沙發，不只是懶骨頭，也是支撐沙發，更是單人沙發床！,zeczec",26 天,2022/09/20 12:00 – 2022/11/06 02:00,2022-09-20 12:00:00,2022-11-06 02:00:00
馬曆2023／做一隻不會在龜兔賽跑中輸掉比賽的兔子,新加坡商艾雅思股份有限公司台灣分公司,2138196.0,920.0,https://www.zeczec.com/projects/MarknMary2023,"原子習慣說，只要每天進步1%，一年累積下來，你就會成長3700%！ 問題是，我們要從哪裡開始下手，要如何有意識地做出改變呢？ 就讓馬曆成為你每日的提醒吧！,zeczec",52 天,2022/10/01 10:01 – 2022/12/01 23:59,2022-10-01 10:01:00,2022-12-01 23:59:00
桌遊 x 立體書 = 夢幻組合！《奇幻樹冒險物語》2022 最歡樂的一場冒險,迷走工作坊,1254441.0,2349.0,https://www.zeczec.com/projects/wonderbook,"《奇幻樹冒險物語》是一款原創的奇幻故事冒險遊戲。結合桌遊「豐富的遊戲機制」與立體書「創新的互動玩法」，易學好教十分鐘就能輕鬆上手，從 10 歲到 99 歲都能快速融入刺激的遊戲情境中！,zeczec",14 天,2022/09/20 12:00 – 2022/10/25 02:00,2022-09-20 12:00:00,2022-10-25 02:00:00
廚佛瑞德Fred｜三秒入魂川味麻辣燒醬｜就是我十年前，在四川一嚐入魂、難忘至今的頂級香氣和麻辣滋味！,廚佛瑞德 Fred,1143965.0,949.0,https://www.zeczec.com/projects/FredJam,"重現四川老師傅的手藝，把川菜經典的香、麻、辣徹底發揮。「三秒入魂川味麻辣燒醬」純手工熬煮、加入頂規食材，要把當年震撼我的味覺體驗分享給你。,zeczec",22 天,2022/09/22 20:00 – 2022/11/01 23:59,2022-09-22 20:00:00,2022-11-01 23:59:00
《新蘇富比葡萄酒百科全書》｜葡萄酒界權威之作，發行 35 年首度推出中文版！,大石國際文化有限公司,1076203.0,4380.0,https://www.zeczec.com/projects/The-New-Sothebys-Wine-Encyclopedia,"《蘇富比葡萄酒百科全書》是WSET世界品酒師證照和CMS侍酒師考試的指定讀物，1988年由DK發行首版（480頁），改版後更名為《新蘇富比葡萄酒百科全書》，現在這本是2020年第六版，內容增加到...,zeczec",21 天,2022/09/19 20:00 – 2022/10/31 23:59,2022-09-19 20:00:00,2022-10-31 23:59:00
2023 真屌曆｜日日有屌，日日都屌！,Lanpar,625251.0,888.0,https://www.zeczec.com/projects/good-chicken-calendar-2023,"療癒系插畫家 Lanpar 重磅出擊，為大家帶來充滿ㄐㄐ的 2023,zeczec",21 天,2022/09/12 20:00 – 2022/10/31 23:59,2022-09-12 20:00:00,2022-10-31 23:59:00
KAVi 翻轉咖啡杯｜一杯搞定所有器具，跳脫日常框架、翻轉無限”饗嚮”,錦明實業股份有限公司,586697.0,1410.0,https://www.zeczec.com/projects/viida-kavi,"小孩才作選擇，今天喝什麼我說了算！隱身於隨行杯裡的飲品特調 Bar，讓你再忙都能輕鬆享有手作飲品的好滋味及樂趣味！,zeczec",34 天,2022/09/13 10:30 – 2022/11/13 23:59,2022-09-13 10:30:00,2022-11-13 23:59:00
【全力揮擊】原創沉浸式棒球主題桌遊｜朋友聚會、親子時光、球迷競技都適合的經典收藏桌遊,【全力揮擊 ShowTime】,553441.0,1680.0,https://www.zeczec.com/projects/showtime,"馬上來場緊張刺激的棒球比賽！在冷氣房中享受在球場上揮汗的樂趣，體驗揮棒打擊的快感。變化多端的攻防事件與靈活的防守布陣，九局下半，等你來一棒炸裂，獲得最終的勝利。,zeczec",30 天,2022/09/29 20:00 – 2022/11/09 23:59,2022-09-29 20:00:00,2022-11-09 23:59:00
職游 x 牌卡 = 運用內在三角形▲ 成為自己的職涯設計師！,職游,530757.0,4680.0,https://www.zeczec.com/projects/careercreator,"我們是「職游」，由職涯諮詢師組成的專業團隊，這次推出 3 套職涯探索牌卡與可無限回看的線上課程，希望大家能透過趣味的職涯探索牌卡，在多變的職場環境中，從探索認識自己的「內在 3 角形」開啟職涯規...,zeczec",22 天,2022/09/26 20:00 – 2022/11/01 23:59,2022-09-26 20:00:00,2022-11-01 23:59:00
