鈦灣杯｜GR1 純鈦打造，承載所有飲品的港灣！,https://www.zeczec.com/projects/tai-wan-bei,鈦萬德 TIWONDER,https://www.zeczec.com/users/tiwonder,"1,409%","NT$7,046,131","目標 NT$500,000",2116,11 天,2021/12/28 12:30 – 2022/04/08 15:00
Petite 波提指甲剪 | 日本職人百年工藝純手工鍛造，讓剪指甲變成日常感動 | SUWADA 諏訪田製作所,https://www.zeczec.com/projects/suwada-petite,Single Step,https://www.zeczec.com/users/single-step,"6,208%","NT$6,208,033","目標 NT$100,000",2989,22 天,2022/02/16 12:00 – 2022/04/18 23:59
Smio.V 美妍小 V ✦ 4 in 1 溫冷緊緻按摩儀，在家就能享受的頂級 SPA 舒壓保養！,https://www.zeczec.com/projects/lisscode-smio-v,lisscode,https://www.zeczec.com/users/lisscode1,"4,874%","NT$4,874,601","目標 NT$100,000",2077,15 天,2022/03/08 12:00 – 2022/04/11 23:59
LINE FRIENDS YODA 寶貝好食兜 ｜3D設計食物不漏接，收納迅速，MIT好安心,https://www.zeczec.com/projects/yoda-linefriends,閱德科技有限公司,https://www.zeczec.com/users/yue-de-ke-ji-you-xian-gong-si,281%,"NT$281,661","目標 NT$100,000",199,47 天,2022/03/23 20:00 – 2022/05/13 23:59
印花樂Ｘ周慕姿心理師《口袋裡的心理師》自我對話牌卡組,https://www.zeczec.com/projects/inblooom_therapycards,inBlooom印花樂,https://www.zeczec.com/users/inblooom,"3,417%","NT$3,417,897","目標 NT$100,000",2345,19 天,2022/03/02 20:00 – 2022/04/15 23:59
【 Revopoint POP 2｜攜帶式 3D 全彩高精度掃描儀 】0.05mm 高精度升級，個人化逆向掃描建模王者再革新！,https://www.zeczec.com/projects/revopoint-pop-2,Revopoint 3D Taiwan,https://www.zeczec.com/users/revopoint-3d-taiwan,"6,258%","NT$6,258,845","目標 NT$100,000",553,30 天,2022/03/16 12:00 – 2022/04/27 02:00
▍bookNOTA 速咔筆記 WORK ▍全能型磁吸筆記本 ❙ 解放靈感、條理記事 ❙ 感受前所未有的筆記自由！,https://www.zeczec.com/projects/bookNOTA-WORK,ANTOU,https://www.zeczec.com/users/zhang-yan-cheng4,"2,024%","NT$2,024,090","目標 NT$100,000",610,5 天,2022/02/15 12:00 – 2022/04/01 23:59
【Arpha 3D 人臉辨識智慧電子鎖🔓】🔥優惠即將結束🔥8in1開鎖，大螢幕貓眼抓拍、台灣伺服器，時尚科技生活，就從家門開始！,https://www.zeczec.com/projects/arpha-3d,arpha x 有設計,https://www.zeczec.com/users/arphatw,"6,036%","NT$6,036,098","目標 NT$100,000",408,26 天,2022/03/08 10:00 – 2022/04/22 23:59
《極M!鏟屎車》組合式盒玩｜身為合格的鏟屎官，必須要擁有的『酷東西』,https://www.zeczec.com/projects/ultra-tiger-toys,Ultra-Tiger Toys,https://www.zeczec.com/users/Ultra_Tiger_Toys,237%,"NT$118,695","目標 NT$50,000",36,39 天,2022/03/24 20:00 – 2022/05/06 02:00
夢多 大谷主水 2022夢想盃｜健身健美夢想殿堂，打造完美健康生活！,https://www.zeczec.com/projects/mondo-dreamcup-2022,夢想盃執行委員會,https://www.zeczec.com/users/feng-xi-chuan,28%,"NT$169,166","目標 NT$600,000",31,34 天,2022/03/23 22:00 – 2022/04/30 23:59
