【欣芝樟靈】樟芝+靈芝 雙效膠囊 │ 用吃的健康「芝」己 隨身帶生活需「芝」 ,https://www.zeczec.com/projects/Ime-healthday-life,長青寶,https://www.zeczec.com/users/healthday,3%,"NT$3,050","目標 NT$100,000",1,45 天,2022/03/08 12:00 – 2022/05/01 02:00,2022/03/08 12:00:00,2022/05/01 02:00:00
Arpha 3D 人臉辨識智慧電子鎖🔓 | 限時送智慧手環🔥8in1開鎖，大螢幕貓眼抓拍、台灣伺服器，時尚科技生活，就從家門開始！,https://www.zeczec.com/projects/arpha-3d,arpha x 有設計,https://www.zeczec.com/users/arphatw,"4,253%","NT$4,253,300","目標 NT$100,000",276,37 天,2022/03/08 10:00 – 2022/04/22 23:59,2022/03/08 10:00:00,2022/04/22 23:59:00
"UW Watches：AEQUOREA,與您一同潛入深海的手錶",https://www.zeczec.com/projects/uw-watches-aequorea-the-diving-watch-to-go,菱創公社有限公司,https://www.zeczec.com/users/uwwatches-aequorea,68%,"NT$20,400","目標 NT$30,000",2,13 天,2022/03/07 12:00 – 2022/03/30 11:00,2022/03/07 12:00:00,2022/03/30 11:00:00
【女神菌】VGBIO超能水感益生菌｜裡外兼顧、由內美到外，散發女神光彩,https://www.zeczec.com/projects/vgbio,美立固生技,https://www.zeczec.com/users/VGBIO,136%,"NT$40,804","目標 NT$30,000",7,45 天,2022/03/07 12:00 – 2022/04/30 23:59,2022/03/07 12:00:00,2022/04/30 23:59:00
【朵食餐盒 】｜主食配菜分好好、輕鬆享受美佳餚,https://www.zeczec.com/projects/tastelivingduoshicanhe,盛食良品,https://www.zeczec.com/users/sheng-shi-liang-pin,0%,NT$0,"目標 NT$1,500,000",0,35 天,2022/03/04 17:00 – 2022/04/20 23:59,2022/03/04 17:00:00,2022/04/20 23:59:00
▋前世記憶雷諾曼 YG.S｜全台第一副台灣人自己繪製的雷諾曼牌卡 ▋讀取前世記憶劇情推演雷諾曼,https://www.zeczec.com/projects/memory-renoman,恩威顧問管理股份有限公司,https://www.zeczec.com/users/crimsonhsu,484%,"NT$484,532","目標 NT$100,000",299,21 天,2022/03/04 12:00 – 2022/04/07 02:00,2022/03/04 12:00:00,2022/04/07 02:00:00
100%無添加、無調味的寵物鮮食！｜【Hi-Q pets】究健康鮮食餐 講究健康不簡單,https://www.zeczec.com/projects/hiqpets-freshmeal,Hi-Q pets ,https://www.zeczec.com/users/hiqpets,117%,"NT$23,474","目標 NT$20,000",36,23 天,2022/03/04 12:00 – 2022/04/09 02:00,2022/03/04 12:00:00,2022/04/09 02:00:00
minibig - 手指一滑，一秒躍升智慧居家，各種開關躺著一手控制！ 懶惰有理，智慧升級。,https://www.zeczec.com/projects/minibig,minibig,https://www.zeczec.com/users/minibig,"1,608%","NT$1,608,558","目標 NT$100,000",848,28 天,2022/03/03 20:00 – 2022/04/14 02:00,2022/03/03 20:00:00,2022/04/14 02:00:00
【限量】苗栗卓蘭『台灣白草莓』培育計畫，卓蘭在地20年經驗專業草莓園【尋農高手】,https://www.zeczec.com/projects/SBF-WhiteStrawberry,尋農高手,https://www.zeczec.com/users/zhang-ri-rong,"2,595%","NT$51,900","目標 NT$2,000",31,4 天,2022/03/02 12:00 – 2022/03/20 23:59,2022/03/02 12:00:00,2022/03/20 23:59:00
KiTiDOT毛孩互動項圈，7天試玩，放心下單，主子說了算！,https://www.zeczec.com/projects/kitidot,Wicked Lab TW,https://www.zeczec.com/users/WickedLabTW,572%,"NT$57,275","目標 NT$10,000",92,46 天,2022/03/02 11:00 – 2022/05/02 02:00,2022/03/02 11:00:00,2022/05/02 02:00:00
