projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
三年煉一傘！台灣研發挑戰世界最細的晴雨傘！一把摺疊傘最理想的樣子就是【極工傘】,米塔培拉精品傘業有限公司,4752.0,938.0,https://www.zeczec.com/projects/metabrella,"關於「一把摺疊傘最理想的樣子」。透過骨架機構的迴避設計，達到收折後是世界第一細的特徵，同時保有晴雨傘最易被犧牲掉的傘面尺寸，並維持了雨傘應有的強韌程度。預期將可賦予我們的產品-極工傘真正的輕巧易...,zeczec",57 天,2022/11/01 07:00 – 2022/12/27 23:59,2022/11/01 07:00:00,2022/12/27 23:59:00
《藝客崛起》國立臺灣戲曲學院客家戲學系第十三屆年度製作,國立臺灣戲曲學院 客家戲學系年度公演《藝客崛起》,0.0,200.0,https://www.zeczec.com/projects/Hakka-opera-13th,"大(tai)家(gaˊ)好(hoˋ)～ 我們是一群因熱愛表演而聚在一起的學生，也是全臺灣唯一培育「客家戲曲」表演人才的學校，希望藉由本次製作推廣客家戲曲，讓這珍貴的在地文化能被完整的保存，並被大...,zeczec",31 天,2022/10/31 22:00 – 2022/12/01 23:59,2022/10/31 22:00:00,2022/12/01 23:59:00
XpreSole® Blocks 全防水積木咖啡靴｜踏出童心，擺脫潮濕！無論晴雨，每一步都輕盈乾爽,Lab22 Taiwan,602080.0,2880.0,https://www.zeczec.com/projects/xpresole-blocks,"Blocks 積木咖啡靴｜由咖啡渣製成、防水、透氣、舒適、超輕、乾爽等 12 項超強機能，加上獨家積木鞋底，帶你找回童心，穿出風格！,zeczec",67 天,2022/10/31 12:00 – 2023/01/06 23:59,2022/10/31 12:00:00,2023/01/06 23:59:00
人權辦桌 • 做伙來食飯,人權辦桌,23650.0,100.0,https://www.zeczec.com/projects/jin-kuan-pan-toh,"用一頓飯的時間，搭起「無家者」、「政治受難者」及「社會大眾」對話的平台，讓每個人都有權利訴說與被傾聽，也讓「人生而自由且平等」能夠獲得推廣。吃飽飯後才能繼續踏上漫漫人權路。,zeczec",45 天,2022/10/27 20:00 – 2022/12/16 02:00,2022/10/27 20:00:00,2022/12/16 02:00:00
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,國家地理,298190.0,1180.0,https://www.zeczec.com/projects/ngo-2023-calendar,"國家地理團隊首度推出攝影日曆《歲月靈光》，由創刊至今一百多年的照片中，精選 365 張大師經典，搭配豐富的影音知識內容，在新的一年中，每天與您分享一個精彩故事。,zeczec",30 天,2022/10/26 12:30 – 2022/11/30 23:59,2022/10/26 12:30:00,2022/11/30 23:59:00
2023 【 柔らかな日々 】手繪花月曆｜櫥底 cookies &. ,櫥 底 cookies &.,19140.0,720.0,https://www.zeczec.com/projects/flowerday,"2023 手繪花曆，伴你度過柔和的日常。,zeczec",76 天,2022/10/26 12:00 – 2023/01/16 02:00,2022/10/26 12:00:00,2023/01/16 02:00:00
MUFU V20S ｜雙鏡頭機車行車記錄器｜超大電量連續錄影長達7.5小時｜即扣即錄免按鍵使用很簡單,MUFU,1266001.0,2890.0,https://www.zeczec.com/projects/mufu-v20s,"機車行車記錄器使用可以很簡單，MUFU推出一款男女老少都能使用的機車行車紀錄器，行車記錄簡單搞定！,zeczec",30 天,2022/10/26 11:00 – 2022/12/01 02:00,2022/10/26 11:00:00,2022/12/01 02:00:00
CHIMEI奇美 瞬熱智慧溫控飲水機｜制霸市面瞬熱飲水機，容量、面板、規格、品質全面大升級，高貴不貴，一鍵瞬熱,CHIMEI 奇美家電,4288349.0,3680.0,https://www.zeczec.com/projects/chimei,"304不鏽鋼導熱出水管專利技術，完美克服瞬熱出水難題，SGS認證不含雙酚A安全大容量水箱，5層淨化TÜV認證專業濾心，6大安全保護，免擔心乾燒、跳電、過熱等問題，讓你一鍵瞬熱，安心飲水。,zeczec",39 天,2022/10/26 10:30 – 2022/12/09 23:59,2022/10/26 10:30:00,2022/12/09 23:59:00
史上最輕 強度最大【Fabriceasy】X【原物三生】 打造【Dyneema®】〈不動2.0〉包款：穿梭都會 原野探險 後背包與郵差包 可拆式 可組合 兩用款,Fabriceasy,16520.0,8260.0,https://www.zeczec.com/projects/Fabriceasy,"Dyneema® 複合布料具有高強度、高耐用卻輕量化的特性。Fabriceasy與品牌-原物三生聯手推出〈不動2.0〉背包，採用Dyneema® 複合布料製造,希望提供消費者先行體驗產品的特殊感受！,zeczec",25 天,2022/10/26 10:10 – 2022/11/26 14:00,2022/10/26 10:10:00,2022/11/26 14:00:00
【 that 想想鍋｜IH 水蒸・舒肥】專為台灣人設計的第一台智能電鍋，將想念的滋味端上桌！,that,1406460.0,10900.0,https://www.zeczec.com/projects/that-ih-pressure-ricepot,"\\ 超早鳥最優惠，倒數計時中 // that 想想鍋具備 #IH環繞加熱 #類真空鑄鐵鍋蓋 #無油舒肥料理 等黑科技，兼具效率、節能、美學，讓您優雅享用健康美食，為生活增添美好！,zeczec",38 天,2022/10/25 20:30 – 2022/12/09 02:00,2022/10/25 20:30:00,2022/12/09 02:00:00
【精裝典藏】2022大勢韓劇｜人生劇創造者 ‧ 盧熙京《我們的藍調時光》劇本雙書,新經典文化,198669.0,999.0,https://www.zeczec.com/projects/OurBlues,"「這是一部為站在生命的盡頭、頂峰或是起跑點的所有人所寫的應援故事。」──盧熙京,zeczec",27 天,2022/10/25 12:00 – 2022/11/28 02:00,2022/10/25 12:00:00,2022/11/28 02:00:00
【WondaMop｜免換水淨水拖把組】污水淨化 × 淨水循環 × 細菌濾淨 × 免倒換水 × 極致乾淨 ＠限時加贈，倒數24小時，最後搶購！,富商國際股份有限公司,2930116.0,1380.0,https://www.zeczec.com/projects/wondamop,"2000年來拖把的全新革命：讓人""嘖嘖稱奇""的拖把! 拖地居然可以不用換水，2.5公升拖地水...居然可以重覆使用如此清澈！ 『從此拖地免換水』＃超濾淨＃真乾淨,zeczec",42 天,2022/10/25 12:00 – 2022/12/13 02:00,2022/10/25 12:00:00,2022/12/13 02:00:00
Allite CF1 多功能車用手機架｜首創 3-in-1 無線充電・磁吸支架・舒心擴香一次到位！ ,Allite ,966912.0,1490.0,https://www.zeczec.com/projects/allite-cf1,"告別傳統手機架！創新結合 MagSafe 技術與擴香功能，打造一次到位的車用配備。CF1 全方位手機架，完美提升駕車體驗！ ,zeczec",36 天,2022/10/25 12:00 – 2022/12/07 12:00,2022/10/25 12:00:00,2022/12/07 12:00:00
藝情二三｜藝術喚起生活，藝術塑造社會 ― 讓藝術週曆渲染你的2023,藝情指揮中心,91420.0,650.0,https://www.zeczec.com/projects/accweeklycalendar,"26件精選藝術回顧與 26位國際藝術工作者問答，啟發一整年的生活靈感。,zeczec",8 天,2022/10/25 12:00 – 2022/11/08 23:59,2022/10/25 12:00:00,2022/11/08 23:59:00
金門牛肉乾沒有金門牛？追金門牛肉乾源頭，助環境也助牛農！,圓頭農牧食品有限公司,1449.0,1099.0,https://www.zeczec.com/projects/yuantoufood,"金門真的有這麼多酒糟牛可以做牛肉乾？30年前圓頭為了協助金門緩解酒糟問題開始養牛，現在為了解決酒糟牛滯銷問題推動肉品自主追溯系統，要讓牛農安心養牛、讓消費者買到用真的金門牛做的金門牛肉乾！,zeczec",30 天,2022/10/25 12:00 – 2022/12/01 02:00,2022/10/25 12:00:00,2022/12/01 02:00:00
咱逗陣來社頭『鬆勢三日節』,鬆勢三日節,78179.0,511.0,https://www.zeczec.com/projects/sunsetfestival2022,"2020年一群在地青年「希望居住的地方變得更好」，以彰化縣社頭鄉的傳統產業出發，編織了一場來自地方的土直派對：鬆勢三日節。,zeczec",30 天,2022/10/25 11:00 – 2022/12/01 02:00,2022/10/25 11:00:00,2022/12/01 02:00:00
