集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
CHIMEI奇美 瞬熱智慧溫控飲水機｜制霸市面瞬熱飲水機，容量、面板、規格、品質全面大升級，高貴不貴，一鍵瞬熱,CHIMEI 奇美家電,4519877.0,3680.0,https://www.zeczec.com/projects/chimei,"304不鏽鋼導熱出水管專利技術，完美克服瞬熱出水難題，SGS認證不含雙酚A安全大容量水箱，5層淨化TÜV認證專業濾心，6大安全保護，免擔心乾燒、跳電、過熱等問題，讓你一鍵瞬熱，安心飲水。,zeczec",33 天,2022/10/26 10:30 – 2022/12/09 23:59,2022-10-26 10:30:00,2022-12-09 23:59:00
【WondaMop｜免換水淨水拖把組】污水淨化 × 淨水循環 × 細菌濾淨 × 免倒換水 × 極致乾淨 ✨超超早鳥優惠✨限時好評加開，錯過不再！,富商國際股份有限公司,3542420.0,1380.0,https://www.zeczec.com/projects/wondamop,"2000年來拖把的全新革命：讓人""嘖嘖稱奇""的拖把! 拖地居然可以不用換水，2.5公升拖地水...居然可以重覆使用如此清澈！ 『從此拖地免換水』＃超濾淨＃真乾淨,zeczec",36 天,2022/10/25 12:00 – 2022/12/13 02:00,2022-10-25 12:00:00,2022-12-13 02:00:00
【 xTool D1 Pro 20W 雷雕機 】王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,3174510.0,43980.0,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",31 天,2022/11/03 12:00 – 2022/12/08 02:00,2022-11-03 12:00:00,2022-12-08 02:00:00
Logitech【ZONE VIBE 100 無線藍牙耳機麥克風 & Brio 500 網路攝影機】輕奢玩美．質感辦公．,Logitech Taiwan,3132081.0,2590.0,https://www.zeczec.com/projects/logitech-PC,"品味拉滿！質感協作首選｜無論辦公或娛樂，都要你亮眼✨,zeczec",9 天,2022/10/12 12:00 – 2022/11/16 02:00,2022-10-12 12:00:00,2022-11-16 02:00:00
【無限筆芯｜TIJ™鈦極鋼珠筆 Extreme】長短可調整、筆芯零微動、換芯免工具、能裝就能用,TIJ鈦極筆,2955188.0,2880.0,https://www.zeczec.com/projects/tijrpen,"鈦極系列集大成之作，筆芯和筆尖以獨創技術緊密接觸，達到了最高水準的不抖動書寫感、近乎無限多種筆芯支援，免工具30秒換好各種尺寸筆芯。,zeczec",31 天,2022/10/27 21:00 – 2022/12/08 02:00,2022-10-27 21:00:00,2022-12-08 02:00:00
MUFU V20S ｜雙鏡頭機車行車記錄器｜超大電量連續錄影長達7.5小時｜即扣即錄免按鍵使用很簡單,MUFU,2016141.0,2890.0,https://www.zeczec.com/projects/mufu-v20s,"機車行車記錄器使用可以很簡單，MUFU推出一款男女老少都能使用的機車行車紀錄器，行車記錄簡單搞定！,zeczec",24 天,2022/10/26 11:00 – 2022/12/01 02:00,2022-10-26 11:00:00,2022-12-01 02:00:00
【 that 想想鍋｜IH 水蒸・舒肥】專為台灣人設計的第一台智能電鍋，將想念的滋味端上桌！,that,1866650.0,19800.0,https://www.zeczec.com/projects/that-ih-pressure-ricepot,"\\ 超早鳥最優惠，倒數計時中 // that 想想鍋具備 #IH環繞加熱 #類真空鑄鐵鍋蓋 #無油舒肥料理 等黑科技，兼具效率、節能、美學，讓您優雅享用健康美食，為生活增添美好！,zeczec",32 天,2022/10/25 20:30 – 2022/12/09 02:00,2022-10-25 20:30:00,2022-12-09 02:00:00
『SATTO～日本魔法設計皮夾』實現終極收納工藝， 全新定義 #極簡皮夾，招財又吸金 ✨,Neo Choice ,1590002.0,2100.0,https://www.zeczec.com/projects/satto,"採用日本栃木皮革，以最小尺寸為目標的迷你短夾，無需折疊即可放入和取出鈔票。,zeczec",34 天,2022/10/12 20:30 – 2022/12/10 23:59,2022-10-12 20:30:00,2022-12-10 23:59:00
【海樂緹 睡眠元年毯被】擁有次世代規格的冬被/四季毯，一次解決被子所有問題,海樂緹 石墨烯,1239657.0,6080.0,https://www.zeczec.com/projects/hlt-quilt,"助眠纖維，保健效果，極速調溫，持久涼感，超強保暖，石墨烯嫘縈專利製程，一體成形新技術，無助劑後加工，真正一件抵N件,zeczec",24 天,2022/10/20 20:00 – 2022/11/30 23:59,2022-10-20 20:00:00,2022-11-30 23:59:00
〖 蠟筆小新熱壓吐司機 〗零失敗! 三分鐘療癒上桌♡ 高顏值小新×小白雙烤紋★陪你吃可愛長大,Norns,1078340.0,1490.0,https://www.zeczec.com/projects/norns,"日本官方授權 ‧ 全台首發 ♡《蠟筆小新：風起雲湧 光榮烤吐司之路》登場◆預購就送日式兩用收納袋◆省時省力一鍋到底★ 咖啡廳等級的吐司／鬆餅在家輕鬆做。一機在手，療癒無限、美味無窮,zeczec",44 天,2022/11/01 11:00 – 2022/12/20 23:59,2022-11-01 11:00:00,2022-12-20 23:59:00
