集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
xTool M1 三合ㄧ雷雕機 | 雷雕、雷切 & 刀割的夢幻聯手,Makeblock,30809696,32980,https://www.zeczec.com//projects/xtool-m1,"動手玩創作，但雷雕機要1台、切割機又要買1台… 當個 Maker，難道只能【抱歉了錢錢】嗎 TAT？小朋友才選擇，試試全都要的 xTool M1 吧！,zeczec", 41 小時,2022/05/10 20:00 – 2022/06/08 02:00,2022-05-10 20:00:00,2022-06-08 02:00:00
0.5 Wallet 雙面感應 零錢短夾｜極薄、極輕、極速感應,HANK MAX STUDIO,15445253,2480,https://www.zeczec.com//projects/wallet05,"雙面感應 × 極限輕薄 × 快收快取－日常使用最暢快的零錢短夾！,zeczec",16 天,2022/05/11 11:55 – 2022/06/21 23:59,2022-05-11 11:55:00,2022-06-21 23:59:00
【 Haxson AirFan｜智慧風扇清淨機 】集結 20 項重點功能設計，只為一次性解決您所有的床上生活需求！,Haxson TW,5411501,7980,https://www.zeczec.com//projects/haxson-airfan,"10 段可調式風扇與暖風機設計，降溫消暑、居家保暖皆宜。獨立睡眠區空氣清淨機，UV-C、碳濾網與負離子淨化三合一。 多功能床頭燈與藍牙音響功能，智慧時鐘設計與多種鬧鐘模式選擇。AirFan 品質...,zeczec",17 天,2022/05/17 12:00 – 2022/06/23 02:00,2022-05-17 12:00:00,2022-06-23 02:00:00
【 mokibo fusion｜無線鍵盤 】鍵盤就是觸控板！極輕極薄好攜帶，韓國研發製造，行動辦公無極限！,mokibo,2760162,2890,https://www.zeczec.com//projects/mokibo,"鍵盤本身就是觸控板！相容 98% 的平板電腦、手機，多個裝置切換，辦公生活不受限！,zeczec",11 天,2022/05/19 12:00 – 2022/06/17 02:00,2022-05-19 12:00:00,2022-06-17 02:00:00
全面掌握行車安全，首創可提醒前方測速照相！CROXERA® M 智慧後照鏡,CROXERA,2531275,4280,https://www.zeczec.com//projects/croxera-m,"結合分離式運算技術與全新開發智慧聯網裝置，打造跨品牌、不分油電車款可使用的智慧後照鏡－跨世代機車安全服務,zeczec",16 天,2022/05/10 12:00 – 2022/06/21 23:59,2022-05-10 12:00:00,2022-06-21 23:59:00
【 HOMI｜地表最強全情境短袖 & EAM 登山防曬衣 】featuring CORDURA fabric / MIT 設計製造！,HOMI CREATIONS 合覓創造,2508880,3899,https://www.zeczec.com//projects/t-featuring-cordura-fabric,"擺脫棉 T 流汗後的黏著悶濕，機能服飾塗層的異味，真正的涼感透氣，翻轉夏天短T的穿著體驗！EAM 登山探險的最佳上衣，強韌防曬乾爽缺一不可！比防曬外套更好的選擇！,zeczec",18 天,2022/05/24 20:00 – 2022/06/23 23:59,2022-05-24 20:00:00,2022-06-23 23:59:00
Yeelight 智慧螢幕掛燈 Pro ｜最高護眼規格設計，RGB 電競氛圍燈搭載，護眼和娛樂雙重兼顧,Yeelight易來科技｜暢享智慧好光,2145117,2980,https://www.zeczec.com//projects/yeelightpro,"Yeelight 2022 全新螢幕掛燈，採用最高規格光照 LED，以及非對稱的光學設計，提供柔和舒適的光線，滿足長時間使用電腦的護眼需求，減少疲勞對眼睛造成的傷害。,zeczec",15 天,2022/05/18 21:00 – 2022/06/20 23:59,2022-05-18 21:00:00,2022-06-20 23:59:00
TIDY 2.0 小長夾🌈｜全新升級改版，RFID防盜，同時擁有長夾的大容量、短夾的便攜性！「小 、輕 、薄」,TIDY,2132327,2780,https://www.zeczec.com//projects/tidy-20,"經過三年構思TIDY長夾全面改版再升級！增加RFID防盜功能，並把長夾變得更小、更薄、更輕了！,zeczec",33 天,2022/05/25 10:30 – 2022/07/08 23:59,2022-05-25 10:30:00,2022-07-08 23:59:00
【 Phigolf 2｜高爾夫訓練器 】全新設計登場，手感再升級！一次入園價，給你無限制的高爾夫體驗！隨時隨地，即刻揮桿！,Phigolf 高爾夫訓練器,2098797,5099,https://www.zeczec.com//projects/phigolf-2,"透過 9G 超輕量感測器，精準分析您的 6 大指標；支援 3 大超夯高爾夫 APP、親臨世界各大知名球場。讓你不再擔心球場預約問題，也不用看天氣臉色，疫情期間也可以在家與球友組隊線上揮桿！,zeczec",8 天,2022/05/18 20:00 – 2022/06/13 23:59,2022-05-18 20:00:00,2022-06-13 23:59:00
SANSUI極勁正負離子高速吹風機｜日本最美．極輕設計，速乾與柔順最強結合！挑戰市面最好吹的全方位吹風機,Jyiteh,1955101,3980,https://www.zeczec.com//projects/sansuidryer,"【極勁正負離子高速吹風機】旗艦吹速6大提升，台灣全新登場！「航空級 DC 無刷馬達動力 + 2000萬正負離子除靜電降噪」 第一款以虎口量身設計最佳握感，只要 3 分鐘，輕盈吹出最集中的柔順風感。,zeczec",12 天,2022/05/16 20:00 – 2022/06/17 23:59,2022-05-16 20:00:00,2022-06-17 23:59:00
LUV朵朵雲遊戲池｜放心玩，輕巧收，超萬用放電神器,LUV,1526914,2440,https://www.zeczec.com//projects/luv-play-mat,"一路陪伴寶貝成長的超萬用摺疊遊戲池，收納後B4尺寸不佔空間，秒開搖身一變成圍欄、球池、泳池、角落學習區。便攜摺疊外出好用，戶外野餐露營最神夥伴! ,zeczec",25 天,2022/05/25 20:00 – 2022/06/30 23:59,2022-05-25 20:00:00,2022-06-30 23:59:00
地表最強！PHILIPS行動KTV｜你與歌神的距離，就在這支麥克風！,DoubleLife,1426690,3590,https://www.zeczec.com//projects/PHILIPS_KTV,"地表最強行動KTV，顛覆你的想像！海量歌單、演唱會Hi-Fi等級晶片、一鍵消音、快充歡唱...現在就丟掉你家塵封已久的K歌神器吧！,zeczec",9 天,2022/05/09 12:00 – 2022/06/14 23:59,2022-05-09 12:00:00,2022-06-14 23:59:00
Pottle 口袋水壺－輕鬆帶出門，享受好日子！,好日子 agooday,919202,590,https://www.zeczec.com//projects/pottle,"史上最輕大容量環保水壺，極輕40g＋收納9cm，攜帶無負擔，無痕生活再升級！,zeczec",49 天,2022/05/24 12:00 – 2022/07/24 23:59,2022-05-24 12:00:00,2022-07-24 23:59:00
GOTRAL木顆粒野營爐 | 露營輕鬆又環保，給您戶外廚房全新體驗！,GOTRAL,909714,3430,https://www.zeczec.com//projects/GOTRAL,"顛覆野炊標準的新型態，戶外料理裝備不是只有瓦斯爐！GOTRAL 木顆粒野營爐來了！生火方便，快速駕馭，100%天然再生燃料，輕鬆搭配各種鍋具，煎煮燉烤樣樣搞定！讓您開心又安心！,zeczec",15 天,2022/05/10 11:00 – 2022/06/20 23:59,2022-05-10 11:00:00,2022-06-20 23:59:00
潔癖刷 ｜畚箕式抗菌馬桶刷，一次解決清潔馬桶的所有困擾，開啟你的潔癖人生,Mieloo.co,719130,1350,https://www.zeczec.com//projects/tidybrush,"超疏水抗菌刷頭，好刷不卡垢，畚箕式防漏刷座，好清不髒手。 讓髒水不亂滴、刷座不發臭，打造浴廁清潔的全新體驗。,zeczec",40 天,2022/05/30 20:00 – 2022/07/15 23:59,2022-05-30 20:00:00,2022-07-15 23:59:00
MagFlött 磁吸立架 | 一秒讓你的 iPad 「飄」起來，你的 iPad 就是 iMac！,Magflott Taiwan,673965,2890,https://www.zeczec.com//projects/magflott,"專為 iPad Pro & iPad Air 而生的簡約支架，全金屬切割、360° 旋轉與 180° 翻轉，讓手中的 iPad 更能成為全方位生產工具，與肩頸痠痛說 bye bye！,zeczec",20 天,2022/05/12 11:15 – 2022/06/25 23:59,2022-05-12 11:15:00,2022-06-25 23:59:00
【 OIVIO FIT｜都市防水鞋 】簡約百搭新姿態，梅雨季救星 🌟 給你真防水！,Oivio Fit,556640,2480,https://www.zeczec.com//projects/oivio-fit,"集 時尚、防滑、防水、透氣、環保 於一身，以簡約的概念設計靈活百搭的款式，什麼樣的場合和活動都合適！OIVIO FIT 為您提供最適合台灣梅雨氣候、行走時最舒適自在的感受。,zeczec",18 天,2022/05/17 12:00 – 2022/06/24 02:00,2022-05-17 12:00:00,2022-06-24 02:00:00
【CyberPower 4 in 1 多功能無線充電座】減法生活，一機搞定！,CyberPower,555220,1155,https://www.zeczec.com//projects/cyberpower-4-in-1-desk-top-charger,"專為台灣用戶打造的 4 in 1 多功能充電座，整合無線快充板 x AC插孔 x USB-C x USB-A， 多裝置充電一次到位！,zeczec",25 天,2022/05/17 12:00 – 2022/06/30 23:59,2022-05-17 12:00:00,2022-06-30 23:59:00
D-DAY 新都會隨型包｜3 種秒換造型，2 種背法設計，工作／日常／戶外 都很型，機能帥氣一次搞定,Dr.Wilds 荒野醫生,506356,3388,https://www.zeczec.com//projects/ddaybag,"D-DAY 新都會隨型包，滿足日常一切所需，順應你的每日穿搭，機能與帥氣同時兼備的最強日常包！獨家 2 種背法容量 X 3 種秒換造型，不管工作、日常或輕旅，一包背了就隨時出發，就此告別換包大麻煩。,zeczec",26 天,2022/06/01 21:00 – 2022/07/01 23:59,2022-06-01 21:00:00,2022-07-01 23:59:00
YOX升級版第二代水牙線丨史上最mini丨沖牙器丨清潔牙縫丨按摩牙齦丨清新口氣丨預防蛀牙,火星創造,422100,3360,https://www.zeczec.com//projects/yox,"去除食物殘渣、牙齦護理、高效潔牙，YOX升級版第二代水牙線丨沖牙器一機搞定!,zeczec",13 天,2022/05/10 20:00 – 2022/06/19 02:00,2022-05-10 20:00:00,2022-06-19 02:00:00
Beckmann ｜挪威護脊背包 ：STREET GO 上班出遊都能背，防潑水、高機能、還很時髦！,Beckmann Taiwan,333070,2985,https://www.zeczec.com//projects/beckmann-2022-street-go,"為護脊而生的背包：Beckmann 挪威護脊包，由75年製包經驗的團隊設計打造，簡單俐落的外型，帶給使用者最輕便好背的體驗！,zeczec",15 天,2022/05/20 11:55 – 2022/06/20 23:59,2022-05-20 11:55:00,2022-06-20 23:59:00
老派浪漫｜美國ION Audio 3合1復古箱式黑膠唱機 × AM/FM 收音機【TRIO LP neo】｜黑膠文藝復興 串起世代共鳴,桃子良品,313420,3599,https://www.zeczec.com//projects/TRIOLPneo,"黑膠唱片近年襲捲音樂圈，不管是老歌星的唱片經典復刻，或是新一代歌手跟進黑膠熱潮；做為一個音樂愛好者，擁有實體唱片的浪漫，是串流音樂所無法取代的。 ​ ​ 桃子良品獨家代理的美國音樂設備大廠...,zeczec",12 天,2022/05/18 12:00 – 2022/06/18 02:00,2022-05-18 12:00:00,2022-06-18 02:00:00
省電超新星【TURNLIFE 多功能無線水冷扇】｜擺脫有線的束縛，展開無限的潛能！,攜帶電話,251960,2490,https://www.zeczec.com//projects/turnlife-humidity-fan,"擺脫有限的束縛，展開無限的潛能，雙噴嘴設計／超廣角送風／高效靜音 溫馨夜燈／內建大容量電池／三檔風力／大容量水箱 / 曠香槽設計,zeczec",25 天,2022/06/01 12:00 – 2022/06/30 23:59,2022-06-01 12:00:00,2022-06-30 23:59:00
