projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
翁鈺鈞 【鈺見 生日音樂會】,怡佳娛樂經紀股份有限公司,269089,299,https://www.zeczec.com/projects/WengYuJun,"因為遇見你 才有今天的一切,zeczec",11 天,2022/09/09 20:00 – 2022/09/22 23:59,2022/09/09 20:00:00,2022/09/22 23:59:00
"《2022 都不落空：夢想起飛音樂會》原創華語 聖誕音樂劇 Chinese Christmas Musical ""Never Fails"" World Premiere Concert 2022",Melody Hwang X 財團法人卓越藝術傳播基金會,156800,500,https://www.zeczec.com/projects/never-fails-2022,"2022.12.10 首發音樂會/線上音樂會，邀您一起夢想起飛 Join us to make this musical concert a reality!,zeczec",29 天,2022/09/09 20:00 – 2022/10/10 23:59,2022/09/09 20:00:00,2022/10/10 23:59:00
翻轉生命的力量 -【阿恩開火車】繪本印製計畫，讓我們一起點亮重症病童的希望之光 !,喜願協會,54100,100,https://www.zeczec.com/projects/makeawish,"喜願協會希望透過印製「喜願熊圓夢系列 - 阿恩開火車」的繪本，帶您一起探索重症病童的願望旅程，及願望成真後的人生轉變；同時會將繪本捐贈給20家醫院，作為鼓勵孩子們的正面力量。,zeczec",57 天,2022/09/09 15:00 – 2022/11/08 14:59,2022/09/09 15:00:00,2022/11/08 14:59:00
《2023 社畜毋湯日曆》 珍惜生命 愛護社畜 | 365天職場OS語錄 ，每日職場宜忌招好運 x 可愛動物陪伴辦公日常,Gdesign,17420,780,https://www.zeczec.com/projects/MeowWWWu2023,"工作厭世焦慮的心情沒地方發洩嗎?! 以毒攻毒才是最好的心理治癒，接受不足的自己，勇敢的準時下班，坦然的周休二日吧！！,zeczec",50 天,2022/09/08 12:00 – 2022/10/31 23:59,2022/09/08 12:00:00,2022/10/31 23:59:00
【 HTVRONT ｜熱轉印/熱昇華 平燙機】全自動化智慧方案，轉印昇華從此一鍵搞定！,HTVRONT Taiwan,517961,8980,https://www.zeczec.com/projects/htvront,"操作直覺、智慧體驗、受熱均勻、安全可靠是我們堅持的平燙機創新首選；而多材料可用、精度出色、轉印面積廣、加熱速度快更是我們的品質追求。自動壓制系統，改進了傳統的手動壓力機。,zeczec",31 天,2022/09/08 12:00 – 2022/10/13 02:00,2022/09/08 12:00:00,2022/10/13 02:00:00
達伶姐姐變身里長 集資計畫｜我的改變 要你＋1,達伶姐姐選里長 Team,0,666,https://www.zeczec.com/projects/puffdarling,"從兒童節目主持人變身里長！？ 所有美好 從小地方、小事情開始,zeczec",75 天,2022/09/08 11:00 – 2022/11/25 23:59,2022/09/08 11:00:00,2022/11/25 23:59:00
《在長大以前》季刊｜彰化高中擎崗校刊社,彰化高中擎崗校刊社,5175,149,https://www.zeczec.com/projects/before_growing_up,"《在長大以前》全由高中生獨立製作，為全國各校刊社首度挑戰以季刊、紀錄片、podcast 三種形式發行的專題計畫。,zeczec",19 天,2022/09/07 20:00 – 2022/09/30 23:59,2022/09/07 20:00:00,2022/09/30 23:59:00
黃星個人演唱會【真星愛你】,尬音樂,50096,800,https://www.zeczec.com/projects/StarHuang,"夜晚，當你仰望星空，有一顆努力閃著光芒的星星，正對著你歌唱，當你接收到歌聲的那一刻，溫暖而感動。這一次，我們要一起進入銀河，一起沉浸在黃星的歌聲中，一起被音樂催眠，一起幸福!,zeczec",49 天,2022/09/07 20:00 – 2022/10/30 23:59,2022/09/07 20:00:00,2022/10/30 23:59:00
毛孩優鮮-毛孩鑽石計畫｜全球首創寵物環保零食開啟善循環,全球社會創新股份有限公司,18265,499,https://www.zeczec.com/projects/mao2mao,"與家樂褔共同保鮮接力減少食物浪費的問題，我們藉由冷凍乾燥技術製成毛孩最愛的寵物環保零食， 創造出消費者、超市、庇護工場、流浪動物及地球多贏的成果。,zeczec",39 天,2022/09/07 12:00 – 2022/10/20 23:59,2022/09/07 12:00:00,2022/10/20 23:59:00
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,1247260,1480,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",30 天,2022/09/07 11:50 – 2022/10/11 23:59,2022/09/07 11:50:00,2022/10/11 23:59:00
