集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
2023【3D 紙雕地球日曆】- 是日曆，更是收藏品。用 365 天，創造一個世界,紙志,2728655.0,1980.0,https://www.zeczec.com/projects/earth-calendar-2023,"【全台首發 X 台灣節日 X 繁體中文】結合 3D 立體雷雕技術，還原真實地貌高低。讓撕日曆的每一天，成為藝術創作的過程。,zeczec",28 天,2022/10/06 12:00 – 2022/11/22 02:00,2022-10-06 12:00:00,2022-11-22 02:00:00
【CA160-超疏水膜】滴水不沾、視線清晰、持久耐用！地表最強防雨貼膜,淨對流 X 科學研選,2056471.0,390.0,https://www.zeczec.com/projects/ca160,"世界首款奈米微針超疏水膜。經科學實測，不沾水能力與耐用度皆為市售最強！輕鬆提升雨天行車安全，保持優雅好心情~,zeczec",57 天,2022/10/20 13:00 – 2022/12/20 23:59,2022-10-20 13:00:00,2022-12-20 23:59:00
〖 招財曆 2023 〗滿滿投資理財知識，日日伴你成長 ft. IEObserve 國際經濟觀察 X 財女Jenny,Money Come Calendar,1902212.0,940.0,https://www.zeczec.com/projects/moneycome,"台灣第一本以投資理財知識為主題的日曆，用淺白方式讓你看懂經濟指標、財報重點、全球重要產業公司介紹和財經大師投資心法；365 天每天吸收一則知識，和你一起成長，提高商業視野；用知識招財，以行動致富！,zeczec",12 天,2022/09/27 12:00 – 2022/11/05 23:59,2022-09-27 12:00:00,2022-11-05 23:59:00
【木直牛勿】澐森之巔 再美一年 台灣山月曆,木直牛勿,1663511.0,950.0,https://www.zeczec.com/projects/plantpractice2022,"我們是「木直牛勿」，喜歡山林，也喜歡畫畫。​ 希望透過畫筆，將台灣山林之美帶入各位的生活中：）,zeczec",3 天,2022/09/27 11:30 – 2022/10/28 02:00,2022-09-27 11:30:00,2022-10-28 02:00:00
2023 親子日曆｜解答你的親子難題，陪伴孩子創作世界,文案的美,1332992.0,999.0,https://www.zeczec.com/projects/parenting-calendar2023,"雙面可玩｜2-10 適用｜重覆使用｜全新主題，解答登場！為難解複雜的親子難題，提供指引方式，讓生活不再打結，安撫孩子每個為什麼，創造家庭溫馨互動的橋梁。,zeczec",2 天,2022/09/27 12:00 – 2022/10/26 23:59,2022-09-27 12:00:00,2022-10-26 23:59:00
SPACEFOLD™ 時空折疊育兒包 | 三秒分層，一秒折疊，育兒/商務/休閒一切包辦！,Dauson lab.,1079060.0,3290.0,https://www.zeczec.com/projects/spacefold,"無需翻找，輕鬆取得全包物件，空間彈性極大化。防水抗污，透氣減壓，為孩子、父母設計的萬用快取背包,zeczec",29 天,2022/10/07 12:00 – 2022/11/22 23:59,2022-10-07 12:00:00,2022-11-22 23:59:00
【il modo小長夾】是日製手工真皮小長夾，也是職人的信念,STATUSY TAIWAN,1049385.0,3560.0,https://www.zeczec.com/projects/ilmodo,"職人嚴選日本姬路高品質真皮皮革，歷經層層工序，將信念與期待融入手作，傾聽使用者的聲音，持續創新設計，盼能為使用者帶來幸福感，同時傳承製革傳統工藝,zeczec",63 天,2022/10/18 10:30 – 2022/12/26 23:59,2022-10-18 10:30:00,2022-12-26 23:59:00
KIMU DUO 融蠟燈｜給關不掉的嗅覺，美好且安心的儀式感日常。,KIMU,1037231.0,2999.0,https://www.zeczec.com/projects/kimu-duo,"讓台灣燈具品牌 KIMU 打造比你更挑剔的香氛體驗。讓世界首創雙燈頭，立體你的五感，放大你的第六感。,zeczec",25 天,2022/10/06 11:00 – 2022/11/18 23:59,2022-10-06 11:00:00,2022-11-18 23:59:00
《調香日曆》2023 曆刻聞香｜開啟調香日曆，走進叢林香氣,Xiabenhow下班隨手作,1002984.0,899.0,https://www.zeczec.com/projects/thescentcalendar,"365天的調香配方結合日曆，搭配52種精油深入介紹，透過每日調香配方，找到屬於自己的隱形費洛蒙，城市生活的365天，走進山林間的叢林香氣,zeczec",8 天,2022/09/28 12:00 – 2022/11/02 02:00,2022-09-28 12:00:00,2022-11-02 02:00:00
職游 x 牌卡 = 運用內在三角形▲ 成為自己的職涯設計師！,職游,662827.0,4680.0,https://www.zeczec.com/projects/careercreator,"我們是「職游」，由職涯諮詢師組成的專業團隊，這次推出 3 套職涯探索牌卡與可無限回看的線上課程，希望大家能透過趣味的職涯探索牌卡，在多變的職場環境中，從探索認識自己的「內在 3 角形」開啟職涯規...,zeczec",8 天,2022/09/26 20:00 – 2022/11/01 23:59,2022-09-26 20:00:00,2022-11-01 23:59:00
