商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(20221116 截止),集資開始,集資結束
【10分鐘快速水洗！超省錢！】新冠病毒99.99%抑制認證 x 大坪數小坪價 x 淨化小至0.01奈米顆粒物 x SGS國際認證 x 語音聲控超方便 x UV殺菌,Apolnus 水洗濾網空氣清淨機,14983253,9990,https://www.zeczec.com/projects/apolnus,"濾網簡易清潔大升級、省錢、省心、又環保，5~14坪空間靈活運用，獨家創新濾網技術、易水洗、無臭氧，實驗認證可過濾奈米顆粒，解決空氣清淨機使用上的痛點，真正空清機界的最強王者！,zeczec",6 天,2022/10/05 11:00 – 2022/11/22 23:59,2022/10/05 11:00:00,2022-11-22 23:59:00
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,11222076,2950,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",21 天,2022/09/21 12:00 – 2022/12/07 23:59,2022/09/21 12:00:00,2022-12-07 23:59:00
【眠朵雲 2.0 】恆溫深度釋壓枕｜業界最高枕心密度支撐，3 層科技布套打造吸濕／排汗／抗菌極致舒適感，陪你夜夜好眠,戀家小舖,9747329,2680,https://www.zeczec.com/projects/lovingfamily,"熱賣超過 15,000 顆的【眠朵雲】推出全新二代！領先業界 3 倍枕心密度，提供良好支撐與深層釋壓。3 層科技布套，則讓肌膚有最舒適的接觸感，一試就愛上！,zeczec",7 天,2022/10/12 21:00 – 2022/11/24 02:00,2022/10/12 21:00:00,2022-11-24 02:00:00
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 專業抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,6755052,2488,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",51 天,2022/09/13 12:00 – 2023/01/06 23:59,2022/09/13 12:00:00,2023-01-06 23:59:00
【 xTool D1 Pro 20W 雷雕機 】王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,6520180,18980,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",21 天,2022/11/03 12:00 – 2022/12/08 02:00,2022/11/03 12:00:00,2022-12-08 02:00:00
2023【3D 紙雕地球日曆】- 是日曆，更是收藏品。用 365 天，創造一個世界,紙志,5372687,1980,https://www.zeczec.com/projects/earth-calendar-2023,"【全台首發 X 台灣節日 X 繁體中文】結合 3D 立體雷雕技術，還原真實地貌高低。讓撕日曆的每一天，成為藝術創作的過程。,zeczec",5 天,2022/10/06 12:00 – 2022/11/22 02:00,2022/10/06 12:00:00,2022-11-22 02:00:00
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,5186052,1490,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",8 天,2022/09/07 11:50 – 2022/11/24 23:59,2022/09/07 11:50:00,2022-11-24 23:59:00
