projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
毛孩優鮮-毛孩鑽石計畫｜全球首創寵物環保零食開啟善循環,全球社會創新股份有限公司,5398,499,https://www.zeczec.com/projects/mao2mao,"與家樂褔共同保鮮接力減少食物浪費的問題，我們藉由冷凍乾燥技術製成毛孩最愛的寵物環保零食， 創造出消費者、超市、庇護工廠、流浪動物及地球多贏的成果。,zeczec",43 天,2022/09/07 12:00 – 2022/10/20 23:59,2022/09/07 12:00:00,2022/10/20 23:59:00
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,292340,780,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",34 天,2022/09/07 11:50 – 2022/10/11 23:59,2022/09/07 11:50:00,2022/10/11 23:59:00
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,1183935,9490,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec",40 天,2022/09/07 11:00 – 2022/10/17 23:59,2022/09/07 11:00:00,2022/10/17 23:59:00
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,1522330,3980,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",50 天,2022/09/06 21:00 – 2022/10/27 23:59,2022/09/06 21:00:00,2022/10/27 23:59:00
飲酷杯 Inst. Cool ｜ 拿起就喝、自動關蓋的機車族飲料杯 ,飲酷杯 Inst. Cool,149344,990,https://www.zeczec.com/projects/incoolcup,"放下藏吸管，拿起一秒喝。成為馬路上最快喝到乾淨飲料的人。專利設計、全球唯一單手就能藏吸管的環保杯。,zeczec",84 天,2022/09/06 21:00 – 2022/11/30 23:59,2022/09/06 21:00:00,2022/11/30 23:59:00
【圓形立杯架】個人專屬杯架，辦公室、浴室、書房，杯架+珪藻土杯墊的專利設計,歐士,0,218,https://www.zeczec.com/projects/oshi_cup_holder,"鋁合金立杯架的簡化版本，輕鬆的入手價格，生活中必需有的好產品。,zeczec",53 天,2022/09/06 15:00 – 2022/10/30 23:59,2022/09/06 15:00:00,2022/10/30 23:59:00
O'miti 極淨小妍 ✦ 潔淨美膚儀，世界首創整合卸妝、洗臉、保養，肌底清潔再淨化！,lisscode,388060,1980,https://www.zeczec.com/projects/o-miti-all-in-one,"台灣設計製造，專為「全方位女性」量身打造！提供「專業」、「日常」、「快速」洗卸保養，滿足不同的肌膚需求，讓你找回極淨透亮美肌！,zeczec",41 天,2022/09/06 12:00 – 2022/10/19 02:00,2022/09/06 12:00:00,2022/10/19 02:00:00
2023喵兔Q生活萌日曆｜365天不重複可愛動物插畫×每日召喚好心情療癒魔法,有貓貓,166870,680,https://www.zeczec.com/projects/yomaomao2023calendar,"365天兔兔與喵喵接棒賣萌，每日杯口笑話一撕就有好心情～每個早晨，都被兔兔與喵喵的軟萌給可愛醒！,zeczec",40 天,2022/09/06 11:30 – 2022/10/17 23:59,2022/09/06 11:30:00,2022/10/17 23:59:00
盒裝台北餅乾｜透過餅乾打開你對台北的認識，成為台北的小小導覽員，讓更多人開始注意台北的地方文創！一盒專屬台北的伴手禮誕生了！,聲動台北 Sounds in Taipei,37997,650,https://www.zeczec.com/projects/taipeiinthebox,"希望帶大家透過不同角度探索台北多元的故事，我們結合Live Podcast活動以及製作了台北造型餅乾伴手禮，期盼大家拿著餅乾的時候都能一起分享自己在台北的故事，同時也是幫助小愉兒自給自足的能力。,zeczec",24 天,2022/09/03 12:00 – 2022/10/02 00:00,2022/09/03 12:00:00,2022/10/02 00:00:00
菜寮百年部落起大廟,鳳天神鼓,6000,200,https://www.zeczec.com/projects/Fengtian,"「小庄頭也能起大廟？」 菜寮，一個座落於臺南佳里區的百年部落… 臺南市鼓樂協會為傳承及推廣偏鄉在地百年部落文化特色，將以鼓樂結合舞蹈及兒童音樂劇呈現歷史故事！,zeczec",53 天,2022/09/02 17:00 – 2022/10/30 23:59,2022/09/02 17:00:00,2022/10/30 23:59:00
