projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
彰師大升學輔導種子計畫,彰化師範大學種子計畫,3000.0,300.0,https://www.zeczec.com/projects/ncuetutorteam,"彰師大升學輔導種子計畫希望能透過提供良好的自習環境、解題資源和輔導服務，讓學員們有安全舒適的空間繼續奮鬥，同時協助他們解決課業及生涯規劃上的種種困難。,zeczec",44 天,2022/11/05 00:00 – 2022/12/20 23:59,2022/11/05 00:00:00,2022/12/20 23:59:00
Co-lab合作社｜更友善的接案媒合平台APP,Co-lab 合作社,3000.0,950.0,https://www.zeczec.com/projects/co-lab-app,"使用平台的各個功能，讓大家能順利的在各個領域裡找到你想要的夥伴！,zeczec",54 天,2022/11/04 12:00 – 2022/12/30 23:59,2022/11/04 12:00:00,2022/12/30 23:59:00
【嘖嘖親子瑜伽計畫】陪伴孩子認知情緒，睡得好，開啟專注學習腦,黃姿穎 Fiona Huang,0.0,800.0,https://www.zeczec.com/projects/fionakidyoga,"如何透過兒童瑜伽有效讓孩子靜心專注，放下3C產品，同時使親子關係更親密。,zeczec",49 天,2022/11/04 12:00 – 2022/12/25 23:59,2022/11/04 12:00:00,2022/12/25 23:59:00
【 xTool D1 Pro 20W 雷雕機 】王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,3174510.0,43980.0,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",31 天,2022/11/03 12:00 – 2022/12/08 02:00,2022/11/03 12:00:00,2022/12/08 02:00:00
無釦愛布棉｜全球第一片專利自黏布衛生棉 ∞ 有機棉，好環保、好固定、好清洗，適用各種褲型,和諧生活有機棉,216443.0,980.0,https://www.zeczec.com/projects/wego,"100%有機棉瞬吸乾爽 x 自黏耐用好固定 x 輕鬆洗淨，給您最天然透氣的貼身保護 ，無釦更自由，也照顧了地球,zeczec",55 天,2022/11/02 20:00 – 2022/12/31 23:59,2022/11/02 20:00:00,2022/12/31 23:59:00
我們在安靜中跳舞｜支持一場改變你我的演出，解放對人的自由想像,大可創藝,37550.0,650.0,https://www.zeczec.com/projects/danceinsilence2022,"一起支持十位聽障藝術家，共尋社會中未被探索、獨特而美麗的感知，啟發「我們都是人」的關懷底蘊,zeczec",13 天,2022/11/02 12:00 – 2022/11/20 12:00,2022/11/02 12:00:00,2022/11/20 12:00:00
貓の傳說｜台灣製磁吸式自帶線行動電源10000mAh➤15W無線+22W有線，不卡鏡頭，用招財迎接2023年！,POLYBATT,336480.0,1198.0,https://www.zeczec.com/projects/POLYBATT_CAT,"PD雙向快充，相容MagSafe，三用型充電搞定所有機型！可充1-2次，隨身帶著來自貓的福滿、安康、繁榮,zeczec",57 天,2022/11/01 20:00 – 2023/01/03 08:00,2022/11/01 20:00:00,2023/01/03 08:00:00
貓貓甜點｜在地小農X天然手工 冰釀梅漬蜜番茄,Mowmow dessert 趙心維,1120.0,560.0,https://www.zeczec.com/projects/mowmow_dessert,"在地小農農產品結合日式新創輕食小點，帶給消費者不一樣的台灣水果風味，味覺新饗宴。,zeczec",34 天,2022/11/01 20:00 – 2022/12/10 23:59,2022/11/01 20:00:00,2022/12/10 23:59:00
"Mariana痘痘胸部面膜｜獨家首創用""吸""的保養！輕鬆一貼100%吸收！拯救前胸痘痘與瑕疵煥膚✨ ｜男女皆可用",Mariana馬里亞納｜美體專家,21578.0,780.0,https://www.zeczec.com/projects/mariana,"居家享受「醫美般的胸部淨膚」保養，MIT專科針對亞洲人胸部肌膚研發，打擊痘痘粉刺｜角質疙瘩｜毛孔油汙｜痘疤暗沉，讓你在家也能敷出無暇透亮美胸！,zeczec",29 天,2022/11/01 20:00 – 2022/12/05 23:59,2022/11/01 20:00:00,2022/12/05 23:59:00
Raffael Kaffa 公益咖啡建置Phase I 工程款募資 - 聘僱與協訓 弱勢族群 習得一技之長(新北市林口區),Raffael Kaffa,4830.0,430.0,https://www.zeczec.com/projects/raffael-kaffa-phase-i,"募集創始門市的第一期建置工程款，預計聘僱輔導中的早年失智症、二度就業婦女，並建立訓練平台以幫助更多弱勢族群,zeczec",24 天,2022/11/01 14:00 – 2022/11/30 23:59,2022/11/01 14:00:00,2022/11/30 23:59:00
