集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
xTool M1 三合ㄧ雷雕機 | 雷雕、雷切 & 刀割的夢幻聯手,Makeblock,18990435,30980,https://www.zeczec.com//projects/xtool-m1,"動手玩創作，但雷雕機要1台、切割機又要買1台… 當個 Maker，難道只能【抱歉了錢錢】嗎 TAT？小朋友才選擇，試試全都要的 xTool M1 吧！,zeczec",23 天,2022/05/10 20:00 – 2022/06/08 02:00,2022-05-10 20:00:00,2022-06-08 02:00:00
【 Tairona R-01｜真．輕巧．掌上劇院 】小巧便攜，畫質清晰。小體積，大「視」界！滿足你從 居家生活 到 戶外旅遊！,inaday's,8913756,8888,https://www.zeczec.com//projects/tairona-r-01-l-4k,"inaday's 首次推出 [ 掌上劇院 ]，堅持品質及功能性一致，絕對顛覆你對微型投影機的既定印象!!!,zeczec",11 天,2022/04/19 11:00 – 2022/05/26 23:59,2022-04-19 11:00:00,2022-05-26 23:59:00
【雲米】方糖洗碗機 - 「我不想洗碗！」入手人生第一台免安裝洗碗機,雲米 VIOMI,8088121,8290,https://www.zeczec.com//projects/sugar,"萬元內、免安裝、超省水！比手洗省 10 倍水量，16 道強力水柱＋UVC 99.99% 強力殺菌，一鍵按下，讓曾經的洗碗惡夢，變得簡單俐落。,zeczec",22 天,2022/05/05 12:00 – 2022/06/07 02:00,2022-05-05 12:00:00,2022-06-07 02:00:00
【 NEWTRAL｜全球首創！腰部自動追蹤人體工學椅，久坐無負擔！】解鎖你的輕奢客製化乘坐需求，健康工作與生活，輕鬆「靠得住」！,Newtral Taiwan,5155521,10180,https://www.zeczec.com//projects/newtral,"世界上第一款「專注腰部支撐」的人體工學椅。不論是辦公、微躺，或是午睡片刻，「自動化追蹤靠腰組件」都可針對你的腰部做「追蹤支撐」。除此之外，NEWTRAL 還增加了各類客製化人因尺寸調節設計與配件...,zeczec",15 天,2022/04/21 12:00 – 2022/05/31 02:00,2022-04-21 12:00:00,2022-05-31 02:00:00
MiniBle X 微氣泡起波器｜清潔、除菌、去農殘，一顆搞定｜家用微氣泡革命，居家用水品質大升級！,HerherS和荷時際,4470272,1750,https://www.zeczec.com//projects/minible-x,"從台灣開始，我們想要繼續照顧地球，實踐每個家裡都擁有微氣泡的承諾。,zeczec",8 天,2022/04/19 20:00 – 2022/05/24 02:30,2022-04-19 20:00:00,2022-05-24 02:30:00
【 SAMSUNG｜Bespoke Jet™ 】三星風暴級無線變頻吸塵器，韓國熱銷超過 30 萬台 ✧ 科技美型 1.44KG 極輕設計，獨立集塵充電座，210W 超強吸力！,samsung,2222600,34400,https://www.zeczec.com//projects/samsung-bespoke-jet,"吸地、拖地、集塵，這台通通搞定！一機包辦，灰塵零接觸！全機 2 年保固，主機馬達 10 年保固！,zeczec", 39 小時,2022/04/19 12:00 – 2022/05/18 02:00,2022-04-19 12:00:00,2022-05-18 02:00:00
全面掌握行車安全，首創可提醒前方測速照相！CROXERA® M 智慧後照鏡,CROXERA,2139252,3980,https://www.zeczec.com//projects/croxera-m,"結合分離式運算技術與全新開發智慧聯網裝置，打造跨品牌、不分油電車款可使用的智慧後照鏡－跨世代機車安全服務,zeczec",37 天,2022/05/10 12:00 – 2022/06/21 23:59,2022-05-10 12:00:00,2022-06-21 23:59:00
「煎出世界上最好吃的牛排，就跟呼吸一樣簡單！」Omoi frying pan無塗層鑄鐵煎鍋台灣初登場！,KK select,2050451,3890,https://www.zeczec.com//projects/omoi-frying-pan,"保留鑄鐵熱傳導優良特性．獨家煎面加厚設計．無塗層可用一輩子。只要有這把神鍋，就能省下上高級牛排餐館的費用，在家也能享用又香又嫩的美味牛排！,zeczec",12 天,2022/04/28 12:00 – 2022/05/28 02:00,2022-04-28 12:00:00,2022-05-28 02:00:00
地表最強露營燈【日本 ROOT CO. HEX-SoLa ver.2 戶外露營燈】｜獨創六角形設計，360度無死角的極致機能,攜帶電話,1876440,3190,https://www.zeczec.com//projects/root-co-hex-sola-ver2,"來自日本箱根，Outdoor職人品牌｜日本 ROOT CO. ，最親近大自然的設計理念，首次登上嘖嘖，挑戰地表最強露營燈，360度無死角的極致機能！,zeczec",16 天,2022/04/26 11:00 – 2022/05/31 23:59,2022-04-26 11:00:00,2022-05-31 23:59:00
InBirdie TEMPO 智慧型高爾夫推桿練習器｜搭載 AI 技術，精準測量三大數值！在家也能精進推桿技巧，加強推桿訓練品質！,DMBH Taiwan,1571977,8500,https://www.zeczec.com//projects/inbirdie-tempo,"韓國專利技術新產品，透過 AI 感測器偵測推桿節奏、距離、角度 3 項數據；深入練習推桿技巧，提升推桿準確度，讓你在球場上展現完美一擊！,zeczec",23 天,2022/04/26 20:00 – 2022/06/08 02:00,2022-04-26 20:00:00,2022-06-08 02:00:00
【 Goofoo Cube｜入門級迷你 3D 印表機的最佳首選 】踏入 Maker 世界的敲門磚，新手小白 or 兒童動手創作的「啟蒙第一站」。,Goofoo Taiwan,1459347,4280,https://www.zeczec.com//projects/goofoo-cube,"快速上手，感受創作，無需專業軟體，告別複雜安裝。小白嚐鮮 / 兒童教育啟蒙， Goofoo Cube 打開你 3D 列印世界的新大門！,zeczec",15 天,2022/04/27 12:00 – 2022/05/31 02:00,2022-04-27 12:00:00,2022-05-31 02:00:00
【 Royal 鼻毛刀套組】承襲韓國六十年傳統工藝，絕對安全、俐落剪斷不扯毛，輕輕轉一轉，整個人煥然一新！,Backer Choice 貝殼選物,1277476,1999,https://www.zeczec.com//projects/royal-metal,"左邊轉轉、右邊轉轉，5 秒無痛清理鼻毛超簡單！一套擁有精品質感的不銹鋼鼻毛刀套組，絕對安全、無須充電且可拆卸水洗， 7.2cm 輕巧帶著走，上班、約會前快速轉一轉，在重要時刻不凸槌，俐落又帥氣！,zeczec",25 天,2022/04/26 12:00 – 2022/06/09 23:59,2022-04-26 12:00:00,2022-06-09 23:59:00
【日日居ZEZEGOOD｜ZEfoam零壓科技綿】睡眠新革命 三眠制釋壓床墊 挑好床枕 從“材質”開始,日日居 ZEZEGOOD,1270527,2230,https://www.zeczec.com//projects/zezegood-zefoam,"挑好床枕 從“材質”開始 遍尋全球床墊材質，由專利材質出發，你知道記憶綿、乳膠、獨立筒，但你可能不知道「ZEfoam零壓科技綿」。,zeczec",22 天,2022/04/28 19:00 – 2022/06/06 23:59,2022-04-28 19:00:00,2022-06-06 23:59:00
CHIMEI 3D 聲控循環扇｜智慧語音操控／120 度立體空間對流／23 公尺集中風力／讓空間四季都舒適宜人,新視代科技股份有限公司,1118740,3680,https://www.zeczec.com//projects/chimeifan,"CHIMEI 3D 聲控循環扇，透過全新設計的風學系統，一機就能創造全室對流。內建的語音辨識功能，讓您免動手也能簡單操控！,zeczec",24 天,2022/05/09 12:00 – 2022/06/08 23:59,2022-05-09 12:00:00,2022-06-08 23:59:00
韓國 HYUNDAI 捲捲地板｜輕輕一滾，DIY居家改造超easy！吸震隔音、軟底設計，寵物嬰兒都安心！,韓國 Hyundai 現代科技家居,1003840,2180,https://www.zeczec.com//projects/hyundai-rolling-floor,"韓國 HYUNDAI 最新「捲捲地板」，不僅擁有舒適腳感，更能吸震隔音，九大功能輕鬆幫您解決家裡傳統地板的問題，最重要的是：自己鋪5坪地板只要1小時，租屋族也能輕鬆上手！,zeczec",34 天,2022/05/05 12:00 – 2022/06/19 02:00,2022-05-05 12:00:00,2022-06-19 02:00:00
【Lala Kitchen｜正宗韓國製無煙火烤盤】韓國專利技術，無煙烤肉，火鍋、燒烤一盤搞定！,Lala Kitchen,900761,2390,https://www.zeczec.com//projects/lala-kitchen,"韓國專利技術，讓你烤肉時，不再霧濛濛！同時「燒烤」、「火鍋」擁有最讚的韓式燒烤體驗！,zeczec",11 天,2022/04/21 12:00 – 2022/05/27 02:00,2022-04-21 12:00:00,2022-05-27 02:00:00
【 Driver｜咖啡冷萃壺 】自製冷萃咖啡，比你想像的還要簡單！,Driver,880395,1399,https://www.zeczec.com//projects/driver-ice-coffee,"全球爆紅的冷萃咖啡，每天自己動手在家裡泡上一大壺，愛怎麼喝就怎麼喝。,zeczec",16 天,2022/04/29 12:10 – 2022/06/01 02:00,2022-04-29 12:10:00,2022-06-01 02:00:00
 The Marglobel 麥哲倫地球儀｜一起重回大航海時代 創造屬於您的冒險故事,質木模型,836475,1950,https://www.zeczec.com//projects/marglobel,"麥哲倫地球儀，以麥哲倫航行全球為設計概念，USB馬達電動自轉，3D展示海洋分布和陸地結構，不只是有趣的桌上擺飾，也是精緻的科學教材，707個零件，絕對能讓您感受DIY組裝的樂趣。,zeczec",37 天,2022/05/04 21:00 – 2022/06/22 02:00,2022-05-04 21:00:00,2022-06-22 02:00:00
amadana 極簡卡式爐 | 俐落外型 x 小巧便攜，好好生活先從好好吃飯開始,amadana Taiwan,788034,4990,https://www.zeczec.com//projects/amadana,"100% 日本設計製造，僅 1.5 Kg 告別傳統笨重憨厚卡式爐形象，全鋁鑄機身搭配十字型鍋架，從咖啡到輕食通通沒問題！,zeczec",32 天,2022/04/26 20:00 – 2022/06/16 23:59,2022-04-26 20:00:00,2022-06-16 23:59:00
新革命、新生活！新一代DIKE濾淨瞬熱式飲水機｜通用所有市售濾芯、3L大容量,DoubleLife,761250,3090,https://www.zeczec.com//projects/DIKE_HCE100,"再也不用被品牌綁架了！想喝什麼口感，就依需求隨心選擇濾芯！內托零滲漏設計，360無死角過濾淨化；6段水溫、4段水量，你家中的神助手！,zeczec",11 天,2022/04/26 12:00 – 2022/05/26 23:59,2022-04-26 12:00:00,2022-05-26 23:59:00
【 Cabeau｜ incredi-belt 超能護腰帶 】輕便好收納，全球第一個隨身體移動的護腰帶，你的脊椎守護大師！,Cabeau Taiwan,721955,1090,https://www.zeczec.com//projects/cabeau,"提供最穩定隨心的守護！輕巧便攜的 【 Cabeau｜incredi-belt 超能護腰帶 】無論你在哪，超能護腰帶給你更舒適的生活！,zeczec",17 天,2022/04/20 12:00 – 2022/06/02 02:00,2022-04-20 12:00:00,2022-06-02 02:00:00
地表最強！PHILIPS行動KTV｜你與歌神的距離，就在這支麥克風！,DoubleLife,680020,3590,https://www.zeczec.com//projects/PHILIPS_KTV,"地表最強行動KTV，顛覆你的想像！海量歌單、演唱會Hi-Fi等級晶片、一鍵消音、快充歡唱...現在就丟掉你家塵封已久的K歌神器吧！,zeczec",30 天,2022/05/09 12:00 – 2022/06/14 23:59,2022-05-09 12:00:00,2022-06-14 23:59:00
Age-One 獨創零錢收納皮革短夾 | 日本募資突破千萬 X「輕薄、小巧」 的領導先驅,Age 舘 雅洋,471530,2080,https://www.zeczec.com//projects/Age-One,"台灣正處於電子支付轉換期，但出門還是需要一定數量的現金， 所以研發了輕薄小巧的皮革錢包，有獨創的收納設計與使用抗病毒皮革， 色彩拼接設計，就是這次的多合一錢包「Age-One」 。,zeczec",35 天,2022/04/19 20:00 – 2022/06/19 23:59,2022-04-19 20:00:00,2022-06-19 23:59:00
MagFlött 磁吸立架 | 一秒讓你的 iPad 「飄」起來，你的 iPad 就是 iMac！,Magflott Taiwan,390980,2790,https://www.zeczec.com//projects/magflott,"專為 iPad Pro & iPad Air 而生的簡約支架，全金屬切割、360° 旋轉與 180° 翻轉，讓手中的 iPad 更能成為全方位生產工具，與肩頸痠痛說 bye bye！,zeczec",41 天,2022/05/12 11:15 – 2022/06/25 23:59,2022-05-12 11:15:00,2022-06-25 23:59:00
GOTRAL木顆粒野營爐 | 露營輕鬆又環保，給您戶外廚房全新體驗！,GOTRAL,376147,3280,https://www.zeczec.com//projects/GOTRAL,"顛覆野炊標準的新型態，戶外料理裝備不是只有瓦斯爐！GOTRAL 木顆粒野營爐來了！生火方便，快速駕馭，100%天然再生燃料，輕鬆搭配各種鍋具，煎煮燉烤樣樣搞定！讓您開心又安心！,zeczec",36 天,2022/05/10 11:00 – 2022/06/20 23:59,2022-05-10 11:00:00,2022-06-20 23:59:00
去去毒菌走！ O₃ Kobin 地表最小臭氧水生成儀 | 革命性的魔法武器,Liv-Light,367152,2380,https://www.zeczec.com//projects/O3Kobin,"Liv-Light 生活更輕鬆、自在 ｜O₃ Kobin 為台灣第一支隨身攜帶的臭氧水生成儀 | 劃時代的新生活提案｜只要加水，隨時隨地的安心體驗。,zeczec",7 天,2022/04/22 12:00 – 2022/05/23 02:00,2022-04-22 12:00:00,2022-05-23 02:00:00
針好嚕｜Gerfect 3in1 手足保養磨砂片 - 安全衛生、輕鬆享受足部滑嫩護理,針好嚕,338056,649,https://www.zeczec.com//projects/gerfect3in1,"磨腳皮、去角質、修指甲功能3合1，一片搞定手腳保養的大小事！ 只要1分鐘，免泡腳即可「迅速且溫和」的搓掉粗糙腳皮，耐用又好清潔！,zeczec",34 天,2022/05/04 12:00 – 2022/06/18 23:59,2022-05-04 12:00:00,2022-06-18 23:59:00
 【Cleer CRESCENT 🌙 新月高級智慧無線藍牙音響】8項國際大獎！限量快速到貨 🔥 支援Hi-res高保真音質、3種聆聽模式、Google語音助理，旗艦級的智能家居，磅礡登場！,Cleer,262400,32800,https://www.zeczec.com//projects/Cleer-CRESCENT,"擁有8顆中高音、2顆重低音喇叭的Cleer新月智慧藍芽音響，讓您在家就能擁有影院級別的聽覺饗宴！,zeczec",26 天,2022/04/26 10:30 – 2022/06/10 23:59,2022-04-26 10:30:00,2022-06-10 23:59:00
鐵人運動員哲睿推薦的聲波極限衝鋒襪｜360°環狀防護✕太空氣墊吸震✕極乾爽技術 最耐衝耐操的運動助攻！,藍盾騎士 Lendan Knight,180085,840,https://www.zeczec.com//projects/ldknight123,"駕馭所有運動的聲波極限衝鋒襪，五項登峰制霸功能，最強抗震舒緩、乾爽舒適、耐磨耐操等職業級感受，讓您運動時衝鋒前線，足下安心無『味』！,zeczec",42 天,2022/05/05 20:00 – 2022/06/26 23:59,2022-05-05 20:00:00,2022-06-26 23:59:00
超級食物纖萃飲 | 新纖美學 • 原生源起 | 高效萃取技術 #TIAC4 TECH™ 完整保留羽衣甘藍營養,原生源起,175131,1650,https://www.zeczec.com//projects/YUANSEN_YUANCHI,"你的送禮最佳選擇。每一口都是頂級纖維，真實蔬菜打造的質感生活！ 獨創非水溶性膳食纖維保健飲品，由專業醫學團隊研發，用最天然的食物，給你最純淨的美味。,zeczec",46 天,2022/05/01 12:00 – 2022/06/30 23:59,2022-05-01 12:00:00,2022-06-30 23:59:00
一鍵啟動，幫你90天自動真空保鮮，日本智慧真空器專家「Cielob 」 ,Neo Choice ,116080,1480,https://www.zeczec.com//projects/cielob,"「更新鮮」「更方便」「更健康」 Cielob 採用最新自動真空技術，最高45kpa真空度! “抗氧+防腐+智慧收納” 保持食材長久新鮮，讓烹飪料理變得更美味更有趣。,zeczec",46 天,2022/05/03 21:00 – 2022/07/01 11:00,2022-05-03 21:00:00,2022-07-01 11:00:00
云威優品省電罩｜節省冷氣電費+環境抑菌新概念｜方便簡潔，不需要外加電源的物理環保產品, 云威優品,115392,1490,https://www.zeczec.com//projects/win-way-excellent,"輕鬆安裝云威優品省電罩在冷氣機出風口，冷氣通過特殊網狀結構材料，達到節省冷氣電費並可在冷氣空間內抑菌的新產品。,zeczec",31 天,2022/04/18 11:00 – 2022/06/15 23:59,2022-04-18 11:00:00,2022-06-15 23:59:00
牙縫老卡食物，用傳統牙線又怕牙縫增大嗎？ 有 wesmile 衝浪男孩 水牙線沖牙機 就不用擔心了！,躍杰股份有限公司,107000,2880,https://www.zeczec.com//projects/wesmile-4972b044-d30f-4cff-ba28-c6f908eeecfb,"wesmile 衝浪男孩 水牙線沖牙機，輕鬆清除牙縫污垢，不會造成牙縫增大！,zeczec",3 天,2022/04/19 13:00 – 2022/05/18 23:59,2022-04-19 13:00:00,2022-05-18 23:59:00
wesmile 為您呈上最高品質的『 PARIS LUXURY 巴黎奢華系列 美顏超音波AI智能電動牙刷洗臉機 』，一機在手，滿足您口腔與臉部清潔所有需求。,躍杰股份有限公司,100590,3290,https://www.zeczec.com//projects/wesmile-paris-luxury,"wesmile 刷牙 洗臉 一機搞定！最高品質的電動牙刷洗臉機！,zeczec",36 天,2022/05/06 00:00 – 2022/06/20 23:59,2022-05-06 00:00:00,2022-06-20 23:59:00
