集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
早鳥優惠倒數！Lazervida 10W 雷射雕刻機 ► 超高效能，「輕」民登場！​,FLUX Inc.,7438166,13900,https://www.zeczec.com/projects/Lazervida,"顏值、實力、CP 值三者兼具，挑戰更「輕」巧、最「親」民雷射雕刻機。Lazervida 擁有超高品質雷射功率， 並涵蓋專業雷雕效能，熱愛創作的你一定會愛不釋手！,zeczec",17 天,2022/08/10 12:00 – 2022/09/24 23:59,2022-08-10 12:00:00,2022-09-24 23:59:00
萬播T6R Max - 投影王者回歸！最強 CP 值，劇院級享受隨手帶著走！,睿濬國際,5732321,9190,https://www.zeczec.com/projects/t6r-max-cp,"曾創下嘖嘖募資 4000 萬最高紀錄的投影機王者回歸！小套房也能投出 200 吋巨幅螢幕！追劇、玩遊戲、露營星空電影院？T6R Max 讓你用最高的 CP 值，為小空間創造沈浸式的大體驗！,zeczec",13 天,2022/08/16 12:00 – 2022/09/20 23:59,2022-08-16 12:00:00,2022-09-20 23:59:00
【iMiniDV X4】內建式安全帽行車記錄器｜3秒快拆｜ Wifi連接｜AI智慧啟動｜真人語音｜GPS測速｜守護你的「型」車安全,聯合總部 Federal Headquarters,5714058,3280,https://www.zeczec.com/projects/iminidv-x4,"100% 極隱蔽＋1080p 全高清＋140° 超廣角＝ 你無懼三寶｜不怕碰瓷的秘密武器｜google精準定位｜超高續航,zeczec", 36 小時,2022/08/11 12:00 – 2022/09/09 02:00,2022-08-11 12:00:00,2022-09-09 02:00:00
ARMADA 黑晶奈瓷刀｜專為台灣人設計，絕對潔淨的俐落廚刀，讓你下刀如有神！,均岱鍋具 kitchenspring ,2839330,2780,https://www.zeczec.com/projects/armada,"台灣 40 年「均岱鍋具 Kitchenspring」在地研發設計，廚房不可或缺的第二把刀，補足家庭用刀的所有缺陷！抗菌不生鏽、鋒利免磨刀、輕薄耐用，100% 營養保留，給你俐落又安心的備料體驗！,zeczec",12 天,2022/08/23 21:00 – 2022/09/19 23:59,2022-08-23 21:00:00,2022-09-19 23:59:00
Logitech 特獻果粉😍台灣限定注音鍵盤【 Rugged Combo 3｜iPad 鍵盤保護殼 】&【 Crayon｜iPad 數位筆 】&【 KEYS-TO-GO｜輕巧藍牙鍵盤 】,Logitech Taiwan,2198770,1440,https://www.zeczec.com/projects/logitech-edu,"適用於 Apple 系列！耐用、抗摔，好清潔！,zeczec",23 天,2022/08/23 12:00 – 2022/10/01 02:00,2022-08-23 12:00:00,2022-10-01 02:00:00
【 專為孩子精心打造｜coobee 2.0 】 2in1 手搖 / 電動雙升降兒童成長書桌，馬達輕鬆拆卸好安裝！美觀、安全、實用兼具！,欣美SingBee,2170751,27990,https://www.zeczec.com/projects/coobee,"熱銷海內外的coobee 這次進化為電動桌，克服傳統電動桌故障就要整張丟棄的困擾，一張能實現從小用到出社會的兒童電動桌！清新色調，任何裝潢風格都好融入！,zeczec",7 天,2022/08/10 12:00 – 2022/09/14 23:59,2022-08-10 12:00:00,2022-09-14 23:59:00
折折盒｜2 種型態，∞ 多可能，一秒切換平面/立體的多用途新經典折盒,ZENLET 禪與徠特,1698680,1320,https://www.zeczec.com/projects/FoldiBox,"一款選用食品級耐熱矽膠，搭配日本抗菌銀離子配方，並採磁吸固定以實現迅速攤平、直覺好清洗的多用途新經典折盒。,zeczec",26 天,2022/08/30 12:00 – 2022/10/04 02:00,2022-08-30 12:00:00,2022-10-04 02:00:00
『 日本 amadana ｜16L 極靜高效除濕機 』 - 日本美學 一級能效 16L 除濕機,amadana,1551221,8580,https://www.zeczec.com/projects/amadana-16l,"日式極簡『 16L 除濕機』，大除濕量，40%-80% 濕度符合環境需求！45dB靜音除濕，安心舒適！一級能效，還能自行申請1200元補助喔！,zeczec",17 天,2022/08/23 12:00 – 2022/09/25 02:00,2022-08-23 12:00:00,2022-09-25 02:00:00
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,1522330,3980,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",50 天,2022/09/06 21:00 – 2022/10/27 23:59,2022-09-06 21:00:00,2022-10-27 23:59:00
日日有影 2023｜生活是電影的本質，電影是生活的淬鍊 ―― 電影日曆陪伴你的 2023 年,釀電影,1359312,980,https://www.zeczec.com/projects/amovieaday,"12 位台灣插畫家，與近百位電影人、影評、作家聯手，讓你的 365 天都有電影相伴。,zeczec",54 天,2022/08/31 21:00 – 2022/10/31 23:59,2022-08-31 21:00:00,2022-10-31 23:59:00
【 FLUSSO 瞬適眼鏡｜找回視覺舒適感 】世界首支減壓眼鏡 Made In Taiwan ,flusso,1343810,2580,https://www.zeczec.com/projects/flusso,"不只是抗藍光！由跨領域專家合作找出真正的傷眼原因，世界首創為減壓而生的MIT頂尖專利光學技術，集結各種大品牌鏡片優勢於一身，現在就開始善待您的雙眼！,zeczec",41 天,2022/08/23 10:30 – 2022/10/18 17:59,2022-08-23 10:30:00,2022-10-18 17:59:00
MOFT 石墨烯散熱支架，世界第一款「自主散熱」的筆電支架，解放肩頸、極輕薄、秒收納！,MOFT,1211394,1729,https://www.zeczec.com/projects/moft-Cooling-Stand,"不只照顧你的工作姿勢，還拯救筆電健康！這個夏天跟我們一起告別過燙問題，延續經典功能：1 秒收起、2 種角度、3 大升級 - 防水+防刮+重複撕黏一百次！,zeczec",19 天,2022/08/23 12:00 – 2022/09/27 02:00,2022-08-23 12:00:00,2022-09-27 02:00:00
