集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
ZHAO KA 廚餘機：一鍵讓廚餘變綠肥，三公升大容量，和惱人味道與果蠅說再見！,罩咖科技,11542060,8180,https://www.zeczec.com//projects/zhao-ka,"生活新革命，濕黏又長蟲的廚餘已經成為過去，地表最強廚餘機問世，讓你三個月倒一次廚餘，一邊做環保的同時享受種植樂趣！,zeczec",4 天,2022/05/16 21:00 – 2022/06/16 23:59,2022-05-16 21:00:00,2022-06-16 23:59:00
【 Haxson AirFan｜智慧風扇清淨機 】集結 20 項重點功能設計，只為一次性解決您所有的床上生活需求！,Haxson TW,5422581,7980,https://www.zeczec.com//projects/haxson-airfan,"10 段可調式風扇與暖風機設計，降溫消暑、居家保暖皆宜。獨立睡眠區空氣清淨機，UV-C、碳濾網與負離子淨化三合一。 多功能床頭燈與藍牙音響功能，智慧時鐘設計與多種鬧鐘模式選擇。AirFan 品質...,zeczec",10 天,2022/05/17 12:00 – 2022/06/23 02:00,2022-05-17 12:00:00,2022-06-23 02:00:00
【 綿羊掰掰｜三層構造舒眠枕 】2 秒入睡，彷彿浮在水面般的舒眠體驗！,KK select,4132165,2990,https://www.zeczec.com//projects/pkk-select," 來自日本的「綿羊掰掰舒眠枕系列」已經拯救了超過 5 萬人的睡眠品質，最新的「三層構造舒眠枕」可自由調整枕頭高度，搭配上柔軟耐用的TPE材質，帶給你彷彿浮在水面般前所未有的 舒！眠！體！驗！,zeczec",24 天,2022/06/07 12:00 – 2022/07/06 23:59,2022-06-07 12:00:00,2022-07-06 23:59:00
【 SAMSUNG The Serif｜三星風格電視 】從畫面美到背面，每個角度都是賞心悅目的一面。,samsung,3735420,38400,https://www.zeczec.com//projects/samsung-the-serif,"別再忍受一成不變的電視外觀設計，SAMSUNG 三星這次顛覆你對傳統電視的想像！簡約白色外框搭配 4K X HDR 10+ 超高畫質，為你的空間裝上一台藝術品！,zeczec",22 天,2022/06/07 12:00 – 2022/07/04 23:59,2022-06-07 12:00:00,2022-07-04 23:59:00
Yeelight 智慧螢幕掛燈 Pro ｜最高護眼規格設計，RGB 電競氛圍燈搭載，護眼和娛樂雙重兼顧,Yeelight易來科技｜暢享智慧好光,2396217,2980,https://www.zeczec.com//projects/yeelightpro,"Yeelight 2022 全新螢幕掛燈，採用最高規格光照 LED，以及非對稱的光學設計，提供柔和舒適的光線，滿足長時間使用電腦的護眼需求，減少疲勞對眼睛造成的傷害。,zeczec",8 天,2022/05/18 21:00 – 2022/06/20 23:59,2022-05-18 21:00:00,2022-06-20 23:59:00
【 Phigolf 2｜高爾夫訓練器 】全新設計登場，手感再升級！一次入園價，給你無限制的高爾夫體驗！隨時隨地，即刻揮桿！,Phigolf 高爾夫訓練器,2393449,5099,https://www.zeczec.com//projects/phigolf-2,"透過 9G 超輕量感測器，精準分析您的 6 大指標；支援 3 大超夯高爾夫 APP、親臨世界各大知名球場。讓你不再擔心球場預約問題，也不用看天氣臉色，疫情期間也可以在家與球友組隊線上揮桿！,zeczec", 14 小時,2022/05/18 20:00 – 2022/06/13 23:59,2022-05-18 20:00:00,2022-06-13 23:59:00
SANSUI極勁正負離子高速吹風機｜日本最美．極輕設計，速乾與柔順最強結合！挑戰市面最好吹的全方位吹風機,Jyiteh,2301502,3980,https://www.zeczec.com//projects/sansuidryer,"【極勁正負離子高速吹風機】旗艦吹速6大提升，台灣全新登場！「航空級 DC 無刷馬達動力 + 2000萬正負離子除靜電降噪」 第一款以虎口量身設計最佳握感，只要 3 分鐘，輕盈吹出最集中的柔順風感。,zeczec",5 天,2022/05/16 20:00 – 2022/06/17 23:59,2022-05-16 20:00:00,2022-06-17 23:59:00
【 OIVIO FIT｜都市防水鞋 】簡約百搭新姿態，梅雨季救星 🌟 給你真防水！,Oivio Fit,657760,2480,https://www.zeczec.com//projects/oivio-fit,"集 時尚、防滑、防水、透氣、環保 於一身，以簡約的概念設計靈活百搭的款式，什麼樣的場合和活動都合適！OIVIO FIT 為您提供最適合台灣梅雨氣候、行走時最舒適自在的感受。,zeczec",11 天,2022/05/17 12:00 – 2022/06/24 02:00,2022-05-17 12:00:00,2022-06-24 02:00:00
【CyberPower 4 in 1 多功能無線充電座】減法生活，一機搞定！,CyberPower,565555,1155,https://www.zeczec.com//projects/cyberpower-4-in-1-desk-top-charger,"專為台灣用戶打造的 4 in 1 多功能充電座，整合無線快充板 x AC插孔 x USB-C x USB-A， 多裝置充電一次到位！,zeczec",18 天,2022/05/17 12:00 – 2022/06/30 23:59,2022-05-17 12:00:00,2022-06-30 23:59:00
【 BUZZLIGHT｜證件套錄音機 】韓國熱銷破千萬！1 秒隨開即錄，不錯過任何重要時刻，32g 輕巧便攜，隨身記錄小幫手！,MUNE Taiwan,540382,1299,https://www.zeczec.com//projects/buzz-light,"一張可隨身攜帶、不引人注意，緊急情況下能夠快速發揮作用的證件套。,zeczec",15 天,2022/06/08 12:00 – 2022/06/27 23:59,2022-06-08 12:00:00,2022-06-27 23:59:00
Beckmann ｜挪威護脊背包 ：STREET GO 上班出遊都能背，防潑水、高機能、還很時髦！,Beckmann Taiwan,417155,2985,https://www.zeczec.com//projects/beckmann-2022-street-go,"為護脊而生的背包：Beckmann 挪威護脊包，由75年製包經驗的團隊設計打造，簡單俐落的外型，帶給使用者最輕便好背的體驗！,zeczec",8 天,2022/05/20 11:55 – 2022/06/20 23:59,2022-05-20 11:55:00,2022-06-20 23:59:00
老派浪漫｜美國ION Audio 3合1復古箱式黑膠唱機 × AM/FM 收音機【TRIO LP neo】｜黑膠文藝復興 串起世代共鳴,桃子良品,362083,3599,https://www.zeczec.com//projects/TRIOLPneo,"黑膠唱片近年襲捲音樂圈，不管是老歌星的唱片經典復刻，或是新一代歌手跟進黑膠熱潮；做為一個音樂愛好者，擁有實體唱片的浪漫，是串流音樂所無法取代的。 ​ ​ 桃子良品獨家代理的美國音樂設備大廠...,zeczec",5 天,2022/05/18 12:00 – 2022/06/18 02:00,2022-05-18 12:00:00,2022-06-18 02:00:00
【ZEROO TIME日本職人設計｜ 鏤空機械腕錶】經典酒桶型、大馬士革鋼 限時限量！陀飛輪強勢回歸！,ZEROO TIME 零時錶,326200,18800,https://www.zeczec.com//projects/zerootime-modern,"2021年以高詢問度的鏤空陀飛輪腕錶在台上市，更是創下募資破五百萬的佳績。此次我們以M1、Ｍ1D酒桶型腕錶為募資策劃，希望可以讓更多人了解機械腕錶的美麗，同時也帶著上次熱賣的T4陀飛輪腕錶強力回歸。,zeczec",40 天,2022/06/07 12:00 – 2022/07/22 23:59,2022-06-07 12:00:00,2022-07-22 23:59:00
【史上最低價！65W GaN氮化鎵改版回饋支持者】強大PPS快充技術！支援PD3.0、QC4.0＋、QC3.0，工作/旅行/居家必備,POLYBATT,233364,599,https://www.zeczec.com//projects/POLYBATT-65WGaN,"體積小大功率，支援筆記型電腦、平板及智慧型手機快速充電！一顆三端口，同時滿足多設備充電需求！,zeczec",35 天,2022/05/18 20:00 – 2022/07/17 23:59,2022-05-18 20:00:00,2022-07-17 23:59:00
DIKE X BioLED 醫院級UVC紫外線空氣清淨機｜第一台專為國人打造！,DoubleLife,204590,4990,https://www.zeczec.com//projects/bioled-x-dike-uvc,"專為台灣人研發！生活用品首選品牌DIKE特別找了防疫國家隊-華興集團(BioLED)合作，推出了這款淬鍊40年光學經驗的醫院級UVC紫外線空氣清淨機,zeczec",23 天,2022/05/31 12:00 – 2022/07/05 23:59,2022-05-31 12:00:00,2022-07-05 23:59:00
