projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period
《調香日曆》2023 曆刻聞香｜開啟調香日曆，走進叢林香氣,Xiabenhow下班隨手作,845654.0,899.0,https://www.zeczec.com/projects/thescentcalendar,"365天的調香配方結合日曆，搭配52種精油深入介紹，透過每日調香配方，找到屬於自己的隱形費洛蒙，城市生活的365天，走進山林間的叢林香氣,zeczec",16 天,2022/09/28 12:00 – 2022/11/02 02:00
無尾香蕉動物學校｜友愛一起計畫｜【與動物相愛的練習】｜和插畫家李瑾倫一起創作你的毛孩故事,無尾香蕉動物學校,210192.0,100.0,https://www.zeczec.com/projects/NBAS,"友愛一起計畫是無尾香蕉動物學校為所有人設計的同理心練習，透過30道練習題學習與動物相愛，搭配和插畫家李瑾倫一起共創專屬的毛孩繪本，增進人對於動物們的友善與友愛之心。,zeczec",28 天,2022/10/11 20:00 – 2022/11/13 23:59
【ULANI 永恆曆 ∞】世界第一款「彩色電子紙」桌曆，把時間變成喜歡的樣子！,ULANI,7335183.0,2480.0,https://www.zeczec.com/projects/ulani,"日/月/年曆一鍵變換，不「紙」擺脫用完即撕的浪費，還能藍牙連線同步數位行事曆！不必再每年買用完即丟的日曆，這台陪你年復一年到永恆～ ,zeczec",9 天,2022/09/13 12:00 – 2022/10/26 02:00
【Myth A1】無耗材空氣清淨機｜省錢、高坪效、語音聲控 | 捕捉 0.01 細小顆粒 | 新冠病毒99%有效抑制 | UVC LED 紫外線淨化！,Apolnus 無耗材UVC空氣清淨機,6943683.0,9770.0,https://www.zeczec.com/projects/apolnus,"濾網簡單清洗重複使用、省錢、省心、又環保，獨家創新導電薄膜技術、易水洗、無臭氧，可過濾比N95口罩更小奈米顆粒，解決空氣清淨機使用上的痛點，空清機界的最強王者！,zeczec",20 天,2022/10/05 11:00 – 2022/11/05 23:59
KIMU DUO 融蠟燈｜給關不掉的嗅覺，美好且安心的儀式感日常。,KIMU,732350.0,2990.0,https://www.zeczec.com/projects/kimu-duo,"讓台灣燈具品牌 KIMU 打造比你更挑剔的香氛體驗。讓世界首創雙燈頭，立體你的五感，放大你的第六感。,zeczec",33 天,2022/10/06 11:00 – 2022/11/18 23:59
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,12022787.0,9490.0,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec", 15 小時,2022/09/07 11:00 – 2022/10/17 23:59
【眠朵雲 2.0 】恆溫深度釋壓枕｜業界最高枕心密度支撐，3 層科技布套打造吸濕／排汗／抗菌極致舒適感，陪你夜夜好眠,戀家小舖,5107847.0,2680.0,https://www.zeczec.com/projects/lovingfamily,"熱賣超過 15,000 顆的【眠朵雲】推出全新二代！領先業界 3 倍枕心密度，提供良好支撐與深層釋壓。3 層科技布套，則讓肌膚有最舒適的接觸感，一試就愛上！,zeczec",38 天,2022/10/12 21:00 – 2022/11/24 02:00
〖 招財曆 2023 〗滿滿投資理財知識，日日伴你成長 ft. IEObserve 國際經濟觀察 X 財女Jenny,Money Come Calendar,1818884.0,940.0,https://www.zeczec.com/projects/moneycome,"台灣第一本以投資理財知識為主題的日曆，用淺白方式讓你看懂經濟指標、財報重點、全球重要產業公司介紹和財經大師投資心法；365 天每天吸收一則知識，和你一起成長，提高商業視野；用知識招財，以行動致富！,zeczec",20 天,2022/09/27 12:00 – 2022/11/05 23:59
《ShowTime》訂製精裝手帳｜登上時裝秀 未來由你來掌握,一種選擇 | a kind of choice,53280.0,660.0,https://www.zeczec.com/projects/akindofchoice,"一本專屬為您客製化的手帳，能幫助你梳理思緒、提高效率。在書寫文字時重新獲得力量，創造屬於你的舞台,zeczec",29 天,2022/10/12 12:00 – 2022/11/15 02:00
HoldU 懶人沙發椅｜是懶骨頭，更是床墊 ＆ 支撐沙發！一椅三用大革新，Hold Your Life！,WM台客嚴選,2755521.0,3690.0,https://www.zeczec.com/projects/holdu,"360 度沉浸包覆，享受懶骨頭帶來的放鬆，加上台灣製的支撐設計，包覆兼具支撐，怎麼坐都舒適，讓一椅適用多種生活情境，一張顛覆你想像的懶人沙發，不只是懶骨頭，也是支撐沙發，更是單人沙發床！,zeczec",20 天,2022/09/20 12:00 – 2022/11/06 02:00
馬曆2023／做一隻不會在龜兔賽跑中輸掉比賽的兔子,新加坡商艾雅思股份有限公司台灣分公司,2187082.0,920.0,https://www.zeczec.com/projects/MarknMary2023,"原子習慣說，只要每天進步1%，一年累積下來，你就會成長3700%！ 問題是，我們要從哪裡開始下手，要如何有意識地做出改變呢？ 就讓馬曆成為你每日的提醒吧！,zeczec",46 天,2022/10/01 10:01 – 2022/12/01 23:59
眠豆沙 | 今天開始搶著睡沙發的台灣製手工沙發,眠豆腐,5939330.0,39590.0,https://www.zeczec.com/projects/sleepytofu-sofa,"為了你寶貴的療癒時光，眠豆腐決定打造一款沙發，拿出所有獨家秘方，回歸沙發的核心機能：好坐又好躺。我們稱它——眠豆沙！,zeczec",15 天,2022/09/27 20:00 – 2022/10/31 23:59
【全力揮擊】原創沉浸式棒球主題桌遊｜朋友聚會、親子時光、球迷競技都適合的經典收藏桌遊,【全力揮擊 ShowTime】,618321.0,1080.0,https://www.zeczec.com/projects/showtime,"馬上來場緊張刺激的棒球比賽！在冷氣房中享受在球場上揮汗的樂趣，體驗揮棒打擊的快感。變化多端的攻防事件與靈活的防守布陣，九局下半，等你來一棒炸裂，獲得最終的勝利。,zeczec",24 天,2022/09/29 20:00 – 2022/11/09 23:59
Logitech【ZONE VIBE 100 無線藍牙耳機麥克風 & Brio 500 網路攝影機】輕奢玩美．質感辦公．,Logitech Taiwan,1584890.0,2590.0,https://www.zeczec.com/projects/logitech-PC,"品味拉滿！質感協作首選｜無論辦公或娛樂，都要你亮眼✨,zeczec",30 天,2022/10/12 12:00 – 2022/11/16 02:00
【iMiniDV X4】內建式安全帽行車記錄器｜3秒快拆｜ Wifi連接｜AI智慧啟動｜真人語音｜GPS測速｜守護你的「型」車安全,聯合總部 Federal Headquarters,8076680.0,3280.0,https://www.zeczec.com/projects/iminidv-x4,"100% 極隱蔽＋1080p 全高清＋140° 超廣角＝ 你無懼三寶｜不怕碰瓷的秘密武器｜google精準定位｜超高續航,zeczec",15 天,2022/08/11 12:00 – 2022/10/31 23:59
Withering Calendar 2023 植物凋零曆 ｜凡事都會消逝，凡事也都會再來,yiyuflorist,3505886.0,980.0,https://www.zeczec.com/projects/withering-calendar-2023,"一本關於凋零的植物攝影日曆。,zeczec",15 天,2022/09/21 21:00 – 2022/10/31 23:59
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 專業抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,4653672.0,99.0,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",15 天,2022/09/13 12:00 – 2022/10/31 23:59
日日有影 2023｜生活是電影的本質，電影是生活的淬鍊 ―― 電影日曆陪伴你的 2023 年,釀電影,2463222.0,1049.0,https://www.zeczec.com/projects/amovieaday,"12 位台灣插畫家，與近百位電影人、影評、作家聯手，讓你的 365 天都有電影相伴。,zeczec",15 天,2022/08/31 21:00 – 2022/10/31 23:59
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,5070320.0,4150.0,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",11 天,2022/09/06 21:00 – 2022/10/27 23:59
【 BenQ 翻翻鏡 】史上最聰明的視訊鏡頭！智慧翻轉畫面，拍人拍物一秒切換！,BenQ,493115.0,5849.0,https://www.zeczec.com/projects/ideacam,"ideaCam S1 Pro 微物攝影 15 倍放大超清楚，磁吸可拆搭載降噪麥克風，效率作業、居家工作、遠端視訊的最佳解！,zeczec",18 天,2022/09/29 12:00 – 2022/11/04 02:00
未來美✨逆時微電雙波機｜年輕緊緻 + 緊實淡紋，只要 10 分鐘 Hold 住緊緻好狀態！,未來美,9652661.0,8800.0,https://www.zeczec.com/projects/beauty-device,"居家頂級美容儀「雙波合一」！在家就可以擁有年輕緊緻護理，防止肌膚老化，鍛鍊臉部線條！,zeczec",9 天,2022/09/13 12:00 – 2022/10/26 02:00
2023【每天都想史】手撕日曆｜輕鬆就讀撕歷大學，進入每曆新史界！,每天都想史有限公司,14035119.0,960.0,https://www.zeczec.com/projects/deadeveryday,"讓人每天開心讀歷史的神秘魔法！是百萬 YouTuber HOOK 燃燒體內的金木水火土，用對歷史滿滿的愛製作而成的日曆～♪,zeczec",15 天,2022/09/18 12:00 – 2022/10/31 23:59
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,4340009.0,1490.0,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",15 天,2022/09/07 11:50 – 2022/11/01 02:00
