projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
Mirolive-塔芭絲可 3D募資計畫,米諾文創娛樂有限公司,174918.0,100.0,https://www.zeczec.com/projects/mirolive-Tako3d,"透過群眾募資達成3D化模組,zeczec",60 天,2022/09/25 19:00 – 2022/11/24 23:59,2022/09/25 19:00:00,2022/11/24 23:59:00
翁鈺鈞首張個人專輯《欲嫁女人心》募資計劃,怡佳娛樂經紀股份有限公司,62942.0,299.0,https://www.zeczec.com/projects/WengYuJun-Album,"一個懷著希望夢想而唱的女生，將要把過去所聚集的能量，全心注入首張個人全新創作專輯中，唱乎你聽！,zeczec",97 天,2022/09/23 20:00 – 2022/12/31 23:59,2022/09/23 20:00:00,2022/12/31 23:59:00
【早鳥優惠搶先預購~】超Q招財咬錢虎｜超級求財運神獸，咬錢進財庫啦~,鴞遙翱創,18532.0,4450.0,https://www.zeczec.com/projects/money-hu-yeh,"「超Q虎來囉」創新設計一尊真的能咬硬幣的虎爺｜別再擺招財貓啦~結合東方招財神獸-虎爺，創新設計可以咬錢的超Q咬錢虎,zeczec",32 天,2022/09/23 20:00 – 2022/10/27 23:59,2022/09/23 20:00:00,2022/10/27 23:59:00
陳華HuaChen《華與浪漫》專輯實體及週邊商品募資計畫,鮪魚肚影音,250265.0,99.0,https://www.zeczec.com/projects/huachen,"陳華首張個人創作專輯《華與浪漫》專輯於9月16日數位上架，陳華與設計師以勒聯手設計的實體專輯及周邊商品也即將上架，一起從裡到外都被華與浪漫包圍。,zeczec",27 天,2022/09/23 12:00 – 2022/10/22 23:59,2022/09/23 12:00:00,2022/10/22 23:59:00
【Cable可移動洞洞板2.0】 新上市加高款，顛覆你對洞洞板的想像，創造屬於自己的生活！,凱堡家居 ,8697.0,2999.0,https://www.zeczec.com/projects/cable,"省時省力省空間，升級款洞洞板，直立式設計將收納空間向上延伸，讓收納空間被靈活運用，顛覆你對生活的想像！,zeczec",21 天,2022/09/23 12:00 – 2022/10/16 23:59,2022/09/23 12:00:00,2022/10/16 23:59:00
【台灣の笛｜台式橫笛｜台灣品仔｜專業級七孔D調橫笛(AD曲笛) 非常傳統又非常科技，穿越時空，從古老走進現代｜是演奏者最佳的伙伴，悠揚的旋律，動聽的曲目，享受著不絕於耳的掌聲，精準的音符，跳躍的節奏，吹奏著美妙動人的樂章！ 】,笛簫文創數位科技,0.0,5780.0,https://www.zeczec.com/projects/Pro7hole-DtonAltoFunFlute,"台灣の笛｜台式橫笛｜笛簫文創數位科技團隊領銜，讓古老的笛簫從新演繹，將笛子量化製造出來，降低生產成本，且能有頂級的音準品質，讓學音樂不再是高貴遠不可級的夢想，親民的隨手可得，讓台灣也能成為像歐洲...,zeczec",59 天,2022/09/23 08:00 – 2022/11/23 23:59,2022/09/23 08:00:00,2022/11/23 23:59:00
《Nice to Meet You》2023 動物寓言月曆｜在故事裡遇見我和你，偶爾還有他,5539 Design Studio,50640.0,830.0,https://www.zeczec.com/projects/nicetomeetyou,"以十二星座為靈感，為每個月份撰寫一則原創寓言， 邀你一起從故事感受角色各異其趣的特質，在寓言中看見他人身上的光。,zeczec",56 天,2022/09/22 21:00 – 2022/11/21 02:00,2022/09/22 21:00:00,2022/11/21 02:00:00
2023《花誌月曆》灌溉自己的12種練習,Floral Vintage花藝風格店,41860.0,760.0,https://www.zeczec.com/projects/floraldiary2023,"我們是兩位花藝品牌的主理人Carol & Rin，這是我們聯合推出的《花誌月曆》，第一本以「花藝師日常視角」為出發而設計的月曆，希望能透過四季植物共感陪伴，帶來花草療癒力量。,zeczec",51 天,2022/09/22 20:30 – 2022/11/15 23:59,2022/09/22 20:30:00,2022/11/15 23:59:00
『韓國PILMOA長效保溫杯』同系列保溫杯韓國熱銷超過150萬個 🔥 獲4.6顆星高評價​ ✨,Neo Choice ,47380.0,1690.0,https://www.zeczec.com/projects/pilmoa,"１、２公升大容量​，最長保冷48小時，保溫24小時!​ 讓你從早到晚，保持最一開始的溫度！​好的保溫杯，一個就夠👍 台灣獨家首賣!,zeczec",51 天,2022/09/22 20:30 – 2022/11/15 23:59,2022/09/22 20:30:00,2022/11/15 23:59:00
廚佛瑞德Fred｜三秒入魂川味麻辣燒醬｜就是我十年前，在四川一嚐入魂、難忘至今的頂級香氣和麻辣滋味！,廚佛瑞德 Fred,682743.0,899.0,https://www.zeczec.com/projects/FredJam,"重現四川老師傅的手藝，把川菜經典的香、麻、辣徹底發揮。「三秒入魂川味麻辣燒醬」純手工熬煮、加入頂規食材，要把當年震撼我的味覺體驗分享給你。,zeczec",37 天,2022/09/22 20:00 – 2022/11/01 23:59,2022/09/22 20:00:00,2022/11/01 23:59:00
2023【台灣．鳥．日子—365天手繪日曆】｜你的鳥類小百科,台灣．鳥．日子,104550.0,740.0,https://www.zeczec.com/projects/lovebirds2023,"2023【台灣．鳥．日子—365天手繪日曆】手繪勾勒365隻鳥類，彩繪並記錄台灣及全球獨特鳥兒！引起台灣大眾對鳥兒的關注，入門學習鳥類的知識！,zeczec",57 天,2022/09/22 20:00 – 2022/11/21 23:59,2022/09/22 20:00:00,2022/11/21 23:59:00
《習慣樂戒所》戒除習慣的好幫手 I 國立臺灣師範大學表演藝術學士學位學程112級 X 表演藝術研究所史宥玲聯合畢業製作,臺師大表演藝術學程112級畢業製作,0.0,1199.0,https://www.zeczec.com/projects/i-112-x,"我們是臺師大表藝第四屆畢業班同學，想自籌經費做一齣長達100分鐘的原創音樂劇，來探討習慣對於人的影響。節目由本班學生從零開始打造，一步步搭建起習慣樂戒所。而今來到開張之際，能邀您一同共襄盛舉嗎?,zeczec",69 天,2022/09/22 20:00 – 2022/12/03 23:59,2022/09/22 20:00:00,2022/12/03 23:59:00
質好日全植物生煎包 ｜ 零膽固醇的肉感美味快速上桌！享受蔬食，不必犧牲美食。,質 好日,1262049.0,580.0,https://www.zeczec.com/projects/goodday,"質好日使用全植物成分製作生煎包，首波推出冷凍生煎包，原味/剝皮辣椒/全素/五辛素口味，簡單加熱就能美味上桌！希望透過親民的美食小點，讓大眾體驗植物飲食的美好！,zeczec",45 天,2022/09/22 12:00 – 2022/11/10 03:00,2022/09/22 12:00:00,2022/11/10 03:00:00
《2023 大腸王腦洞日曆》原汁原味呈現最軟爛、最真實的大腸寶寶,鑫羿文創 x 思濰行銷顧問,104580.0,890.0,https://www.zeczec.com/projects/horumonbaby426,"著名的大腸王寶寶是最常出現在台北街頭牆上的塗鴉，被稱為台北四大街頭傳說。 希望藉由「2023 大腸王腦洞日曆 」來療癒您的日「腸」！,zeczec",36 天,2022/09/22 12:00 – 2022/10/31 23:59,2022/09/22 12:00:00,2022/10/31 23:59:00
『LAS』雙肩槍包，開/騎車雙用、帥氣網紅、歐美機能,David Wang,0.0,2099.0,https://www.zeczec.com/projects/LAS,"推廣市面少見的包款，比後背更輕、比肩背更帥！,zeczec",54 天,2022/09/22 12:00 – 2022/11/19 12:00,2022/09/22 12:00:00,2022/11/19 12:00:00
