SN°OVAE 翻轉筆記夾_A5｜不受紙張規格限制 翻轉您的收納效率,SN°OVAE,461948,1999,https://www.zeczec.com//projects/snovaetwnb_a5,"這次我們將翻轉工作袋優化升級，全新的翻轉筆記夾_A5，讓您在使用上更直覺、更俐落，搭配全新的專屬配件，讓大家不管是在記錄書寫或文件收納上，效率加倍。,zeczec",42 天,2022/05/31 21:00 – 2022/07/31 23:59
 數感宇宙探索課程｜為國小生打造的生活數學 DIY 影音學習組｜給孩子一堂不一樣的數學課,數感實驗室,5587368,1790,https://www.zeczec.com//projects/numeracymaker,"本課程結合數感實驗室逾 10 年數學教育經驗、史丹佛大學「成長型數學思維」理論。內容針對國小中年級以上的孩子，強調具體、跨域、手作、情境。鼓勵孩子探索思考，讓孩子愛上數學。,zeczec",8 天,2022/05/04 12:00 – 2022/06/28 02:00
【日本Broski 擴充背包】不怕淋雨的高質感真皮革包，超大擴充容量滿足收納,Single Step,1524010,4980,https://www.zeczec.com//projects/Broski-and-Supply,"日本專利防水牛皮革，好清潔不易髒污。可擴充容量收納三天兩夜行李、16寸筆電、相機器材等。一個包就能滿足商務俐落、旅遊休閒的需求，讓每個日常都能享受機能十足、觸感優異的真皮背包。,zeczec",12 天,2022/05/31 12:30 – 2022/07/01 23:59
《世紀今日》十二冊書+有聲書｜看見366位中外名人改變世界的重要時刻，找到人生的方向,格林文化,2484200,3600,https://www.zeczec.com//projects/grimmpress,"​格林文化郝廣才繼《今天》後，再推出《世紀今日》，用有力的文字、獨特見解，精挑細選366位真實英雄改變世界的故事，帶領讀者看見生命中重要的那天，擴大心靈版圖，找到自己的靈魂。,zeczec",11 天,2022/03/29 21:01 – 2022/06/30 23:59
影集式音樂劇《SC驚釀小酒館》原聲帶發行計畫,五口創意工作室,1335090,2980,https://www.zeczec.com//projects/SurpriseCraft_OST,"原聲帶預購最後機會 ✷ 醉特別的實體專輯、醉質感的穿搭服飾、醉澎湃的驚釀大禮盒、醉瘋狂的延伸目標！,zeczec",30 天,2022/05/12 12:00 – 2022/07/19 23:59
香風淨涼晴雨傘｜全球首發｜榮獲發明專利｜清淨X涼風X香氛X遮陽｜陽傘四合一 晴雨兩用 全新革命 (男女適用),美而耐(MEI&NAI),113721,1320,https://www.zeczec.com//projects/MEIandNAI-fragrant-fresh-cool,"為悶熱天氣研發，結合空氣清淨、涼爽風口、持久香氛、遮陽遮雨，所有困擾一次解決，優雅、舒適一手帶著走，美而耐陪你度過每個晴雨天！,zeczec",42 天,2022/06/15 21:00 – 2022/08/01 02:00
《雲嶺戰記》在戰場上的籌碼與骰子間，爭奪安卡天下！,AsmodeeTW,1124570,40,https://www.zeczec.com//projects/cloudspire,"《雲嶺戰記》是一款多人對戰或合作的桌遊，以籌碼驅動的MOBA類塔防遊戲，適合1-4人遊玩。你將指揮一個獨特的種族，生產各式小兵與修建防禦塔，並試圖控制地圖上的重要位置。由你來征服整個安卡天域！,zeczec",24 天,2022/05/30 18:00 – 2022/07/14 02:00
【 mokibo fusion｜無線鍵盤 】鍵盤就是觸控板！極輕極薄好攜帶，韓國研發製造，行動辦公無極限！,mokibo,3412534,2900,https://www.zeczec.com//projects/mokibo,"鍵盤本身就是觸控板！相容 98% 的平板電腦、手機，多個裝置切換，辦公生活不受限！,zeczec",31 天,2022/05/19 12:00 – 2022/07/21 02:00
【HOFFE 3 Lite 馬卡龍咖啡機】｜免插電，免練習，人人都能輕鬆泡出好咖啡!!,HOFFE Design,86400,1850,https://www.zeczec.com//projects/HOFFEE3-Lite,"台灣設計製造，鶯歌高溫全瓷咖啡機，無塑膠配件，讓您免除塑化劑威脅，輕鬆操作好簡單，真正完美重現專業手沖咖啡的沁香甘甜。,zeczec", 18 小時,2022/05/04 21:00 – 2022/06/21 02:00
丹麥爸媽也瘋狂的 MODU 回來啦！全新推出「半球積木」讓建築小宇宙再爆發！,MODU TAIWAN (QBEAN),1181330,10350,https://www.zeczec.com//projects/modu-ball,"MODU 是一組真人大小的變形積木，它可以是 √學步車 √搖搖馬 √滑步車 √甚至是平衡板－想要什麼玩具都可以自己搭！MODU 已經準備好要讓孩子們的「建築小宇宙」大爆發！,zeczec",40 天,2022/06/16 20:00 – 2022/07/30 02:00
