安心環境，一燈搞定 | 智能UV殺菌燈(居家、辦公環境防疫必備),DDBuy平價商城,0,2990,https://www.zeczec.com/projects/ddbuy_light,"疫情病毒蔓延心慌慌，智能UV殺菌燈是你的救星。 超強的殺菌能力，搭配智能偵測，不怕人體受傷害！ 快速擊敗，病毒退散；安心環境，一燈搞定！,zeczec",38 天,2022/08/21 12:00 – 2022/09/28 23:59,2022/08/21 12:00:00,2022/09/28 23:59:00
【如記食品 中秋烤肉禮盒｜純天然食材、可即食、可送禮の健康禮盒】,Kisaraki Hsu,74870,850,https://www.zeczec.com/projects/ruji-food01,"如記中秋禮盒即將開放預購 （讓你能烤肉，送禮，無負擔的吃！喝！玩！） 參與募資還可以得到這份中秋禮盒的大優惠價喔！ ​ 如記食品成立於1982年，2004年開始與7-11統一合作，研發並...,zeczec",45 天,2022/08/19 12:00 – 2022/10/05 23:59,2022/08/19 12:00:00,2022/10/05 23:59:00
【人窮志不窮】歐盟聯合碩士學費募資計畫,許慧漁,9506,1000,https://www.zeczec.com/projects/GLOCAL,"在工作中看見文化和政經環境對企業的影響，並渴望將台灣的高品質帶向國際。很榮幸今年代表台灣前往歐盟就讀GLOCAL，我願將台灣的價值發揚海外並力促國民外交。,zeczec",57 天,2022/08/19 12:00 – 2022/10/17 23:59,2022/08/19 12:00:00,2022/10/17 23:59:00
★仙女棒顯濕布尿布2.0★全球獨創尿濕顯示，新手一布到位！瞬吸乾爽，環保省錢超有感！,自備客,226222,4792,https://www.zeczec.com/projects/sparkiediaper2,"守護敏弱屁屁的MIT布尿布，帶著更合身親膚、耐久好用的設計重新回歸！去污不沾手，洗衣機就很乾淨，每個人都能輕鬆上手！,zeczec",58 天,2022/08/18 20:00 – 2022/10/19 02:00,2022/08/18 20:00:00,2022/10/19 02:00:00
《神塔羅》｜第一套以台灣信仰為主題的MIT塔羅牌,GMT+8,369300,1300,https://www.zeczec.com/projects/spirittarot_taiwan,"▪️榮獲 2022 嘖嘖提案大賽出版組佳選（第四名）▪️以佛 / 道教與原住民自然信仰為軸，結合西方塔羅， 讓你使用的同時，彷彿獲得雙倍的指引與力量。,zeczec",56 天,2022/08/18 20:00 – 2022/10/16 23:59,2022/08/18 20:00:00,2022/10/16 23:59:00
《Pathogen疫途》醫療vs瘟疫，創新機制的不對稱雙人對戰桌上遊戲！,深顏色工作室,111240,790,https://www.zeczec.com/projects/Pathogen,"一場瘟疫悄悄在人間與冥界擴散！究竟是醫療的力量能夠及時阻斷疾病傳播，還是瘟疫會更快的溢滿世界？創新的移動機制，帶給你截然不同的思考體驗！,zeczec",29 天,2022/08/18 20:00 – 2022/09/19 23:59,2022/08/18 20:00:00,2022/09/19 23:59:00
《口袋烏龜Pocket Tortoise》多種烏龜任你養，帶你體驗養龜生活,雲灣資訊有限公司,19399,200,https://www.zeczec.com/projects/PckTt,"可愛療癒的飼養烏龜手遊🐢 除了讓你飼養收集多種烏龜之外，還可以瞭解烏龜相關知識。現已上線一個小版本，我們想要豐富遊戲內容，讓大家更認識烏龜。期待你加入養龜生活！,zeczec",57 天,2022/08/18 18:00 – 2022/10/18 18:00,2022/08/18 18:00:00,2022/10/18 18:00:00
【味。台灣美食傘】台灣人的行動招牌｜愛台灣的文創！,味。思念家鄉的味道,0,920,https://www.zeczec.com/projects/wei-taiwanfoodumbrella,"人手一把雨傘撐起台灣，讓外國人們都一同看見台灣！,zeczec",58 天,2022/08/18 12:00 – 2022/10/18 23:59,2022/08/18 12:00:00,2022/10/18 23:59:00
玩具收納神器【三麗鷗秒收玩具箱】 全球首發 正版授權 | 拉、收、蓋，3秒迅速解決混亂玩具！,GOOGOOGAGA,32938,1290,https://www.zeczec.com/projects/toycase,"一把拉起迅速收納，羊毛氈材質玩具桶，更輕硬挺好裝、小朋友也能輕鬆抱起！自帶遊戲墊，走到哪玩到哪~室內、戶外輕鬆打造寶貝遊戲區！,zeczec",22 天,2022/08/17 21:00 – 2022/09/12 23:59,2022/08/17 21:00:00,2022/09/12 23:59:00
【A\O小帥勾】A\O idea 掛勾＋充電線理線器＋萬向球頭擴充＝3合1多功能車把掛勾,A\O idea,16400,680,https://www.zeczec.com/projects/ao-idea,"裸把車款輕改裝，高強度鋁合金防鏽材質，掛勾結合理線器，騎乘充電更安全；擴充標準1吋萬向球頭，擴充加裝配件隨心所欲，更換超便利！一支板手即可完成安裝，安裝一次，三種功能全部擁有！ ,zeczec",40 天,2022/08/17 21:00 – 2022/09/30 23:59,2022/08/17 21:00:00,2022/09/30 23:59:00
