集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
早鳥優惠倒數！Lazervida 10W 雷射雕刻機 ► 超高效能，「輕」民登場！​,FLUX Inc.,7070466,13900,https://www.zeczec.com/projects/Lazervida,"顏值、實力、CP 值三者兼具，挑戰更「輕」巧、最「親」民雷射雕刻機。Lazervida 擁有超高品質雷射功率， 並涵蓋專業雷雕效能，熱愛創作的你一定會愛不釋手！,zeczec",27 天,2022/08/10 12:00 – 2022/09/24 23:59,2022-08-10 12:00:00,2022-09-24 23:59:00
【早鳥倒數 3 天】iMiniDV X4 內建式安全帽行車記錄器｜3秒快拆｜ Wifi連接｜AI智慧啟動｜真人語音｜GPS測速｜守護你的「型」車安全,聯合總部 Federal Headquarters,5133507,2880,https://www.zeczec.com/projects/iminidv-x4,"100% 極隱蔽＋1080p 全高清＋140° 超廣角＝ 你無懼三寶｜不怕碰瓷的秘密武器｜google精準定位｜超高續航,zeczec",11 天,2022/08/11 12:00 – 2022/09/09 02:00,2022-08-11 12:00:00,2022-09-09 02:00:00
萬播T6R Max - 投影王者回歸！最強 CP 值，劇院級享受隨手帶著走！,睿濬國際,4872111,9190,https://www.zeczec.com/projects/t6r-max-cp,"曾創下嘖嘖募資 4000 萬最高紀錄的投影機王者回歸！小套房也能投出 200 吋巨幅螢幕！追劇、玩遊戲、露營星空電影院？T6R Max 讓你用最高的 CP 值，為小空間創造沈浸式的大體驗！,zeczec",23 天,2022/08/16 12:00 – 2022/09/20 23:59,2022-08-16 12:00:00,2022-09-20 23:59:00
𝙈𝙞𝙟𝙞𝙡𝙮 𝘼𝙞𝙧 大氣涼拖鞋｜𝟭 鞋 𝟰 穿的機能神拖 - 急反彈、強支撐、超耐走！,Mijily 米吉利循環鞋履,3145751,1680,https://www.zeczec.com/projects/mijily-air,"這是『史上第一雙大氣控壓的涼拖鞋！』兼具四種鞋面穿法、吊掛收納、耐磨止滑、專利高支撐鞋體，同時輕盈舒適且可回收的休閒涼拖鞋。Mijily 不只賣鞋，我們更注重售後的回收機制！,zeczec",33 天,2022/08/03 12:00 – 2022/09/30 23:59,2022-08-03 12:00:00,2022-09-30 23:59:00
【 專為孩子精心打造｜coobee 2.0 】 2in1 手搖 / 電動雙升降兒童成長書桌，馬達輕鬆拆卸好安裝！美觀、安全、實用兼具！,欣美SingBee,1741000,27990,https://www.zeczec.com/projects/coobee,"熱銷海內外的coobee 這次進化為電動桌，克服傳統電動桌故障就要整張丟棄的困擾，一張能實現從小用到出社會的兒童電動桌！清新色調，任何裝潢風格都好融入！,zeczec",17 天,2022/08/10 12:00 – 2022/09/14 23:59,2022-08-10 12:00:00,2022-09-14 23:59:00
Logitech 特獻果粉😍台灣限定注音鍵盤【 Rugged Combo 3｜iPad 鍵盤保護殼 】&【 Crayon｜iPad 數位筆 】&【 KEYS-TO-GO｜輕巧藍牙鍵盤 】,Logitech Taiwan,1726730,1390,https://www.zeczec.com/projects/logitech-edu,"適用於 Apple 系列！耐用、抗摔，好清潔！,zeczec",33 天,2022/08/23 12:00 – 2022/10/01 02:00,2022-08-23 12:00:00,2022-10-01 02:00:00
ARMADA 黑晶奈瓷刀｜專為台灣人設計，絕對潔淨的俐落廚刀，讓你下刀如有神！,均岱鍋具 kitchenspring ,1691330,2680,https://www.zeczec.com/projects/armada,"台灣 40 年「均岱鍋具 Kitchenspring」在地研發設計，廚房不可或缺的第二把刀，補足家庭用刀的所有缺陷！抗菌不生鏽、鋒利免磨刀、輕薄耐用，100% 營養保留，給你俐落又安心的備料體驗！,zeczec",22 天,2022/08/23 21:00 – 2022/09/19 23:59,2022-08-23 21:00:00,2022-09-19 23:59:00
【 光邑不倒梯 】 世界首創-讓安全「看得見」的第一首選！顛覆你對梯子的印象,光邑實業股份有限公司,1441298,5999,https://www.zeczec.com/projects/LY-Unfalling-Ladder,"為鋁梯帶來嶄新革命！多角度與工作環境完整貼合 x 1 秒超快速單腳收折 x 高達45段數使用，榮獲發明獎殊榮的創新產品體驗,zeczec",33 天,2022/08/08 12:00 – 2022/09/30 23:59,2022-08-08 12:00:00,2022-09-30 23:59:00
【透明血庫】犬貓血庫首度公益透明化 │終結犬貓血液剝削、以命換命的循環 │ 善待捐血救命的犬貓,台灣犬貓公益血庫推動協會,1274319,399,https://www.zeczec.com/projects/friendly-pets-blood,"還給血貓血犬合理人道待遇，寵物急難用血更穩定安心 ,zeczec",33 天,2022/08/03 12:00 – 2022/09/30 23:59,2022-08-03 12:00:00,2022-09-30 23:59:00
『 日本 amadana ｜16L 極靜高效除濕機 』 - 日本美學 一級能效 16L 除濕機,amadana,1007900,8480,https://www.zeczec.com/projects/amadana-16l,"日式極簡『 16L 除濕機』，大除濕量，40%-80% 濕度符合環境需求！45dB靜音除濕，安心舒適！一級能效，還能自行申請1200元補助喔！,zeczec",27 天,2022/08/23 12:00 – 2022/09/25 02:00,2022-08-23 12:00:00,2022-09-25 02:00:00
《小島散步》2023 木框掛曆×散步小包｜花的美好祝福 ft. 錦源興台南百年布莊,Better Life好感生活研究所,998728,890,https://www.zeczec.com/projects/betterlife2023,"「台灣的可愛，想讓全世界知道！」《小島散步》2023年木框掛曆以「花的美好祝福」為主題，描繪台灣四季花卉景點與花語祝福，並攜手「錦源興台南百年布莊」聯名合作獨家印花「小花園散步小包」。,zeczec",18 天,2022/08/09 21:00 – 2022/09/15 23:59,2022-08-09 21:00:00,2022-09-15 23:59:00
MOFT 石墨烯散熱支架，世界第一款「自主散熱」的筆電支架，解放肩頸、極輕薄、秒收納！,MOFT,916213,899,https://www.zeczec.com/projects/moft-Cooling-Stand,"不只照顧你的工作姿勢，還拯救筆電健康！這個夏天跟我們一起告別過燙問題，延續經典功能：1 秒收起、2 種角度、3 大升級 - 防水+防刮+重複撕黏一百次！,zeczec",29 天,2022/08/23 12:00 – 2022/09/27 02:00,2022-08-23 12:00:00,2022-09-27 02:00:00
【 CoolBar．酷吧！冷萃咖啡機 】 我的咖啡我決定，個人隨行咖啡吧,Inpure,851220,3880,https://www.zeczec.com/projects/coolbar-coffeemaker,"不須加冰水，半導體急速製冷，冷萃咖啡 𝒔𝒐 𝒆𝒂𝒔𝒚。5℃鮮萃，不加冰塊 ，享受原味不稀釋。4小時恆冷，第一口到最後一口一樣冰爽。入口滑順 ，仿職人手法 360°離心萃取。,zeczec",7 天,2022/08/09 21:00 – 2022/09/04 23:59,2022-08-09 21:00:00,2022-09-04 23:59:00
Cool Smile 乾式行動水冷扇 ｜強力涼風有感直吹，乾爽不濕悶！,ecostar Taiwan,739626,2550,https://www.zeczec.com/projects/cool-smile,"打破你對水冷扇的既定印象！獲取台灣專利技術認證，無濾網的水冷扇也可以清涼有感，長久使用無需擔心高額電費！,zeczec",38 天,2022/08/17 20:00 – 2022/10/06 02:00,2022-08-17 20:00:00,2022-10-06 02:00:00
★仙女棒顯濕布尿布2.0★全球獨創尿濕顯示，新手一布到位！瞬吸乾爽，環保省錢超有感！,自備客,593447,1699,https://www.zeczec.com/projects/sparkiediaper2,"守護敏弱屁屁的MIT布尿布，帶著更合身親膚、耐久好用的設計重新回歸！去污不沾手，洗衣機就很乾淨，每個人都能輕鬆上手！,zeczec",51 天,2022/08/18 20:00 – 2022/10/19 02:00,2022-08-18 20:00:00,2022-10-19 02:00:00
Besty表特紫錐菊私密氣墊噴霧-私密肌保養神器｜全球首款-美國進口台灣研發不潮濕不黏膩女性私密氣墊乾爽噴霧,Besty表特紫錐私密氣墊噴霧,552364,890,https://www.zeczec.com/projects/besty,"全球首款美國進口台灣研發【私密瞬間乾爽抗菌】Besty表特私密肌保養神器,zeczec",34 天,2022/08/17 12:00 – 2022/10/01 23:59,2022-08-17 12:00:00,2022-10-01 23:59:00
